tra_infr,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
RD_URB,NR,IS	: 	: 	2 	6 	8 	3 	10 	1 	5 	5 	4 	3 	2 	4 	0 	3 	5 	7 	2 	0 	1 	4 
RD_URB,NR,IT	3167 	3351 	3083 	2746 	2596 	2588 	2494 	2269 	2070 	1892 	1782 	1744 	1602 	1428 	1505 	1502 	1463 	1467 	1401 	1331 	1061 	1264 
RD_URB,NR,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76 	84 	71 	89 	70 	69 
RD_URB,NR,LU	20 	17 	20 	16 	17 	13 	8 	9 	9 	10 	3 	7 	7 	15 	9 	5 	8 	6 	1 	3 	5 	5 
RD_URB,NR,LV	: 	: 	: 	: 	142 	125 	148 	165 	97 	68 	78 	53 	53 	53 	69 	44 	30 	44 	41 	40 	42 	: 
RD_URB,NR,MT	: 	: 	: 	: 	: 	17 	11 	12 	9 	15 	13 	: 	: 	: 	: 	10 	14 	15 	13 	: 	: 	: 
RD_URB,NR,NL	374 	335 	348 	346 	252 	254 	283 	270 	243 	227 	199 	233 	208 	201 	158 	126 	204 	217 	261 	232 	188 	205 
RD_URB,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	54 	34 	41 	: 	31 	30 	22 	27 	21 	27 	18 	23 	15 
RD_URB,NR,PL	2880 	2528 	2761 	2653 	2755 	2495 	2349 	2549 	2499 	2171 	1813 	1959 	1652 	1581 	1466 	1248 	1275 	1238 	1251 	1177 	1084 	872 
RD_URB,NR,PT	717 	712 	689 	649 	552 	530 	442 	380 	409 	381 	484 	487 	397 	352 	347 	304 	302 	328 	380 	394 	305 	332 
RD_URB,NR,RO	1997 	1841 	1767 	1506 	1697 	1895 	1638 	1780 	1922 	1756 	1493 	1271 	1246 	1160 	1146 	1154 	1189 	1221 	1183 	1213 	1074 	1110 
RD_URB,NR,SE	162 	180 	146 	134 	125 	110 	106 	127 	99 	89 	67 	80 	87 	55 	67 	58 	74 	64 	77 	49 	60 	: 
RD_URB,NR,SI	101 	91 	81 	72 	83 	81 	92 	94 	73 	64 	60 	47 	42 	53 	40 	39 	43 	41 	26 	27 	29 	42 
RD_URB,NR,SK	: 	301 	275 	311 	272 	277 	291 	298 	280 	176 	157 	: 	: 	: 	: 	: 	108 	102 	91 	94 	95 	97 
RD_URB,NR,UK	1461 	1448 	1421 	1439 	1349 	1302 	1326 	1178 	1087 	1000 	597 	645 	632 	553 	631 	618 	618 	643 	656 	: 	: 	: 
RD_URB,RT,AT	2.7 	2.7 	3.3 	2.7 	2.8 	2.5 	2.4 	2.1 	2.3 	2.1 	1.7 	1.7 	1.8 	1.4 	1.4 	1.5 	1.3 	1.2 	1.2 	1.2 	1.0 	1.1 
RD_URB,RT,BE	3.9 	4.4 	3.4 	3.4 	2.8 	2.4 	2.5 	2.6 	2.6 	2.4 	2.3 	2.6 b	2.1 b	1.8 	2.1 	2.0 	1.7 	1.8 	1.7 	1.9 	1.6 	1.5 
RD_URB,RT,BG	: 	: 	: 	: 	: 	: 	: 	: 	6.0 	4.2 	4.2 	3.2 	3.2 	3.1 	3.5 	3.7 	3.3 	2.8 	3.0 	3.3 	2.1 	2.4 
RD_URB,RT,CH	: 	2.8 	2.3 	2.3 	2.6 	1.8 	1.7 	1.9 	1.8 	1.8 	1.5 	1.7 b	1.6 	1.4 	1.1 	1.4 	1.1 	1.0 	1.2 	0.8 	1.2 	1.0 
RD_URB,RT,CY	: 	: 	: 	: 	: 	8.3 	7.1 	6.4 	7.2 	5.2 	5.1 	4.7 	3.6 	3.5 	4.0 	4.4 	4.1 	4.4 	3.0 	3.6 	3.3 	: 
RD_URB,RT,CZ	6.0 	5.1 	5.6 	5.5 	5.1 	4.9 	4.2 	4.3 	4.3 	3.2 	2.8 	2.7 	2.5 	2.3 	2.2 	2.1 	2.0 	1.8 	2.0 	1.8 	1.4 	1.8 b
RD_URB,RT,DE	2.2 	2.1 	2.0 	2.0 	1.8 	1.8 	1.7 	1.6 	1.5 	1.5 	1.2 	1.4 b	1.3 	1.2 	1.2 	1.3 	1.2 	1.2 	1.2 	1.1 	1.0 	0.9 
RD_URB,RT,DK	3.4 	2.3 	2.3 	2.1 	2.2 	1.8 	1.9 	2.4 	2.3 	1.7 	1.4 	1.2 	1.1 	1.1 	0.8 	1.1 	1.2 	0.9 	0.8 	1.1 	0.9 	0.8 
RD_URB,RT,EE	: 	: 	: 	: 	: 	3.4 	3.4 	4.7 	3.1 	1.4 	1.1 	1.9 	: 	: 	1.7 	: 	1.5 	1.1 	1.0 	1.3 	1.3 	0.8 
RD_URB,RT,EL	6.4 	7.6 	6.6 	6.6 	7.0 	6.9 	7.0 	6.6 	6.7 	5.8 	5.3 	5.0 	4.5 	4.2 	3.7 	3.6 	4.0 	3.2 	3.4 	3.5 	3.0 	3.0 
RD_URB,RT,ES	2.6 	2.4 	2.2 	2.2 	2.1 	1.8 	1.6 	1.6 	1.4 	1.2 	1.2 	1.0 	1.0 	0.9 	0.9 	0.9 	1.1 	1.1 	1.0 	1.1 	0.8 	0.9 
RD_URB,RT,EU27_2020	3.9 b	3.9 b	3.7 	3.5 	3.5 	3.4 	3.2 	3.2 	3.2 b	2.8 	2.5 b	2.4 b	2.2 b	2.1 	2.1 b	2.0 b	2.0 	2.0 b	2.0 e	2.0 bep	1.7 ep	1.7 bep
RD_URB,RT,FI	2.0 	2.2 	2.0 	1.9 	1.6 	1.9 	1.8 	1.5 	2.0 	1.4 	1.2 	1.4 	1.0 	1.0 	1.1 	1.4 	1.1 	1.0 	1.1 	0.7 	1.1 	1.0 
RD_URB,RT,FR	3.7 	3.7 	3.3 	2.7 	2.4 	2.6 	2.1 	2.1 	1.9 	1.9 	1.7 	1.7 	1.6 	1.4 	1.5 b	1.5 	1.5 	1.5 	1.4 	1.5 p	1.3 p	1.4 p
RD_URB,RT,HR	: 	: 	: 	: 	: 	: 	: 	7.6 	9.6 	7.3 	6.2 	5.9 	5.4 	5.0 	4.5 	5.2 	4.2 	4.5 	4.3 	4.0 	3.5 	4.1 
RD_URB,RT,HU	: 	: 	: 	4.7 	4.7 	5.0 	5.0 	5.0 	4.2 	3.0 	2.7 	2.3 	2.1 b	2.3 	2.4 	2.7 	2.3 	2.3 	2.4 	2.3 	1.5 	1.9 
RD_URB,RT,IE	3.3 	2.7 	2.6 	2.2 	2.7 	1.9 	1.5 	1.8 	1.4 	1.2 	1.0 	0.8 	1.0 	0.8 	1.3 	0.7 	1.1 	0.9 	1.0 e	: 	: 	: 
RD_URB,RT,IS	: 	: 	0.7 	2.1 	2.7 	1.0 	3.3 	0.3 	1.6 	1.6 	1.3 	0.9 	0.6 	1.2 	0.0 	0.9 	1.5 	2.0 	0.6 	0.0 	0.3 	1.1 
RD_URB,RT,IT	5.6 	5.9 	5.4 	4.8 	4.5 	4.5 	4.3 	3.9 	3.5 	3.2 	3.0 	2.9 	2.7 	2.4 	2.5 	2.5 	2.4 	2.4 	2.3 	2.2 b	1.8 	2.1 
RD_URB,RT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.6 	3.0 	2.5 	3.2 	2.5 	2.5 
RD_URB,RT,LU	4.6 	3.9 	4.5 	3.5 	3.7 	2.8 	1.7 	1.9 	1.8 	2.0 	0.6 	1.4 	1.3 b	2.8 	1.6 	0.9 	1.4 	1.0 b	0.2 	0.5 	0.8 	0.8 
RD_URB,RT,LV	: 	: 	: 	: 	6.3 	5.6 	6.7 	7.5 	4.5 	3.2 	3.7 	2.6 	2.6 	2.6 	3.5 	2.2 	1.5 	2.3 	2.1 	2.1 	2.2 	: 
RD_URB,RT,MT	: 	: 	: 	: 	: 	4.2 	2.7 	3.0 	2.2 	3.6 	3.1 	: 	: 	: 	: 	2.2 	3.1 	3.2 	2.7 	: 	: 	: 
RD_URB,RT,NL	2.3 	2.1 	2.2 	2.1 	1.5 	1.6 	1.7 	1.6 	1.5 	1.4 	1.2 	1.4 	1.2 	1.2 	0.9 	0.7 	1.2 	1.3 	1.5 	1.3 	1.1 	1.2 
RD_URB,RT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.1 	0.7 	0.8 	: 	0.6 	0.6 	0.4 	0.5 	0.4 	0.5 	0.3 	0.4 	0.3 
RD_URB,RT,PL	7.5 b	6.6 	7.2 	6.9 	7.2 	6.5 	6.2 	6.7 	6.6 	5.7 	4.8 b	5.1 	4.3 	4.2 	3.9 	3.3 	3.4 	3.3 	3.3 e	3.1 e	2.9 ep	2.3 ep
RD_URB,RT,PT	7.0 	6.9 	6.6 	6.2 	5.3 	5.0 	4.2 	3.6 	3.9 	3.6 	4.6 	4.6 	3.8 	3.4 	3.3 	2.9 	2.9 	3.2 	3.7 	3.8 	3.0 	3.2 bp
RD_URB,RT,RO	8.9 	8.3 	8.1 	7.0 	7.9 	8.9 	7.7 	8.5 	9.4 	8.6 	7.4 	6.3 	6.2 	5.8 	5.8 	5.8 	6.0 	6.2 	6.1 	6.3 e	5.6 e	5.8 e
RD_URB,RT,SE	1.8 	2.0 	1.6 	1.5 	1.4 	1.2 	1.2 	1.4 	1.1 	1.0 	0.7 	0.8 	0.9 	0.6 	0.7 	0.6 	0.7 	0.6 	0.8 	0.5 	0.6 	: 
RD_URB,RT,SI	5.1 	4.6 	4.1 	3.6 	4.2 	4.0 	4.6 	4.7 	3.6 b	3.1 	2.9 	2.3 	2.0 	2.6 	1.9 	1.9 	2.1 	2.0 	1.3 	1.3 	1.4 	2.0 
RD_URB,RT,SK	: 	5.6 	5.1 	5.8 	5.1 	5.2 	5.4 	5.5 	5.2 	3.3 	2.9 	: 	: 	: 	: 	: 	2.0 	1.9 	1.7 	1.7 	1.7 	1.8 
RD_URB,RT,UK	2.5 	2.4 	2.4 	2.4 	2.2 	2.2 	2.2 	1.9 	1.8 	1.6 	1.0 	1.0 	1.0 	0.9 	1.0 	0.9 	0.9 	1.0 	1.0 	: 	: 	: 
TOTAL,NR,AT	976 	958 	956 	931 	878 	768 	730 	691 	679 	633 	552 	523 	531 	455 	430 	479 	432 	414 	409 	416 	344 	362 
TOTAL,NR,BE	1470 	1486 	1306 	1213 	1162 	1089 	1069 	1071 	944 	944 	850 	884 	827 	764 	745 	762 	670 	609 	604 	646 	499 	516 
TOTAL,NR,BG	1012 	1011 	959 	960 	943 	957 	1043 	1006 	1061 	901 	776 	656 	601 	601 	661 	708 	708 	682 	610 	628 	463 	561 
TOTAL,NR,CH	592 	544 	513 	546 	510 	409 	370 	384 	357 	349 	327 	320 	339 	269 	243 	253 	216 	230 	233 	187 	227 	200 
TOTAL,NR,CY	111 	98 	94 	97 	117 	102 	86 	89 	82 	71 	60 	71 	51 	44 	45 	57 	46 	53 	49 	52 	48 	45 
TOTAL,NR,CZ	1486 	1333 	1430 	1447 	1382 	1286 	1063 	1221 	1076 	901 	802 	773 	742 	654 	688 	734 	611 	577 	656 	618 	518 	532 
TOTAL,NR,DE	7503 	6977 	6842 	6613 	5842 	5361 	5091 	4949 	4477 	4152 	3648 	4009 	3600 	3339 	3377 	3459 	3206 	3180 	3275 	3046 	2719 	2562 
TOTAL,NR,DK	498 	431 	463 	432 	369 	331 	306 	406 	406 	303 	255 	220 	167 	191 	182 	178 	211 	175 	171 	199 	163 	130 
TOTAL,NR,EE	204 	199 	223 	164 	170 	170 	204 	196 	132 	98 	79 	101 	87 	81 	78 	67 	71 	48 	67 	52 	59 	55 
TOTAL,NR,EL	2037 	1880 	1634 	1605 	1670 	1658 	1657 	1612 	1553 	1456 	1258 	1141 	988 	879 	795 	793 	824 	731 	700 	688 	584 	624 
TOTAL,NR,ES	5746 	5478 	5312 	5373 	4715 	4406 	4069 	3785 	3064 	2687 	2444 	2042 	1889 	1667 	1680 	1689 	1810 	1830 	1806 	1755 	1370 	1533 
TOTAL,NR,EU27_2020	53410 	51282 	50343 	47331 	44466 	42552 	40365 	40038 	36880 	32978 	29576 	28730 	26487 	24213 	24132 	24358 	23808 	23392 	23328 	22756 	18835 	19917 
TOTAL,NR,FI	396 	433 	415 	379 	375 	379 	336 	380 	344 	279 	272 	292 	255 	258 	229 	270 	258 	238 	239 	211 	223 	225 
TOTAL,NR,FR	8059 	8136 	7630 	6034 	5506 	5318 	4709 	4620 	4275 	4273 	3992 	3963 	3653 	3268 	3384 	3459 	3471 	3444 	3246 	3237 	2538 	2931 
TOTAL,NR,HR	655 	647 	627 	701 	608 	597 	614 	619 	664 	548 	426 	418 	393 	368 	308 	348 	307 	331 	317 	297 	237 	292 
TOTAL,NR,HU	1200 	1239 	1429 	1326 	1296 	1278 	1303 	1232 	996 	822 	740 	638 	605 	591 	626 	644 	607 	625 	633 	602 	460 	544 
TOTAL,NR,IE	418 	412 	378 	337 	377 	400 	365 	338 	280 	238 	212 	186 	163 	188 	192 	162 	182 	154 	135 	140 	146 	137 
TOTAL,NR,IS	32 	24 	29 	23 	23 	19 	31 	15 	12 	17 	8 	12 	9 	15 	4 	16 	18 	16 	18 	6 	8 	9 
TOTAL,NR,IT	7061 	7096 	6980 	6563 	6122 	5818 	5669 	5131 	4725 	4237 	4114 	3860 	3753 	3401 	3381 	3428 	3283 	3378 	3334 	3173 	2395 	2875 
TOTAL,NR,LI	3 	2 	0 	5 	1 	2 	0 	0 	1 	1 	0 	2 	1 	2 	3 	2 	0 	2 	0 	0 	: 	: 
TOTAL,NR,LT	641 	706 	697 	709 	752 	773 	760 	740 	499 	370 	299 	296 	302 	256 	267 	242 	188 	191 	173 	186 	175 	148 
TOTAL,NR,LU	76 	70 	62 	53 	50 	47 	43 	46 	35 	48 	32 	33 	34 	45 	35 	36 	32 	25 	36 	22 	26 	24 
TOTAL,NR,LV	635 	558 	559 	532 	516 	442 	407 	419 	316 	254 	218 	179 	177 	179 	212 	188 	158 	136 	148 	132 	139 	147 
TOTAL,NR,MT	15 	16 	16 	16 	13 	17 	11 	12 	9 	15 	13 	16 	9 	17 	10 	11 	23 	19 	18 	16 	12 	9 
TOTAL,NR,NL	1082 	993 	987 	1028 	804 	750 	730 	709 	677 	644 	537 	546 	562 	476 	476 	531 	533 	535 	598 	586 	515 	509 
TOTAL,NR,NO	341 	275 	310 	280 	257 	224 	242 	233 	255 	212 	208 	168 	145 	187 	147 	117 	135 	106 	108 	108 	93 	80 
TOTAL,NR,PL	6294 	5534 	5826 	5642 	5712 	5444 	5243 	5583 	5437 	4572 	3908 	4189 	3571 	3357 	3202 	2938 	3026 	2831 	2862 	2909 	2491 	2245 
TOTAL,NR,PT	1836 	1655 	1653 	1523 	1283 	1228 	949 	958 	867 	823 	937 	891 	718 	637 	638 	593 	563 	602 	700 	688 	536 	561 
TOTAL,NR,RO	2466 	2450 	2411 	2229 	2442 	2629 	2587 	2800 	3065 	2796 	2377 	2018 	2042 	1861 	1818 	1893 	1913 	1951 	1867 	1864 	1644 	1779 
TOTAL,NR,SE	591 	583 	560 	529 	480 	440 	445 	471 	397 	358 	266 	319 	285 	260 	270 	259 	270 	253 	324 	221 	204 	210 
TOTAL,NR,SI	314 	278 	269 	242 	274 	258 	262 	293 	214 	171 	138 	141 	130 	125 	108 	120 	130 	104 	91 	102 	80 	114 
TOTAL,NR,SK	628 	625 	625 	653 	608 	606 	614 	661 	606 	384 	371 	325 	352 	251 	295 	310 	275 	276 	260 	270 	247 	247 
TOTAL,NR,UK	3580 	3598 	3581 	3658 	3368 	3336 	3298 	3059 	2645 	2337 	1905 	1960 	1802 	1770 	1854 	1804 	1860 	1856 	1839 	: 	: 	: 
TOTAL,RT,AT	12.2 	11.9 	11.8 	11.5 	10.7 	9.3 	8.8 	8.3 	8.2 	7.6 	6.6 	6.2 	6.3 	5.4 	5.0 	5.5 	4.9 	4.7 	4.6 	4.7 	3.9 	4.0 
TOTAL,RT,BE	14.3 	14.4 	12.6 	11.7 	11.2 	10.4 	10.1 	10.1 	8.8 	8.7 	7.8 	8.0 b	7.4 b	6.8 	6.6 	6.8 	5.9 	5.4 	5.3 	5.6 	4.3 	4.5 
TOTAL,RT,BG	12.4 	12.6 	12.2 	12.3 	12.2 	12.5 	13.7 	13.3 	14.2 	12.1 	10.5 	8.9 	8.2 	8.3 	9.2 	9.9 	9.9 	9.6 	8.7 	9.0 	6.7 	8.2 
TOTAL,RT,CH	8.2 	7.5 	7.0 	7.4 	6.9 	5.5 	4.9 	5.1 	4.7 	4.5 	4.2 	4.0 b	4.2 	3.3 	3.0 	3.1 	2.6 	2.7 	2.7 	2.2 	2.6 	2.3 
TOTAL,RT,CY	16.0 	14.0 	13.2 	13.5 	16.1 	13.8 	11.5 	11.6 	10.4 	8.8 	7.2 	8.3 	5.9 	5.1 	5.3 	6.7 	5.4 	6.2 	5.6 	5.9 	5.4 	5.0 
TOTAL,RT,CZ	14.5 	13.0 	14.0 	14.2 	13.6 	12.6 	10.4 	11.9 	10.4 	8.6 	7.7 	7.4 	7.1 	6.2 	6.5 	7.0 	5.8 	5.4 	6.2 	5.8 	4.8 	5.1 b
TOTAL,RT,DE	9.1 	8.5 	8.3 	8.0 	7.1 	6.5 	6.2 	6.0 	5.5 	5.1 	4.5 	5.0 b	4.5 	4.1 	4.2 	4.2 	3.9 	3.8 	4.0 	3.7 	3.3 	3.1 
TOTAL,RT,DK	9.3 	8.0 	8.6 	8.0 	6.8 	6.1 	5.6 	7.4 	7.4 	5.5 	4.6 	3.9 	3.0 	3.4 	3.2 	3.1 	3.7 	3.0 	3.0 	3.4 	2.8 	2.2 
TOTAL,RT,EE	14.6 	14.3 	16.2 	12.0 	12.5 	12.5 	15.1 	14.6 	9.9 	7.3 	5.9 	7.6 	6.6 	6.1 	5.9 	5.1 b	5.4 	3.6 	5.1 	3.9 	4.4 	4.1 
TOTAL,RT,EL	18.9 	17.3 	15.0 	14.7 	15.2 	15.1 	15.0 	14.6 	14.0 	13.1 	11.3 	10.3 	8.9 	8.0 	7.3 	7.3 	7.6 	6.8 	6.5 	6.4 	5.5 	5.9 
TOTAL,RT,ES	14.2 	13.4 	12.8 	12.7 	11.0 	10.1 	9.2 	8.4 	6.7 	5.8 	5.2 	4.4 	4.0 	3.6 	3.6 	3.6 	3.9 	3.9 	3.9 	3.7 	2.9 	3.2 
TOTAL,RT,EU27_2020	12.5 b	11.9 b	11.7 	11.0 	10.3 	9.8 	9.2 	9.1 	8.4 b	7.5 	6.7 b	6.5 b	6.0 b	5.5 	5.4 b	5.5 b	5.3 	5.2 b	5.2 e	5.1 bep	4.2 ep	4.5 bep
TOTAL,RT,FI	7.7 	8.3 	8.0 	7.3 	7.2 	7.2 	6.4 	7.2 	6.5 	5.2 	5.1 	5.4 	4.7 	4.7 	4.2 	4.9 	4.7 	4.3 	4.3 	3.8 	4.0 	4.1 
TOTAL,RT,FR	13.3 	13.3 	12.4 	9.7 	8.8 	8.4 	7.4 	7.2 	6.7 	6.6 	6.2 	6.1 	5.6 	5.0 	5.1 b	5.2 	5.2 	5.1 	4.8 	4.8 p	3.8 p	4.3 p
TOTAL,RT,HR	14.7 e	15.0 b	14.6 	16.3 	14.1 	13.8 	14.2 	14.4 	15.4 	12.7 	9.9 	9.8 	9.2 	8.6 	7.3 	8.3 	7.4 	8.0 	7.7 	7.3 	5.9 	7.4 
TOTAL,RT,HU	11.8 	12.2 	14.1 	13.1 	12.8 	12.7 	12.9 	12.3 	9.9 	8.2 	7.4 	6.4 	6.1 b	6.0 	6.3 	6.5 	6.2 	6.4 	6.5 	6.2 	4.7 	5.6 
TOTAL,RT,IE	11.0 	10.7 	9.6 	8.4 	9.3 	9.6 	8.5 	7.7 	6.2 	5.2 	4.6 	4.1 	3.5 	4.1 	4.1 	3.4 	3.8 	3.2 	2.8 e	2.8 e	2.9 	2.7 
TOTAL,RT,IS	11.4 	8.4 	10.1 	7.9 	7.9 	6.4 	10.2 	4.8 	3.8 	5.3 	2.5 	3.8 	2.8 	4.6 	1.2 	4.8 	5.4 	4.7 	5.1 	1.7 	2.2 	2.4 
TOTAL,RT,IT	12.4 	12.5 	12.2 	11.5 	10.6 	10.0 	9.7 	8.8 	8.0 	7.2 	6.9 	6.5 	6.3 	5.6 	5.6 	5.6 	5.4 	5.6 	5.5 	5.3 b	4.0 	4.9 
TOTAL,RT,LI	9.2 	6.0 	0.0 	14.7 	2.9 	5.8 	0.0 	0.0 	2.8 	2.8 	0.0 	5.5 	2.7 	5.4 	8.1 	5.3 	0.0 	5.3 	0.0 	0.0 	: 	: 
TOTAL,RT,LT	18.3 	20.3 	20.2 	20.8 	22.3 	23.3 	23.2 	22.9 	15.6 	11.7 	9.7 	9.8 	10.1 	8.7 	9.1 	8.3 	6.6 	6.8 	6.2 	6.7 	6.3 	5.3 
TOTAL,RT,LU	17.4 	15.9 	13.9 	11.7 	10.9 	10.1 	9.1 	9.6 	7.2 	9.6 	6.3 	6.4 	6.4 b	8.3 	6.3 	6.3 	5.5 	4.2 b	5.9 	3.5 	4.1 	3.7 
TOTAL,RT,LV	26.8 	23.9 	24.2 	23.3 	22.8 	19.7 	18.3 	19.0 	14.5 	11.9 	10.4 	8.7 	8.7 	8.9 	10.6 	9.5 	8.1 	7.0 	7.7 	6.9 	7.3 	7.8 
TOTAL,RT,MT	3.8 	4.1 	4.0 	4.0 	3.2 	4.2 	2.7 	3.0 	2.2 	3.6 	3.1 	3.8 	2.1 	4.0 	2.3 	2.5 	5.1 	4.1 	3.7 	3.2 	2.3 	1.7 
TOTAL,RT,NL	6.8 	6.2 	6.1 	6.3 	4.9 	4.6 	4.5 	4.3 	4.1 	3.9 	3.2 	3.3 	3.4 	2.8 	2.8 	3.1 	3.1 	3.1 	3.5 	3.4 	3.0 	2.9 
TOTAL,RT,NO	7.6 	6.1 	6.8 	6.1 	5.6 	4.8 	5.2 	4.9 	5.3 	4.4 	4.3 	3.4 	2.9 	3.7 	2.9 	2.3 	2.6 	2.0 	2.0 	2.0 	1.7 	1.5 
TOTAL,RT,PL	16.5 b	14.5 	15.2 	14.8 	15.0 	14.3 	13.7 	14.6 	14.3 	12.0 	10.3 b	11.0 	9.4 	8.8 	8.4 	7.7 	8.0 	7.5 	7.5 e	7.7 e	6.6 ep	5.9 ep
TOTAL,RT,PT	17.8 	16.0 	15.9 	14.6 	12.2 	11.7 	9.0 	9.1 	8.2 	7.8 	8.9 	8.4 	6.8 	6.1 	6.1 	5.7 	5.5 	5.8 	6.8 	6.7 	5.2 	5.4 bp
TOTAL,RT,RO	11.0 	11.1 	11.1 	10.3 	11.4 	12.3 	12.2 	13.4 	14.9 	13.7 	11.7 	10.0 	10.2 	9.3 	9.1 	9.6 	9.7 	10.0 	9.6 	9.6 e	8.5 e	9.3 e
TOTAL,RT,SE	6.7 	6.6 	6.3 	5.9 	5.3 	4.9 	4.9 	5.1 	4.3 	3.9 	2.8 	3.4 	3.0 	2.7 	2.8 	2.6 	2.7 	2.5 	3.2 	2.2 	2.0 	2.0 
TOTAL,RT,SI	15.8 	14.0 	13.5 	12.1 	13.7 	12.9 	13.1 	14.5 	10.6 b	8.4 	6.7 	6.9 	6.3 	6.1 	5.2 	5.8 	6.3 	5.0 	4.4 	4.9 	3.8 	5.4 
TOTAL,RT,SK	11.7 	11.6 	11.6 	12.2 	11.3 	11.3 	11.4 	12.3 	11.3 	7.1 	6.9 	6.0 	6.5 	4.6 	5.4 	5.7 	5.1 	5.1 	4.8 	5.0 	4.5 	4.5 
TOTAL,RT,UK	6.1 	6.1 	6.0 	6.1 	5.6 	5.5 	5.4 	5.0 	4.3 	3.8 	3.0 	3.1 	2.8 	2.8 	2.9 	2.8 	2.8 	2.8 	2.8 	: 	: 	: 
UNK,NR,BE	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	28 	10 	25 	7 	9 	6 	3 	1 	0 	4 	1 	0 
UNK,NR,BG	1012 	1011 	959 	960 	943 	957 	1043 	1006 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
UNK,NR,CH	592 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,NR,CY	111 	98 	94 	97 	117 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45 
UNK,NR,EE	204 	199 	223 	164 	170 	: 	: 	: 	: 	: 	: 	: 	87 	81 	: 	67 	: 	: 	: 	: 	: 	: 
UNK,NR,EU27_2020	5101 	4474 	4604 	3180 	2614 	2338 	2421 	1749 	504 	381 	354 	655 	785 	633 	651 	653 	27 	9 	11 	171 p	161 p	551 p
UNK,NR,HR	655 	647 	627 	701 	608 	597 	614 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,NR,HU	1200 	1239 	1429 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,NR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	140 	146 	137 
UNK,NR,IS	32 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,NR,LI	3 	2 	0 	5 	1 	2 	0 	0 	1 	1 	0 	2 	1 	2 	3 	2 	0 	2 	0 	0 	: 	: 
UNK,NR,LT	641 	706 	697 	709 	752 	773 	760 	740 	499 	370 	299 	296 	302 	256 	267 	242 	: 	: 	: 	: 	: 	: 
UNK,NR,LU	: 	: 	: 	: 	: 	0 	3 	3 	0 	2 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,NR,LV	635 	558 	559 	532 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	147 
UNK,NR,MT	15 	16 	16 	16 	13 	: 	: 	: 	: 	: 	: 	16 	9 	17 	10 	0 	: 	: 	: 	16 	: 	9 
UNK,NR,NL	: 	: 	: 	: 	11 	11 	0 	0 	3 	2 	21 	4 	6 	15 	56 	21 	13 	0 	5 	5 	7 	3 
UNK,NR,NO	341 	275 	310 	280 	257 	224 	242 	233 	255 	2 	8 	1 	145 	3 	0 	0 	1 	1 	0 	0 	0 	0 
UNK,NR,PL	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,NR,SE	: 	: 	: 	1 	0 	0 	1 	0 	2 	7 	6 	4 	4 	6 	14 	7 	11 	8 	6 	6 	7 	210 
UNK,NR,SK	628 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	325 	352 	251 	295 	310 	: 	0 	: 	0 	0 	: 
UNK,RT,BE	: 	: 	: 	0.0 	: 	: 	: 	: 	: 	: 	0.3 	0.1 b	0.2 b	0.1 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
UNK,RT,BG	12.4 	12.6 	12.2 	12.3 	12.2 	12.5 	13.7 	13.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0 
UNK,RT,CH	8.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
UNK,RT,CY	16.0 	14.0 	13.2 	13.5 	16.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.0 
UNK,RT,EE	14.6 	14.3 	16.2 	12.0 	12.5 	: 	: 	: 	: 	: 	: 	: 	6.6 	6.1 	: 	5.1 b	: 	: 	: 	: 	: 	: 
