,route,time
151,"{'BEG', 'WAW'}",100.0
152,"{'BEG', 'ZRH'}",100.0
153,"{'BFS', 'ALC'}",177.5
154,"{'BFS', 'BHX'}",65.0
155,"{'BFS', 'EDI'}",52.5
156,"{'BFS', 'GVA'}",135.0
157,"{'BGC', 'VRL'}",20.0
158,"{'AGP', 'BGO'}",240.0
159,"{'BGY', 'AGP'}",155.0
160,"{'ALC', 'BGY'}",130.0
161,"{'ARN', 'BGY'}",165.0
162,"{'BGY', 'BCN'}",100.0
163,"{'BRS', 'BGY'}",120.0
164,"{'BVA', 'BGY'}",90.0
165,"{'BGY', 'CAG'}",90.0
166,"{'BGY', 'CRL'}",92.5
167,"{'BGY', 'IAS'}",145.0
168,"{'BGY', 'OPO'}",155.0
169,"{'BGY', 'OTP'}",137.5
170,"{'PSR', 'BGY'}",75.0
171,"{'BGY', 'SUF'}",102.5
172,"{'BGY', 'VLC'}",122.5
173,"{'BHD', 'AMS'}",92.5
174,"{'BHD', 'BHX'}",75.0
175,"{'BHD', 'LGW'}",85.0
176,"{'BHD', 'LHR'}",80.0
177,"{'BHD', 'LPL'}",50.0
178,"{'BHD', 'MAN'}",65.0
179,"{'BHX', 'AGP'}",175.0
180,"{'BHX', 'BCN'}",130.0
181,"{'BHX', 'CRA'}",210.0
182,"{'BHX', 'FUE'}",260.0
183,"{'BHX', 'OPO'}",140.0
184,"{'BHX', 'OTP'}",215.0
185,"{'BHX', 'POZ'}",135.0
186,"{'BHX', 'VLC'}",150.0
187,"{'BIO', 'ACE'}",170.0
188,"{'BIO', 'AMS'}",135.0
189,"{'BIO', 'BCN'}",72.5
190,"{'BIO', 'CDG'}",102.5
191,"{'BIO', 'FUE'}",175.0
192,"{'BIO', 'LGW'}",108.33333333333333
193,"{'BIO', 'MAD'}",67.5
194,"{'BIO', 'MUC'}",135.0
195,"{'BIO', 'OPO'}",77.5
196,"{'GDN', 'BLL'}",90.0
197,"{'OTP', 'BLL'}",180.0
198,"{'CRA', 'BLQ'}",120.0
199,"{'BNN', 'BOO'}",40.0
200,"{'BNN', 'TRD'}",45.0
201,"{'BNX', 'GOT'}",145.0
202,"{'BCN', 'BOD'}",80.0
203,"{'BOH', 'AGP'}",157.5
204,"{'BOO', 'LKN'}",25.0
205,"{'BOO', 'MJF'}",35.0
206,"{'BRE', 'MUC'}",75.0
207,"{'BRI', 'BGY'}",90.0
