,route,time,departure airport,arrival airport,departure city,arrival city
328,"{'CPH', 'ZRH'}",105.0,CPH,ZRH,Copenhagen,Zurich
329,"{'BLQ', 'CRA'}",110.0,BLQ,CRA,Bologna,Craiova
330,"{'CRL', 'CRA'}",150.0,CRL,CRA,Charleroi,Craiova
331,"{'BCN', 'CRL'}",135.0,BCN,CRL,Barcelona,Charleroi
332,"{'CIA', 'CRL'}",130.0,CIA,CRL,Rome,Charleroi
333,"{'OTP', 'CRL'}",175.0,OTP,CRL,Otopeni,Charleroi
334,"{'CRV', 'BGY'}",105.0,CRV,BGY,Crotone,Orio al Serio (BG)
335,"{'CRV', 'BLQ'}",100.0,CRV,BLQ,Crotone,Bologna
336,"{'CSY', 'SVO'}",95.0,CSY,SVO,Cheboksary,Moscow
337,"{'CSY', 'VKO'}",85.0,CSY,VKO,Cheboksary,Moscow
338,"{'CTA', 'BGY'}",112.5,CTA,BGY,Catania,Orio al Serio (BG)
339,"{'CTA', 'BLQ'}",105.0,CTA,BLQ,Catania,Bologna
340,"{'CTA', 'CRL'}",160.0,CTA,CRL,Catania,Charleroi
341,"{'CTA', 'FLR'}",95.0,CTA,FLR,Catania,Firenze
342,"{'CTA', 'OTP'}",130.0,CTA,OTP,Catania,Otopeni
343,"{'CTA', 'PRG'}",140.0,CTA,PRG,Catania,Prague
344,"{'CTA', 'VRN'}",107.5,CTA,VRN,Catania,Caselle (VR)
345,"{'DBV', 'ZAG'}",55.0,DBV,ZAG,Čilipi,Zagreb
346,"{'DEB', 'LTN'}",167.5,DEB,LTN,Debrecen,"Luton, Bedfordshire"
347,"{'DME', 'AER'}",217.5,DME,AER,Moscow,Sochi
348,"{'DME', 'ARH'}",110.0,DME,ARH,Moscow,Archangelsk
349,"{'DME', 'GRV'}",185.0,DME,GRV,Moscow,Grozny
350,"{'DME', 'HTA'}",402.5,DME,HTA,Moscow,Chita
351,"{'DME', 'IJK'}",100.0,DME,IJK,Moscow,Izhevsk
352,"{'DME', 'KZN'}",105.0,DME,KZN,Moscow,Kazan
353,"{'DME', 'LED'}",96.25,DME,LED,Moscow,St. Petersburg
354,"{'DME', 'MMK'}",165.0,DME,MMK,Moscow,Murmansk
355,"{'DME', 'MSQ'}",85.0,DME,MSQ,Moscow,Minsk
356,"{'DME', 'NOZ'}",277.5,DME,NOZ,Moscow,Novokuznetsk
357,"{'DME', 'PEE'}",145.0,DME,PEE,Moscow,Perm
358,"{'DME', 'PEZ'}",80.0,DME,PEZ,Moscow,Penza
359,"{'DME', 'VOG'}",110.0,DME,VOG,Moscow,Volgograd
360,"{'DTM', 'BEG'}",125.0,DTM,BEG,Dortmund,Belgrade
361,"{'DTM', 'BUD'}",105.0,DTM,BUD,Dortmund,Budapest
362,"{'DTM', 'CLJ'}",130.0,DTM,CLJ,Dortmund,Cluj-Napoca
363,"{'DTM', 'FCO'}",125.0,DTM,FCO,Dortmund,Rome
364,"{'DTM', 'GDN'}",95.0,DTM,GDN,Dortmund,Gdańsk
365,"{'DTM', 'KTW'}",95.0,DTM,KTW,Dortmund,Ożarowice
366,"{'DTM', 'SZY'}",107.5,DTM,SZY,Dortmund,Olsztyn
367,"{'DTM', 'TZL'}",130.0,DTM,TZL,Dortmund,Dubrave Gornje
368,"{'DTM', 'VNO'}",125.0,DTM,VNO,Dortmund,Vilnius
369,"{'DUS', 'ACE'}",265.0,DUS,ACE,Düsseldorf,San Bartolomé
370,"{'DUS', 'AMS'}",55.0,DUS,AMS,Düsseldorf,Amsterdam
371,"{'DUS', 'CDG'}",75.0,DUS,CDG,Düsseldorf,Paris
372,"{'DUS', 'CPH'}",75.0,DUS,CPH,Düsseldorf,Copenhagen
373,"{'DUS', 'FRA'}",50.0,DUS,FRA,Düsseldorf,Frankfurt am Main
374,"{'DUS', 'FUE'}",265.0,DUS,FUE,Düsseldorf,El Matorral
375,"{'DUS', 'HEL'}",140.0,DUS,HEL,Düsseldorf,Helsinki
376,"{'DUS', 'IVL'}",210.0,DUS,IVL,Düsseldorf,Ivalo
377,"{'DUS', 'KIV'}",160.0,DUS,KIV,Düsseldorf,Chişinău
378,"{'DUS', 'KTT'}",190.0,DUS,KTT,Düsseldorf,Kittilä
379,"{'DUS', 'LHR'}",85.0,DUS,LHR,Düsseldorf,London
380,"{'DUS', 'LIS'}",185.0,DUS,LIS,Düsseldorf,Lisbon
381,"{'DUS', 'MAD'}",160.0,DUS,MAD,Düsseldorf,Madrid
382,"{'DUS', 'MUC'}",70.0,DUS,MUC,Düsseldorf,Munich
383,"{'DUS', 'PRN'}",162.5,DUS,PRN,Düsseldorf,Prishtina
384,"{'DUS', 'SPC'}",277.5,DUS,SPC,Düsseldorf,"Sta Cruz de la Palma, La Palma Island"
385,"{'DUS', 'TIA'}",145.0,DUS,TIA,Düsseldorf,Rinas
386,"{'DUS', 'TOS'}",210.0,DUS,TOS,Düsseldorf,Tromsø
387,"{'DUS', 'VIE'}",95.0,DUS,VIE,Düsseldorf,Vienna
388,"{'DUS', 'ZRH'}",70.0,DUS,ZRH,Düsseldorf,Zurich
389,"{'EAS', 'BCN'}",65.0,EAS,BCN,Hondarribia,Barcelona
390,"{'EAS', 'MAD'}",65.0,EAS,MAD,Hondarribia,Madrid
391,"{'EDI', 'AGP'}",200.0,EDI,AGP,Edinburgh,Málaga
392,"{'EDI', 'BCN'}",160.0,EDI,BCN,Edinburgh,Barcelona
393,"{'EDI', 'BHX'}",65.0,EDI,BHX,Edinburgh,Birmingham
394,"{'EDI', 'BRS'}",75.0,EDI,BRS,Edinburgh,Bristol
395,"{'EDI', 'CRL'}",105.0,EDI,CRL,Edinburgh,Charleroi
396,"{'EDI', 'FUE'}",285.0,EDI,FUE,Edinburgh,El Matorral
397,"{'EDI', 'GOT'}",112.5,EDI,GOT,Edinburgh,Gothenburg
398,"{'EDI', 'GVA'}",137.5,EDI,GVA,Edinburgh,Geneva
399,"{'EDI', 'LGW'}",85.0,EDI,LGW,Edinburgh,"Gatwick, Surrey"
400,"{'EDI', 'MAD'}",175.0,EDI,MAD,Edinburgh,Madrid
401,"{'EIN', 'AGP'}",177.5,EIN,AGP,Eindhoven,Málaga
402,"{'EIN', 'ALC'}",155.0,EIN,ALC,Eindhoven,Alicante
403,"{'EIN', 'ATH'}",175.0,EIN,ATH,Eindhoven,Spata-Artemida
404,"{'EIN', 'BDS'}",145.0,EIN,BDS,Eindhoven,Brindisi
405,"{'EIN', 'BGY'}",97.5,EIN,BGY,Eindhoven,Orio al Serio (BG)
406,"{'EIN', 'BUD'}",120.0,EIN,BUD,Eindhoven,Budapest
407,"{'EIN', 'CLJ'}",140.0,EIN,CLJ,Eindhoven,Cluj-Napoca
408,"{'EIN', 'DEB'}",130.0,EIN,DEB,Eindhoven,Debrecen
409,"{'EIN', 'KRK'}",115.0,EIN,KRK,Eindhoven,Balice
410,"{'EIN', 'LIS'}",175.0,EIN,LIS,Eindhoven,Lisbon
411,"{'EIN', 'SZG'}",85.0,EIN,SZG,Eindhoven,Salzburg
412,"{'EIN', 'VNO'}",137.5,EIN,VNO,Eindhoven,Vilnius
413,"{'EMA', 'ACE'}",252.5,EMA,ACE,Nottingham,San Bartolomé
414,"{'EMA', 'AGP'}",180.0,EMA,AGP,Nottingham,Málaga
415,"{'EMA', 'ALC'}",165.0,EMA,ALC,Nottingham,Alicante
416,"{'EMA', 'BFS'}",65.0,EMA,BFS,Nottingham,Belfast
417,"{'EMA', 'FUE'}",256.6666666666667,EMA,FUE,Nottingham,El Matorral
418,"{'EMA', 'GVA'}",112.5,EMA,GVA,Nottingham,Geneva
419,"{'EMA', 'ORY'}",105.0,EMA,ORY,Nottingham,Paris
420,"{'EMA', 'RZE'}",165.0,EMA,RZE,Nottingham,Jasionka
421,"{'FAO', 'AMS'}",190.0,FAO,AMS,Faro,Amsterdam
422,"{'FAO', 'BFS'}",188.75,FAO,BFS,Faro,Belfast
423,"{'FAO', 'GLA'}",200.0,FAO,GLA,Faro,"Paisley, Renfrewshire"
424,"{'FAO', 'LIS'}",47.5,FAO,LIS,Faro,Lisbon
425,"{'FAO', 'LPL'}",180.0,FAO,LPL,Faro,Liverpool
426,"{'FAO', 'LTN'}",172.5,FAO,LTN,Faro,"Luton, Bedfordshire"
427,"{'FAO', 'NRN'}",187.5,FAO,NRN,Faro,Weeze
428,"{'FCO', 'AGP'}",157.5,FCO,AGP,Rome,Málaga
429,"{'FCO', 'AHO'}",65.0,FCO,AHO,Rome,Alghero
430,"{'FCO', 'AMS'}",155.0,FCO,AMS,Rome,Amsterdam
431,"{'FCO', 'AOI'}",65.0,FCO,AOI,Rome,Ancona
432,"{'FCO', 'ATH'}",125.0,FCO,ATH,Rome,Spata-Artemida
433,"{'FCO', 'BCN'}",105.0,FCO,BCN,Rome,Barcelona
434,"{'FCO', 'BDS'}",75.0,FCO,BDS,Rome,Brindisi
435,"{'FCO', 'BLQ'}",60.0,FCO,BLQ,Rome,Bologna
436,"{'FCO', 'BRU'}",125.0,FCO,BRU,Rome,Zaventem
437,"{'FCO', 'BUD'}",105.0,FCO,BUD,Rome,Budapest
438,"{'FCO', 'CAG'}",65.0,FCO,CAG,Rome,Cagliari
439,"{'FCO', 'CDG'}",127.5,FCO,CDG,Rome,Paris
440,"{'FCO', 'CGN'}",120.0,FCO,CGN,Rome,Köln (Cologne)
441,"{'FCO', 'CTA'}",80.0,FCO,CTA,Rome,Catania
442,"{'FCO', 'EIN'}",130.0,FCO,EIN,Rome,Eindhoven
443,"{'FCO', 'FLR'}",55.0,FCO,FLR,Rome,Firenze
444,"{'FCO', 'FMM'}",90.0,FCO,FMM,Rome,Memmingen
445,"{'FCO', 'GOA'}",65.0,FCO,GOA,Rome,Genova (GE)
446,"{'FCO', 'KIV'}",160.0,FCO,KIV,Rome,Chişinău
447,"{'FCO', 'LGW'}",150.0,FCO,LGW,Rome,"Gatwick, Surrey"
448,"{'FCO', 'LHR'}",160.0,FCO,LHR,Rome,London
449,"{'FCO', 'LIN'}",70.0,FCO,LIN,Rome,Segrate (MI)
450,"{'FCO', 'LIS'}",185.0,FCO,LIS,Rome,Lisbon
451,"{'FCO', 'LYS'}",95.0,FCO,LYS,Rome,Lyon
452,"{'FCO', 'MAD'}",152.5,FCO,MAD,Rome,Madrid
453,"{'FCO', 'MLA'}",90.0,FCO,MLA,Rome,Valletta
454,"{'FCO', 'MRS'}",87.5,FCO,MRS,Rome,Marseille
455,"{'FCO', 'MUC'}",90.0,FCO,MUC,Rome,Munich
456,"{'FCO', 'NCE'}",70.0,FCO,NCE,Rome,Nice
457,"{'FCO', 'OLB'}",62.5,FCO,OLB,Rome,Olbia (SS)
458,"{'FCO', 'ORY'}",115.0,FCO,ORY,Rome,Paris
459,"{'FCO', 'OTP'}",140.0,FCO,OTP,Rome,Otopeni
460,"{'FCO', 'PMO'}",67.5,FCO,PMO,Rome,Palermo
461,"{'FCO', 'POZ'}",140.0,FCO,POZ,Rome,Poznań
462,"{'FCO', 'PRG'}",110.0,FCO,PRG,Rome,Prague
463,"{'FCO', 'RDO'}",135.0,FCO,RDO,Rome,Radom
464,"{'FCO', 'SCV'}",142.5,FCO,SCV,Rome,Suceava
465,"{'FCO', 'SPU'}",65.0,FCO,SPU,Rome,Split
466,"{'FCO', 'SUF'}",70.0,FCO,SUF,Rome,Lamezia Terme (CZ)
467,"{'FCO', 'TIA'}",80.0,FCO,TIA,Rome,Rinas
468,"{'FCO', 'TRN'}",75.0,FCO,TRN,Rome,Caselle Torinese (TO)
469,"{'FCO', 'TRS'}",65.0,FCO,TRS,Rome,Ronchi dei Legionari (GO)
470,"{'FCO', 'VIE'}",102.5,FCO,VIE,Rome,Vienna
471,"{'FCO', 'VLC'}",125.0,FCO,VLC,Rome,Valencia
472,"{'FCO', 'VRN'}",60.0,FCO,VRN,Rome,Caselle (VR)
473,"{'FCO', 'WAW'}",145.0,FCO,WAW,Rome,Warsaw
474,"{'FCO', 'ZRH'}",95.0,FCO,ZRH,Rome,Zurich
475,"{'FKB', 'ALC'}",142.5,FKB,ALC,Rheinmünster,Alicante
476,"{'FKB', 'OPO'}",160.0,FKB,OPO,Rheinmünster,Porto
477,"{'FLR', 'CDG'}",110.0,FLR,CDG,Firenze,Paris
478,"{'FLR', 'LGW'}",130.0,FLR,LGW,Firenze,"Gatwick, Surrey"
479,"{'FLR', 'MAD'}",145.0,FLR,MAD,Firenze,Madrid
480,"{'FLR', 'MUC'}",75.0,FLR,MUC,Firenze,Munich
481,"{'FMM', 'CLJ'}",115.0,FMM,CLJ,Memmingen,Cluj-Napoca
482,"{'FMM', 'OPO'}",170.0,FMM,OPO,Memmingen,Porto
483,"{'FMM', 'OTP'}",135.0,FMM,OTP,Memmingen,Otopeni
484,"{'FMM', 'TZL'}",97.5,FMM,TZL,Memmingen,Dubrave Gornje
485,"{'FNC', 'AMS'}",250.0,FNC,AMS,Funchal,Amsterdam
486,"{'FNC', 'BRS'}",217.5,FNC,BRS,Funchal,Bristol
487,"{'FNC', 'BSL'}",235.0,FNC,BSL,Funchal,Saint-Louis
488,"{'FNC', 'BUD'}",295.0,FNC,BUD,Funchal,Budapest
489,"{'FNC', 'KTW'}",305.0,FNC,KTW,Funchal,Ożarowice
490,"{'FNC', 'LIS'}",103.33333333333331,FNC,LIS,Funchal,Lisbon
491,"{'FNC', 'MAD'}",145.0,FNC,MAD,Funchal,Madrid
492,"{'FNC', 'OPO'}",115.0,FNC,OPO,Funchal,Porto
493,"{'FNC', 'ORY'}",215.0,FNC,ORY,Funchal,Paris
494,"{'FNC', 'PXO'}",25.0,FNC,PXO,Funchal,Vila Baleira
495,"{'FRA', 'ACE'}",270.0,FRA,ACE,Frankfurt am Main,San Bartolomé
496,"{'FRA', 'AGP'}",185.0,FRA,AGP,Frankfurt am Main,Málaga
497,"{'FRA', 'ALC'}",165.0,FRA,ALC,Frankfurt am Main,Alicante
498,"{'FRA', 'AMS'}",75.0,FRA,AMS,Frankfurt am Main,Amsterdam
499,"{'FRA', 'ARN'}",132.5,FRA,ARN,Frankfurt am Main,Stockholm
500,"{'FRA', 'BCN'}",130.0,FRA,BCN,Frankfurt am Main,Barcelona
501,"{'FRA', 'BLQ'}",90.0,FRA,BLQ,Frankfurt am Main,Bologna
502,"{'FRA', 'BRE'}",60.0,FRA,BRE,Frankfurt am Main,Bremen
503,"{'FRA', 'BRS'}",97.5,FRA,BRS,Frankfurt am Main,Bristol
504,"{'FRA', 'BRU'}",60.0,FRA,BRU,Frankfurt am Main,Zaventem
505,"{'FRA', 'BSL'}",55.0,FRA,BSL,Frankfurt am Main,Saint-Louis
506,"{'FRA', 'BUD'}",100.0,FRA,BUD,Frankfurt am Main,Budapest
507,"{'FRA', 'CDG'}",75.0,FRA,CDG,Frankfurt am Main,Paris
508,"{'FRA', 'DRS'}",65.0,FRA,DRS,Frankfurt am Main,Dresden
509,"{'FRA', 'DUS'}",50.0,FRA,DUS,Frankfurt am Main,Düsseldorf
510,"{'FRA', 'FLR'}",92.5,FRA,FLR,Frankfurt am Main,Firenze
511,"{'FRA', 'FUE'}",275.0,FRA,FUE,Frankfurt am Main,El Matorral
512,"{'FRA', 'GOT'}",105.0,FRA,GOT,Frankfurt am Main,Gothenburg
513,"{'FRA', 'GRZ'}",85.0,FRA,GRZ,Frankfurt am Main,Feldkirchen bei Graz
514,"{'FRA', 'GVA'}",65.0,FRA,GVA,Frankfurt am Main,Geneva
515,"{'FRA', 'HAM'}",67.5,FRA,HAM,Frankfurt am Main,Hamburg
516,"{'FRA', 'HEL'}",160.0,FRA,HEL,Frankfurt am Main,Helsinki
517,"{'FRA', 'HHN'}",45.0,FRA,HHN,Frankfurt am Main,Frankfurt am Main (Lautzenhausen)
518,"{'FRA', 'IVL'}",220.0,FRA,IVL,Frankfurt am Main,Ivalo
519,"{'FRA', 'KAO'}",190.0,FRA,KAO,Frankfurt am Main,Kuusamo
520,"{'FRA', 'KRK'}",97.5,FRA,KRK,Frankfurt am Main,Balice
521,"{'FRA', 'LEJ'}",60.0,FRA,LEJ,Frankfurt am Main,Schkeuditz
522,"{'FRA', 'LGW'}",90.0,FRA,LGW,Frankfurt am Main,"Gatwick, Surrey"
523,"{'FRA', 'LHR'}",105.0,FRA,LHR,Frankfurt am Main,London
524,"{'FRA', 'LIN'}",77.5,FRA,LIN,Frankfurt am Main,Segrate (MI)
525,"{'FRA', 'MAN'}",105.0,FRA,MAN,Frankfurt am Main,Manchester
526,"{'FRA', 'MUC'}",65.0,FRA,MUC,Frankfurt am Main,Munich
527,"{'FRA', 'MXP'}",80.0,FRA,MXP,Frankfurt am Main,Ferno (VA)
528,"{'FRA', 'NUE'}",45.0,FRA,NUE,Frankfurt am Main,Nuremberg
529,"{'FRA', 'OSL'}",140.0,FRA,OSL,Frankfurt am Main,Oslo
530,"{'FRA', 'POZ'}",90.0,FRA,POZ,Frankfurt am Main,Poznań
531,"{'FRA', 'PRG'}",70.0,FRA,PRG,Frankfurt am Main,Prague
532,"{'FRA', 'STR'}",50.0,FRA,STR,Frankfurt am Main,Stuttgart
533,"{'FRA', 'SZG'}",65.0,FRA,SZG,Frankfurt am Main,Salzburg
534,"{'FRA', 'TLL'}",155.0,FRA,TLL,Frankfurt am Main,Tallinn
535,"{'FRA', 'TRN'}",80.0,FRA,TRN,Frankfurt am Main,Caselle Torinese (TO)
536,"{'FRA', 'VIE'}",86.66666666666667,FRA,VIE,Frankfurt am Main,Vienna
537,"{'FRA', 'WAW'}",120.0,FRA,WAW,Frankfurt am Main,Warsaw
538,"{'FRA', 'WRO'}",85.0,FRA,WRO,Frankfurt am Main,Wrocław
539,"{'FRA', 'ZAG'}",95.0,FRA,ZAG,Frankfurt am Main,Zagreb
540,"{'FRA', 'ZRH'}",60.0,FRA,ZRH,Frankfurt am Main,Zurich
541,"{'FRO', 'BGO'}",35.0,FRO,BGO,Florø,Bergen
542,"{'NCE', 'FSC'}",55.0,NCE,FSC,Nice,Figari Sud-Corse
543,"{'GCI', 'BHX'}",85.0,GCI,BHX,Saint Peter Port,Birmingham
544,"{'GCI', 'JER'}",20.0,GCI,JER,Saint Peter Port,Saint Helier
545,"{'GCI', 'LGW'}",71.66666666666667,GCI,LGW,Saint Peter Port,"Gatwick, Surrey"
546,"{'GCI', 'SOU'}",45.0,GCI,SOU,Saint Peter Port,Southampton
547,"{'AGP', 'GDN'}",245.0,AGP,GDN,Málaga,Gdańsk
548,"{'GDZ', 'LED'}",180.0,GDZ,LED,Gelendzhik,St. Petersburg
549,"{'GLA', 'ACE'}",280.0,GLA,ACE,"Paisley, Renfrewshire",San Bartolomé
550,"{'GLA', 'AMS'}",92.5,GLA,AMS,"Paisley, Renfrewshire",Amsterdam
551,"{'GLA', 'BRS'}",75.0,GLA,BRS,"Paisley, Renfrewshire",Bristol
552,"{'GLA', 'CDG'}",110.0,GLA,CDG,"Paisley, Renfrewshire",Paris
553,"{'GLA', 'FUE'}",280.0,GLA,FUE,"Paisley, Renfrewshire",El Matorral
554,"{'GLA', 'GVA'}",137.5,GLA,GVA,"Paisley, Renfrewshire",Geneva
555,"{'GLA', 'LTN'}",75.0,GLA,LTN,"Paisley, Renfrewshire","Luton, Bedfordshire"
556,"{'GLA', 'SYY'}",60.0,GLA,SYY,"Paisley, Renfrewshire","Stornoway, Western Isles"
557,"{'BRS', 'GNB'}",100.0,BRS,GNB,Bristol,Saint-Étienne-de-Saint-Geoirs
558,"{'BCN', 'GOA'}",95.0,BCN,GOA,Barcelona,Genova (GE)
559,"{'GOJ', 'LED'}",125.0,GOJ,LED,Nizhny Novgorod,St. Petersburg
560,"{'GOJ', 'SVO'}",80.0,GOJ,SVO,Nizhny Novgorod,Moscow
561,"{'GOJ', 'VOG'}",102.5,GOJ,VOG,Nizhny Novgorod,Volgograd
562,"{'AGP', 'GOT'}",235.0,AGP,GOT,Málaga,Gothenburg
563,"{'BGO', 'GOT'}",75.0,BGO,GOT,Bergen,Gothenburg
564,"{'GRO', 'BHX'}",135.0,GRO,BHX,Girona,Birmingham
565,"{'GRX', 'BCN'}",87.5,GRX,BCN,Granada,Barcelona
566,"{'GRX', 'MAD'}",70.0,GRX,MAD,Granada,Madrid
567,"{'GVA', 'ARN'}",160.0,GVA,ARN,Geneva,Stockholm
568,"{'GVA', 'BCN'}",90.0,GVA,BCN,Geneva,Barcelona
569,"{'GVA', 'BHX'}",110.0,GVA,BHX,Geneva,Birmingham
570,"{'GVA', 'BOH'}",100.0,GVA,BOH,Geneva,Bournemouth
571,"{'GVA', 'BRS'}",105.0,GVA,BRS,Geneva,Bristol
572,"{'GVA', 'BRU'}",80.0,GVA,BRU,Geneva,Zaventem
573,"{'GVA', 'GOT'}",135.0,GVA,GOT,Geneva,Gothenburg
574,"{'GVA', 'LGW'}",97.5,GVA,LGW,Geneva,"Gatwick, Surrey"
575,"{'GVA', 'LPL'}",115.0,GVA,LPL,Geneva,Liverpool
576,"{'GVA', 'MAD'}",125.0,GVA,MAD,Geneva,Madrid
577,"{'GVA', 'MUC'}",75.0,GVA,MUC,Geneva,Munich
578,"{'GVA', 'OPO'}",135.0,GVA,OPO,Geneva,Porto
579,"{'GVA', 'PRN'}",137.5,GVA,PRN,Geneva,Prishtina
580,"{'GVA', 'SOU'}",100.0,GVA,SOU,Geneva,Southampton
581,"{'HAJ', 'FRA'}",55.0,HAJ,FRA,Hannover,Frankfurt am Main
582,"{'HAJ', 'FUE'}",280.0,HAJ,FUE,Hannover,El Matorral
583,"{'HAJ', 'MUC'}",70.0,HAJ,MUC,Hannover,Munich
584,"{'AGP', 'HAM'}",200.0,AGP,HAM,Málaga,Hamburg
585,"{'FUE', 'HAM'}",295.0,FUE,HAM,El Matorral,Hamburg
586,"{'HAU', 'BGO'}",30.0,HAU,BGO,Karmøy,Bergen
587,"{'ARN', 'HEL'}",65.0,ARN,HEL,Stockholm,Helsinki
588,"{'HEL', 'BCN'}",245.0,HEL,BCN,Helsinki,Barcelona
589,"{'HEL', 'BRU'}",157.5,HEL,BRU,Helsinki,Zaventem
590,"{'CDG', 'HEL'}",170.0,CDG,HEL,Paris,Helsinki
591,"{'HEL', 'GOT'}",122.5,HEL,GOT,Helsinki,Gothenburg
592,"{'HEL', 'HAM'}",117.5,HEL,HAM,Helsinki,Hamburg
593,"{'HEL', 'IVL'}",90.0,HEL,IVL,Helsinki,Ivalo
594,"{'HEL', 'MAD'}",265.0,HEL,MAD,Helsinki,Madrid
595,"{'OUL', 'HEL'}",62.5,OUL,HEL,Oulu / Oulunsalo,Helsinki
596,"{'RVN', 'HEL'}",77.5,RVN,HEL,Rovaniemi,Helsinki
597,"{'HHN', 'AGP'}",175.0,HHN,AGP,Frankfurt am Main (Lautzenhausen),Málaga
598,"{'INI', 'HHN'}",135.0,INI,HHN,Niš,Frankfurt am Main (Lautzenhausen)
599,"{'IAS', 'CIA'}",140.0,IAS,CIA,Iaşi,Rome
600,"{'IAS', 'OTP'}",70.0,IAS,OTP,Iaşi,Otopeni
601,"{'IBZ', 'BCN'}",55.0,IBZ,BCN,Ibiza (Eivissa),Barcelona
602,"{'IBZ', 'MAD'}",75.0,IBZ,MAD,Ibiza (Eivissa),Madrid
603,"{'IBZ', 'VLC'}",50.0,IBZ,VLC,Ibiza (Eivissa),Valencia
604,"{'HHN', 'INI'}",130.0,HHN,INI,Frankfurt am Main (Lautzenhausen),Niš
605,"{'INI', 'LJU'}",112.5,INI,LJU,Niš,Zgornji Brnik
606,"{'INN', 'BRS'}",127.5,INN,BRS,Innsbruck,Bristol
607,"{'INN', 'EDI'}",155.0,INN,EDI,Innsbruck,Edinburgh
608,"{'INN', 'FRA'}",65.0,INN,FRA,Innsbruck,Frankfurt am Main
609,"{'INN', 'LGW'}",123.33333333333331,INN,LGW,Innsbruck,"Gatwick, Surrey"
610,"{'INN', 'MAN'}",140.0,INN,MAN,Innsbruck,Manchester
611,"{'INN', 'VIE'}",57.5,INN,VIE,Innsbruck,Vienna
612,"{'INV', 'LGW'}",97.5,INV,LGW,Inverness,"Gatwick, Surrey"
613,"{'IOA', 'ATH'}",72.5,IOA,ATH,Ioannina,Spata-Artemida
614,"{'IOM', 'LHR'}",95.0,IOM,LHR,Castletown,London
615,"{'IWA', 'LED'}",105.0,IWA,LED,Ivanovo,St. Petersburg
616,"{'LGW', 'JER'}",60.0,LGW,JER,"Gatwick, Surrey",Saint Helier
617,"{'SOU', 'JER'}",50.0,SOU,JER,Southampton,Saint Helier
618,"{'ATH', 'JMK'}",45.0,ATH,JMK,Spata-Artemida,Mykonos
619,"{'JTR', 'ATH'}",55.0,JTR,ATH,Santorini Island,Spata-Artemida
620,"{'KAO', 'HEL'}",102.5,KAO,HEL,Kuusamo,Helsinki
621,"{'KGD', 'LED'}",105.0,KGD,LED,Kaliningrad,St. Petersburg
622,"{'VKO', 'KGD'}",115.0,VKO,KGD,Moscow,Kaliningrad
623,"{'KGS', 'ATH'}",61.66666666666666,KGS,ATH,Kos Island,Spata-Artemida
624,"{'KGS', 'RHO'}",30.0,KGS,RHO,Kos Island,Rhodes
625,"{'KGS', 'SKG'}",97.5,KGS,SKG,Kos Island,Thessaloniki
626,"{'KIV', 'CDG'}",195.0,KIV,CDG,Chişinău,Paris
627,"{'KIV', 'LIS'}",270.0,KIV,LIS,Chişinău,Lisbon
628,"{'KIV', 'OTP'}",72.5,KIV,OTP,Chişinău,Otopeni
629,"{'KJA', 'LED'}",297.5,KJA,LED,Krasnoyarsk,St. Petersburg
630,"{'SVO', 'KJA'}",292.5,SVO,KJA,Moscow,Krasnoyarsk
631,"{'KJA', 'VKO'}",286.6666666666667,KJA,VKO,Krasnoyarsk,Moscow
632,"{'KKN', 'VDS'}",15.0,KKN,VDS,Kirkenes,Vadsø
633,"{'KRK', 'AGP'}",222.5,KRK,AGP,Balice,Málaga
634,"{'KRK', 'AMS'}",120.0,KRK,AMS,Balice,Amsterdam
635,"{'KRK', 'ARN'}",120.0,KRK,ARN,Balice,Stockholm
636,"{'KRK', 'BCN'}",167.5,KRK,BCN,Balice,Barcelona
637,"{'KRK', 'BGY'}",107.5,KRK,BGY,Balice,Orio al Serio (BG)
638,"{'KRK', 'BHX'}",152.5,KRK,BHX,Balice,Birmingham
639,"{'KRK', 'BLQ'}",105.0,KRK,BLQ,Balice,Bologna
640,"{'KRK', 'BVA'}",135.0,KRK,BVA,Balice,Tillé
641,"{'KRK', 'CAG'}",147.5,KRK,CAG,Balice,Cagliari
642,"{'KRK', 'CIA'}",120.0,KRK,CIA,Balice,Rome
643,"{'KRK', 'CRL'}",120.0,KRK,CRL,Balice,Charleroi
644,"{'KRK', 'EDI'}",165.0,KRK,EDI,Balice,Edinburgh
645,"{'KRK', 'EIN'}",120.0,KRK,EIN,Balice,Eindhoven
646,"{'KRK', 'GOT'}",107.5,KRK,GOT,Balice,Gothenburg
647,"{'KRK', 'LGW'}",155.0,KRK,LGW,Balice,"Gatwick, Surrey"
648,"{'KRK', 'LIL'}",127.5,KRK,LIL,Balice,Lesquin
649,"{'KRK', 'LTN'}",147.5,KRK,LTN,Balice,"Luton, Bedfordshire"
650,"{'KRK', 'NYO'}",110.0,KRK,NYO,Balice,Nyköping
651,"{'KRK', 'OSL'}",137.5,KRK,OSL,Balice,Oslo
652,"{'KRK', 'PSA'}",115.0,KRK,PSA,Balice,Pisa
653,"{'KRK', 'TGD'}",100.0,KRK,TGD,Balice,Podgorica
654,"{'KRK', 'TLS'}",160.0,KRK,TLS,Balice,Toulouse/Blagnac
655,"{'KRK', 'VIE'}",62.5,KRK,VIE,Balice,Vienna
656,"{'KRK', 'VLC'}",185.0,KRK,VLC,Balice,Valencia
657,"{'KRK', 'WAW'}",55.0,KRK,WAW,Balice,Warsaw
