,route,time,departure airport,arrival airport,departure city,arrival city
45,"{'AJA', 'ORY'}",100.0,AJA,ORY,Ajaccio/Napoléon Bonaparte,Paris
46,"{'ALC', 'BCN'}",70.0,ALC,BCN,Alicante,Barcelona
47,"{'BGY', 'ALC'}",130.0,BGY,ALC,Orio al Serio (BG),Alicante
48,"{'ALC', 'BHX'}",160.0,ALC,BHX,Alicante,Birmingham
49,"{'BRS', 'ALC'}",145.0,BRS,ALC,Bristol,Alicante
50,"{'ALC', 'BRU'}",150.0,ALC,BRU,Alicante,Zaventem
51,"{'CWL', 'ALC'}",140.0,CWL,ALC,Cardiff,Alicante
52,"{'ALC', 'GDN'}",217.5,ALC,GDN,Alicante,Gdańsk
53,"{'ALC', 'GOT'}",215.0,ALC,GOT,Alicante,Gothenburg
54,"{'ALC', 'HAM'}",175.0,ALC,HAM,Alicante,Hamburg
55,"{'ALC', 'LGW'}",155.0,ALC,LGW,Alicante,"Gatwick, Surrey"
56,"{'LPL', 'ALC'}",160.0,LPL,ALC,Liverpool,Alicante
57,"{'ALC', 'MAD'}",70.0,ALC,MAD,Alicante,Madrid
58,"{'ALC', 'MST'}",155.0,ALC,MST,Alicante,Maastricht
59,"{'ALC', 'OPO'}",95.0,ALC,OPO,Alicante,Porto
60,"{'ALC', 'OTP'}",220.0,ALC,OTP,Alicante,Otopeni
61,"{'ALC', 'WMI'}",205.0,ALC,WMI,Alicante,Warsaw
62,"{'ABZ', 'AMS'}",95.0,ABZ,AMS,Aberdeen,Amsterdam
63,"{'AMS', 'AGP'}",187.5,AMS,AGP,Amsterdam,Málaga
64,"{'AMS', 'ALC'}",172.5,AMS,ALC,Amsterdam,Alicante
65,"{'AMS', 'ARN'}",130.0,AMS,ARN,Amsterdam,Stockholm
66,"{'ATH', 'AMS'}",220.0,ATH,AMS,Spata-Artemida,Amsterdam
67,"{'AMS', 'BCN'}",142.5,AMS,BCN,Amsterdam,Barcelona
68,"{'AMS', 'BGO'}",107.5,AMS,BGO,Amsterdam,Bergen
69,"{'AMS', 'BHX'}",80.0,AMS,BHX,Amsterdam,Birmingham
70,"{'AMS', 'BLL'}",75.0,AMS,BLL,Amsterdam,Billund
