id,ident,type,airport name,latitude_left,longitude_left,elevation_ft,continent,iso_country,iso_region,airport city,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,geometry,index_right,nearest city,latitude_right,longitude_right,country,iso2,admin_name,capital,population,population_proper,distance
2600,ENTO,medium_airport,"Sandefjord Airport, Torp",59.1866989136,10.258600235,286.0,EU,NO,NO-38,Torp,yes,ENTO,TRF,,,https://en.wikipedia.org/wiki/Sandefjord_Airport%2C_Torp,,POINT (10.258600235 59.1866989136),7905,Drammen,59.7378,10.205,Norway,NO,Viken,minor,109416.0,109416.0,0.5537015374940893
2601,ENVA,large_airport,"Trondheim Airport, Værnes",63.457802,10.924,56.0,EU,NO,NO-50,Trondheim,yes,ENVA,TRD,,https://avinor.no/en/airport/trondheim-airport/,https://en.wikipedia.org/wiki/Trondheim_Airport%2C_V%C3%A6rnes,,POINT (10.924 63.457802),7902,Trondheim,63.4297,10.3933,Norway,NO,Trøndelag,minor,194860.0,194860.0,0.531443517604646
29284,ENVD,medium_airport,Vadsø Airport,70.065299987793,29.844699859619,127.0,EU,NO,NO-54,Vadsø,yes,ENVD,VDS,,https://avinor.no/en/airport/vadso-airport/,https://en.wikipedia.org/wiki/Vads%C3%B8_Airport,,POINT (29.844699859619 70.065299987793),5874,Murmansk,68.9706,33.075,Russia,RU,Murmanskaya Oblast’,admin,298096.0,292465.0,3.4107487536052132
2602,ENZV,large_airport,"Stavanger Airport, Sola",58.876701,5.63778,29.0,EU,NO,NO-11,Stavanger,yes,ENZV,SVG,,http://www.avinor.no/en/airport/stavanger/,"https://en.wikipedia.org/wiki/Stavanger_Airport,_Sola","Sola Air Station, Stavanger lufthavn, Sola",POINT (5.63778 58.876701),7900,Stavanger,58.97,5.7314,Norway,NO,Rogaland,admin,237369.0,129300.0,0.1321718873323683
2604,EPBY,medium_airport,Bydgoszcz Ignacy Jan Paderewski Airport,53.096802,17.977699,235.0,EU,PL,PL-KP,Bydgoszcz,yes,EPBY,BZG,,http://www.plb.pl/,https://en.wikipedia.org/wiki/Bydgoszcz_Ignacy_Jan_Paderewski_Airport,"Szwederowo, Bromberg",POINT (17.977699 53.096802),3735,Bydgoszcz,53.1219,18.0003,Poland,PL,Kujawsko-Pomorskie,admin,346739.0,337666.0,0.033774469721964635
2608,EPGD,large_airport,Gdańsk Lech Wałęsa Airport,54.377602,18.4662,489.0,EU,PL,PL-PM,Gdańsk,yes,EPGD,GDN,,http://www.airport.gdansk.pl/,https://en.wikipedia.org/wiki/Gda%C5%84sk_Lech_Wa%C5%82%C4%99sa_Airport,Gdańsk-Rębiechowo,POINT (18.4662 54.377602),3740,Gdynia,54.5,18.5333,Poland,PL,Pomorskie,minor,247672.0,245222.0,0.13958395467960932
2609,EPKK,large_airport,Kraków John Paul II International Airport,50.077702,19.7848,791.0,EU,PL,PL-MA,Balice,yes,EPKK,KRK,,http://www.krakowairport.pl/en/,https://en.wikipedia.org/wiki/Kraków_John_Paul_II_International_Airport,Krakov,POINT (19.7848 50.077702),3729,Kraków,50.0614,19.9372,Poland,PL,Małopolskie,admin,800653.0,800653.0,0.1532694203159917
2613,EPKT,medium_airport,Katowice Wojciech Korfanty International Airport,50.476015,19.080705,995.0,EU,PL,PL-SL,Ożarowice,yes,EPKT,KTW,,http://katowice.airport.com,https://en.wikipedia.org/wiki/Katowice_International_Airport,"Pyrzowice, Dąbrowa Górnicza, Katowice, Silesia, GOP, Silesia Metropolis, Gliwice, Piekary Śląskie, Bytom, Zabrze, Sosnowiec",POINT (19.080705 50.476015),3759,Dąbrowa Górnicza,50.3214,19.1872,Poland,PL,Śląskie,minor,116930.0,116930.0,0.1877417994214406
309484,EPLB,medium_airport,Lublin Airport,51.240278,22.713611,633.0,EU,PL,PL-LU,Lublin,yes,EPLB,LUZ,,,https://en.wikipedia.org/wiki/Lublin_Airport,,POINT (22.713611 51.240278),3736,Lublin,51.25,22.5667,Poland,PL,Lubelskie,admin,339850.0,334681.0,0.14723233070558836
2616,EPLL,medium_airport,Łódź Władysław Reymont Airport,51.7219009399,19.3980998993,604.0,EU,PL,PL-LD,Łódź,yes,EPLL,LCJ,,,https://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA_W%C5%82adys%C5%82aw_Reymont_Airport,Lublinek,POINT (19.3980998993 51.7219009399),3730,Łódź,51.7769,19.4547,Poland,PL,Łódzkie,admin,690422.0,670642.0,0.07892064375771946
2622,EPMO,medium_airport,Modlin Airport,52.451099,20.6518,341.0,EU,PL,PL-MZ,Warsaw,yes,EPMO,WMI,,http://modlinairport.pl/,https://en.wikipedia.org/wiki/Warsaw_Modlin_Airport,Nowy Dwor Mazowiecki,POINT (20.6518 52.451099),3728,Warsaw,52.23,21.0111,Poland,PL,Mazowieckie,primary,1860281.0,1860281.0,0.4218782499738512
