,name,iata_code,iso_region,iso_country,coordinates
593,Graz Airport,GRZ,AT-6,AT,"15.439599990844727, 46.9911003112793"
594,Innsbruck Airport,INN,AT-7,AT,"11.344, 47.260201"
595,Klagenfurt Airport,KLU,AT-2,AT,"14.3377, 46.642502"
596,Linz HÃ¶rsching Airport,LNZ,AT-4,AT,"14.1875, 48.2332"
597,Salzburg Airport,SZG,AT-5,AT,"13.0043001175, 47.793300628699996"
598,Vienna International Airport,VIE,AT-9,AT,"16.569700241089, 48.110298156738"
599,Alverca Air Base,AVR,PT-11,PT,"-9.0301, 38.883301"
600,Santa Maria Airport,SMA,PT-20,PT,"-25.17060089111328, 36.97140121459961"
601,BraganÃ§a Airport,BGC,PT-04,PT,"-6.70713, 41.8578"
602,Beja Airport / Airbase,BYJ,PT-02,PT,"-7.9324, 38.078899"
603,Braga Municipal Aerodrome,BGZ,PT-03,PT,"-8.445139884949999, 41.5871009827"
604,Cascais Airport,CAT,PT-11,PT,"-9.35523, 38.724998"
605,Flores Airport,FLW,PT-20,PT,"-31.131399154663086, 39.455299377441406"
606,Faro Airport,FAO,PT-08,PT,"-7.96590995789, 37.0144004822"
607,Graciosa Airport,GRW,PT-20,PT,"-28.029800415039062, 39.092201232910156"
608,Horta Airport,HOR,PT-20,PT,"-28.715900421142578, 38.519901275634766"
609,Lajes Airport,TER,PT-20,PT,"-27.090799, 38.761799"
610,Madeira Airport,FNC,PT-30,PT,"-16.7745, 32.697899"
611,Monte Real Air Base,QLR,PT-10,PT,"-8.8875, 39.828335"
612,JoÃ£o Paulo II Airport,PDL,PT-20,PT,"-25.6979007721, 37.7411994934"
613,Pico Airport,PIX,PT-20,PT,"-28.441299, 38.554298"
614,PortimÃ£o Airport,PRM,PT-08,PT,"-8.58396, 37.1493"
615,Francisco de SÃ¡ Carneiro Airport,OPO,PT-13,PT,"-8.68138980865, 41.2481002808"
616,Porto Santo Airport,PXO,PT-30,PT,"-16.3500003815, 33.0733985901"
617,Humberto Delgado Airport (Lisbon Portela Airport),LIS,PT-11,PT,"-9.13592, 38.7813"
618,SÃ£o Jorge Airport,SJZ,PT-20,PT,"-28.1758, 38.665501"
619,Vila Real Airport,VRL,PT-17,PT,"-7.72047, 41.2743"
620,Aerodromo Goncalves Lobato (Viseu Airport),VSE,PT-18,PT,"-7.88899, 40.725498"
621,Banja Luka International Airport,BNX,BA-SRP,BA,"17.297500610351562, 44.94139862060547"
622,Mostar International Airport,OMO,BA-BIH,BA,"17.84589958190918, 43.282901763916016"
623,Sarajevo International Airport,SJJ,BA-BIH,BA,"18.331499099731445, 43.82460021972656"
624,Tuzla International Airport,TZL,BA-BIH,BA,"18.72480010986328, 44.45869827270508"
625,Arad International Airport,ARW,RO-AR,RO,"21.261999130249023, 46.17660140991211"
626,BacÄu Airport,BCM,RO-BC,RO,"26.91029930114746, 46.52190017700195"
627,MaramureÈ International Airport,BAY,RO-MM,RO,"23.467252, 47.660598"
628,BÄneasa International Airport,BBU,RO-B,RO,"26.102100372314453, 44.50320053100586"
629,Mihail KogÄlniceanu International Airport,CND,RO-CT,RO,"28.488300323486328, 44.36220169067383"
630,Cluj-Napoca International Airport,CLJ,RO-CJ,RO,"23.686199, 46.785198"
631,CaransebeÅ Airport,CSB,RO-CS,RO,"22.253299713134766, 45.41999816894531"
632,Craiova Airport,CRA,RO-DJ,RO,"23.888599395751953, 44.31809997558594"
633,IaÅi Airport,IAS,RO-IS,RO,"27.6205997467041, 47.17850112915039"
634,Oradea International Airport,OMR,RO-BH,RO,"21.90250015258789, 47.025299072265625"
635,Henri CoandÄ International Airport,OTP,RO-B,RO,"26.085, 44.5711111"
636,Sibiu International Airport,SBZ,RO-SB,RO,"24.091299057006836, 45.78559875488281"
637,Satu Mare Airport,SUJ,RO-SM,RO,"22.885700225830078, 47.70330047607422"
638,Suceava Stefan cel Mare Airport,SCV,RO-SV,RO,"26.35409927368164, 47.6875"
639,Tulcea Airport,TCE,RO-TL,RO,"28.71430015563965, 45.0625"
640,Transilvania TÃ¢rgu MureÅ International Airport,TGM,RO-MS,RO,"24.412500381469727, 46.46770095825195"
641,TimiÅoara Traian Vuia Airport,TSR,RO-TM,RO,"21.337900161743164, 45.809898376464844"
642,Geneva Cointrin International Airport,GVA,CH-GE,CH,"6.108950138092041, 46.23809814453125"
643,Sion Airport,SIR,CH-VS,CH,"7.326944, 46.219166"
644,Emmen Air Base,EML,CH-LU,CH,"8.305184, 47.092444"
645,Lugano Airport,LUG,CH-TI,CH,"8.9105796814, 46.00429916379999"
646,Bern Belp Airport,BRN,CH-BE,CH,"7.497149944309999, 46.914100647"
647,Grenchen Airport,ZHI,CH-SO,CH,"7.41719, 47.181599"
648,ZÃ¼rich Airport,ZRH,CH-ZH,CH,"8.54917, 47.464699"
649,St Gallen Altenrhein Airport,ACH,CH-SG,CH,"9.560770034789998, 47.4850006104"
650,Samedan Airport,SMV,CH-GR,CH,"9.884110450744629, 46.53409957885742"
651,TekirdaÄ Ãorlu Airport,TEQ,TR-59,TR,"27.919099807739258, 41.13819885253906"
652,BÄlÈi International Airport,BZY,MD-RS,MD,"27.777222, 47.843056"
653,ChiÅinÄu International Airport,KIV,MD-C,MD,"28.930999755859375, 46.92770004272461"
654,Lublin Airport,LUZ,PL-LU,PL,"22.713611, 51.240278"
655,Ohrid St. Paul the Apostle Airport,OHD,MK-003,MK,"20.7423, 41.18"
656,Skopje International Airport,SKP,MK-004,MK,"21.621401, 41.961601"
657,Gibraltar Airport,GIB,GI-U-A,GI,"-5.3496599197400005, 36.1511993408"
658,Belgrade Nikola Tesla Airport,BEG,RS-00,RS,"20.3090991974, 44.8184013367"
659,Batajnica Air Base,BJY,RS-07,RS,"20.2575, 44.935299"
660,Nis Airport,INI,RS-20,RS,"21.853701, 43.337299"
661,Podgorica Airport,TGD,ME-16,ME,"19.2519, 42.359402"
662,Tivat Airport,TIV,ME-19,ME,"18.72330093383789, 42.404701232910156"
663,M. R. Å tefÃ¡nik Airport,BTS,SK-BL,SK,"17.21269989013672, 48.17020034790039"
664,KoÅ¡ice Airport,KSC,SK-KI,SK,"21.241100311279297, 48.66310119628906"
665,PieÅ¡Å¥any Airport,PZY,SK-TA,SK,"17.828399658203125, 48.62519836425781"
666,SliaÄ Airport,SLD,SK-BC,SK,"19.13409996032715, 48.63779830932617"
667,Poprad-Tatry Airport,TAT,SK-KI,SK,"20.2411003113, 49.073600769"
668,Å½ilina Airport,ILZ,SK-ZI,SK,"18.6135005951, 49.231498718299996"
669,RegiÃ³n de Murcia International Airport,RMU,ES-MU,ES,"-1.125, 37.803"
670,Grozny North Airport,GRV,RU-CE,RU,"45.698601, 43.388302"
671,Scandinavian Mountains Airport,SCR,SE-W,SE,"12.840676, 61.159092"
672,Moma Airport,MQJ,RU-SA,RU,"143.261551, 66.450861"
673,Magan Airport,GYG,RU-SA,RU,"129.545288, 62.103484"
674,Olyokminsk Airport,OLZ,RU-SA,RU,"120.471001, 60.397499"
675,Ust-Nera Airport,USR,RU-SA,RU,"143.11500549316, 64.550003051758"
676,Saskylakh Airport,SYS,RU-SA,RU,"114.08000183105, 71.92790222168"
677,Belaya Gora Airport,BGN,RU-SA,RU,"146.231506, 68.556602"
678,Srednekolymsk Airport,SEK,RU-SA,RU,"153.7364, 67.4805"
679,Ugolny Airport,DYR,RU-CHU,RU,"177.740997, 64.734902"
680,Provideniya Bay Airport,PVS,RU-CHU,RU,"-173.2429962158203, 64.37809753417969"
681,Keperveem Airport,KPW,RU-CHU,RU,"166.139999, 67.845001"
682,Nikolayevsk-na-Amure Airport,NLI,RU-KHA,RU,"140.649994, 53.154999"
683,Chita-Kadala Airport,HTA,RU-CHI,RU,"113.306, 52.026299"
684,Boryspil International Airport,KBP,UA-32,UA,"30.894699096679688, 50.345001220703125"
685,Mariupol International Airport,MPW,UA-14,UA,"37.44960021972656, 47.07609939575195"
686,Luhansk International Airport,VSG,UA-09,UA,"39.3740997314, 48.4174003601"
687,Dnipropetrovsk International Airport,DNK,UA-12,UA,"35.10060119628906, 48.357200622558594"
688,Zaporizhzhia International Airport,OZH,UA-23,UA,"35.31570053100586, 47.867000579833984"
689,Kryvyi Rih International Airport,KWG,UA-12,UA,"33.209999084472656, 48.04330062866211"
690,Belbek Airport,UKS,UA-43,UA,"33.570999145500004, 44.688999176"
691,Simferopol International Airport,SIP,UA-43,UA,"33.975101, 45.0522"
692,Kharkiv International Airport,HRK,UA-63,UA,"36.290000915527344, 49.924800872802734"
693,Cherkasy International Airport,CKC,UA-71,UA,"31.99530029296875, 49.41559982299805"
694,Kiev Zhuliany International Airport,IEV,UA-32,UA,"30.45194, 50.40194"
695,Gostomel Airport,GML,UA-32,UA,"30.1919002532959, 50.60350036621094"
696,Khmelnytskyi Airport,HMJ,UA-68,UA,"26.933399, 49.359699"
697,Ivano-Frankivsk International Airport,IFO,UA-26,UA,"24.686100006103516, 48.88420104980469"
698,Lviv International Airport,LWO,UA-46,UA,"23.956100463867188, 49.8125"
699,Chernivtsi International Airport,CWC,UA-77,UA,"25.98080062866211, 48.259300231933594"
700,Rivne International Airport,RWN,UA-19,UA,"26.141599655151367, 50.60710144042969"
701,Uzhhorod International Airport,UDJ,UA-21,UA,"22.263399124145508, 48.634300231933594"
702,Mykolaiv International Airport,NLV,UA-48,UA,"31.9197998046875, 47.057899475097656"
703,Odessa International Airport,ODS,UA-51,UA,"30.67650032043457, 46.42679977416992"
704,Talagi Airport,ARH,RU-ARK,RU,"40.71670150756836, 64.60030364990234"
705,Naryan Mar Airport,NNM,RU-NEN,RU,"53.12189865112305, 67.63999938964844"
706,Cherepovets Airport,CEE,RU-VLG,RU,"38.015800476100004, 59.273601532"
707,Kotlas Airport,KSZ,RU-ARK,RU,"46.6974983215332, 61.235801696777344"
708,Pulkovo Airport,LED,RU-SPE,RU,"30.262500762939453, 59.80030059814453"
709,Murmansk Airport,MMK,RU-MUR,RU,"32.75080108642578, 68.78170013427734"
710,Velikiye Luki Airport,VLU,RU-PSK,RU,"30.60810089111328, 56.381099700927734"
711,Pskov Airport,PKV,RU-PSK,RU,"28.395599365234375, 57.78390121459961"
712,Petrozavodsk Airport,PES,RU-KR,RU,"34.154701232910156, 61.88520050048828"
713,Vologda Airport,VGD,RU-VLG,RU,"39.944400787353516, 59.282501220703125"
714,Brest Airport,BQT,BY-BR,BY,"23.8981, 52.108299"
715,Gomel Airport,GME,BY-HO,BY,"31.016700744628906, 52.527000427246094"
716,Vitebsk Vostochny Airport,VTB,BY-VI,BY,"30.349599838257, 55.126499176025"
717,Khrabrovo Airport,KGD,RU-KGD,RU,"20.592599868774414, 54.88999938964844"
718,Hrodna Airport,GNA,BY-HR,BY,"24.053800582885742, 53.60200119018555"
719,Minsk National Airport,MSQ,BY-MI,BY,"28.030700683594, 53.882499694824"
720,Mogilev Airport,MVQ,BY-MA,BY,"30.09510040283203, 53.954898834228516"
721,Podkamennaya Tunguska Airport,TGP,RU-KYA,RU,"89.994003, 61.589699"
722,Yemelyanovo Airport,KJA,RU-KYA,RU,"92.493301, 56.172901"
723,Spichenkovo Airport,NOZ,RU-KEM,RU,"86.877197, 53.811401"
724,Anapa Vityazevo Airport,AAQ,RU-KDA,RU,"37.347301483154, 45.002101898193"
725,Yeysk Airport,EIK,RU-KDA,RU,"38.21, 46.68"
726,Gelendzhik Airport,GDZ,RU-KDA,RU,"38.0124807358, 44.5820926295"
727,Krasnodar Pashkovsky International Airport,KRR,RU-KDA,RU,"39.170501708984, 45.034698486328"
728,Uytash Airport,MCX,RU-DA,RU,"47.65230178833008, 42.81679916381836"
729,Mineralnyye Vody Airport,MRV,RU-STA,RU,"43.08190155029297, 44.225101470947266"
730,Nalchik Airport,NAL,RU-KB,RU,"43.636600494384766, 43.512901306152344"
731,Beslan Airport,OGZ,RU-SE,RU,"44.6066017151, 43.2051010132"
732,Magas Airport,IGT,RU-IN,RU,"45.0125999451, 43.322299957300004"
733,Stavropol Shpakovskoye Airport,STW,RU-STA,RU,"42.11280059814453, 45.10919952392578"
734,Platov International Airport,ROV,RU-ROS,RU,"39.924722, 47.493888"
735,Taganrog Yuzhny Airport,TGK,RU-ROS,RU,"38.8491667, 47.1983333"
736,Sochi International Airport,AER,RU-KDA,RU,"39.9566, 43.449902"
737,Astrakhan Airport,ASF,RU-AST,RU,"48.0063018799, 46.2832984924"
738,Elista Airport,ESL,RU-KL,RU,"44.33089828491211, 46.3739013671875"
739,Volgograd International Airport,VOG,RU-VGG,RU,"44.34550094604492, 48.782501220703125"
740,Chelyabinsk Balandino Airport,CEK,RU-CHE,RU,"61.5033, 55.305801"
741,Magnitogorsk International Airport,MQF,RU-BA,RU,"58.755699157714844, 53.39310073852539"
742,Sabetta International Airport,SBT,RU-YAN,RU,"72.052222, 71.219167"
743,Nyagan Airport,NYA,RU-KHM,RU,"65.614998, 62.110001"
744,Beloyarskiy Airport,EYK,RU-KHM,RU,"66.698601, 63.686901"
745,Izhevsk Airport,IJK,RU-UD,RU,"53.45750045776367, 56.82809829711914"
746,Pobedilovo Airport,KVX,RU-KIR,RU,"49.348300933838, 58.503299713135"
747,Bolshoye Savino Airport,PEE,RU-PER,RU,"56.021198272705, 57.914501190186"
748,Kostroma Sokerkino Airport,KMW,RU-KOS,RU,"41.019401550299996, 57.7969017029"
749,Grabtsevo Airport,KLF,RU-KLU,RU,"36.3666687012, 54.5499992371"
750,Ivanovo South Airport,IWA,RU-IVA,RU,"40.940799713134766, 56.93939971923828"
751,Staroselye Airport,RYB,RU-YAR,RU,"38.92940139770508, 58.10419845581055"
752,Bryansk Airport,BZK,RU-BRY,RU,"34.176399, 53.214199"
753,Zhukovsky International Airport,ZIA,RU-MOS,RU,"38.150002, 55.553299"
754,Domodedovo International Airport,DME,RU-MOS,RU,"37.90629959106445, 55.40879821777344"
755,Sheremetyevo International Airport,SVO,RU-MOS,RU,"37.4146, 55.972599"
756,Migalovo Air Base,KLD,RU-TVE,RU,"35.7577018737793, 56.82469940185547"
757,Ostafyevo International Airport,OSF,RU-MOS,RU,"37.507222, 55.511667"
758,Chkalovskiy Air Base,CKL,RU-MOS,RU,"38.061699, 55.8783"
759,Belgorod International Airport,EGO,RU-BEL,RU,"36.5900993347168, 50.643798828125"
760,Kursk East Airport,URS,RU-KRS,RU,"36.29560089111328, 51.7505989074707"
761,Lipetsk Airport,LPK,RU-LIP,RU,"39.53779983520508, 52.70280075073242"
762,Voronezh International Airport,VOZ,RU-VOR,RU,"39.22959899902344, 51.81420135498047"
763,Oryol Yuzhny Airport,OEL,RU-ORL,RU,"36.0022010803, 52.934700012200004"
764,Donskoye Airport,TBW,RU-TAM,RU,"41.482799530029, 52.806098937988"
765,Vnukovo International Airport,VKO,RU-MOS,RU,"37.2615013123, 55.5914993286"
766,Ukhta Airport,UCT,RU-KO,RU,"53.8046989440918, 63.566898345947266"
767,Pechora Airport,PEX,RU-KO,RU,"57.13079833984375, 65.12110137939453"
768,Usinsk Airport,USK,RU-KO,RU,"57.3671989440918, 66.00469970703125"
769,Ust-Tsylma Airport,UTS,RU-KO,RU,"52.20033645629999, 65.43729400630001"
770,Syktyvkar Airport,SCW,RU-KO,RU,"50.84510040283203, 61.64699935913086"
771,Nizhny Novgorod Strigino International Airport,GOJ,RU-NIZ,RU,"43.784000396729, 56.230098724365"
772,Bugulma Airport,UUA,RU-TA,RU,"52.801700592041016, 54.63999938964844"
773,Kazan International Airport,KZN,RU-TA,RU,"49.278701782227, 55.606201171875"
774,Begishevo Airport,NBC,RU-TA,RU,"52.092498779296875, 55.564701080322266"
775,Yoshkar-Ola Airport,JOK,RU-ME,RU,"47.904701232910156, 56.700599670410156"
776,Cheboksary Airport,CSY,RU-CU,RU,"47.3473014831543, 56.090301513671875"
777,Ulyanovsk Baratayevka Airport,ULV,RU-ULY,RU,"48.226699829100006, 54.26829910279999"
778,Ulyanovsk East Airport,ULY,RU-ULY,RU,"48.80270004272461, 54.4010009765625"
779,Orenburg Central Airport,REN,RU-ORE,RU,"55.45669937133789, 51.795799255371094"
780,Orsk Airport,OSW,RU-ORE,RU,"58.59560012817383, 51.0724983215332"
781,Penza Airport,PEZ,RU-PNZ,RU,"45.02109909057617, 53.110599517822266"
782,Saransk Airport,SKX,RU-MO,RU,"45.212257385253906, 54.12512969970703"
783,Balakovo Airport,BWO,RU-SAR,RU,"47.7456016541, 51.8582992554"
784,Saratov Central Airport,RTW,RU-SAR,RU,"46.04669952392578, 51.564998626708984"
785,Ufa International Airport,UFA,RU-BA,RU,"55.874401092529, 54.557498931885"
786,Kurumoch International Airport,KUF,RU-SAM,RU,"50.16429901123, 53.504901885986"
787,Smolensk North Airport,LNX,RU-SMO,RU,"32.025, 54.824"
