,name,iata_code,iso_region,iso_country,coordinates
380,Valladolid Airport,VLL,ES-CL,ES,"-4.85194015503, 41.7061004639"
381,Vitoria/Foronda Airport,VIT,ES-PV,ES,"-2.7244699001312256, 42.8828010559082"
382,Vigo Airport,VGO,ES-GA,ES,"-8.62677001953125, 42.2318000793457"
383,Santander Airport,SDR,ES-S,ES,"-3.82000994682312, 43.427101135253906"
384,Zaragoza Air Base,ZAZ,ES-AR,ES,"-1.0415500402450562, 41.66619873046875"
385,Sevilla Airport,SVQ,ES-AN,ES,"-5.8931097984313965, 37.417999267578125"
386,Calais-Dunkerque Airport,CQF,FR-HDF,FR,"1.954759955406189, 50.962100982666016"
387,Le Touquet-CÃ´te d'Opale Airport,LTQ,FR-HDF,FR,"1.6205899715423584, 50.517398834228516"
388,Valenciennes-Denain Airport,XVS,FR-HDF,FR,"3.46126, 50.325802"
389,Agen-La Garenne Airport,AGF,FR-NAQ,FR,"0.5905560255050659, 44.17470169067383"
390,Bordeaux-MÃ©rignac Airport,BOD,FR-NAQ,FR,"-0.715556025505, 44.828300476100004"
391,Bergerac-RoumaniÃ¨re Airport,EGC,FR-NAQ,FR,"0.5186110138893127, 44.82529830932617"
392,Cognac-ChÃ¢teaubernard (BA 709) Air Base,CNG,FR-NAQ,FR,"-0.3174999952316284, 45.65829849243164"
393,La Rochelle-Ãle de RÃ© Airport,LRH,FR-NAQ,FR,"-1.1952799558639526, 46.17919921875"
394,Poitiers-Biard Airport,PIS,FR-NAQ,FR,"0.30666598677635193, 46.58769989013672"
395,MontluÃ§on-GuÃ©ret Airport,MCU,FR-NAQ,FR,"2.363960027694702, 46.222599029541016"
396,Limoges Airport,LIG,FR-NAQ,FR,"1.1794400215148926, 45.86280059814453"
397,Niort-SouchÃ© Airport,NIT,FR-NAQ,FR,"-0.394529, 46.313477"
398,Toulouse-Blagnac Airport,TLS,FR-OCC,FR,"1.36382, 43.629101"
399,Pau PyrÃ©nÃ©es Airport,PUF,FR-NAQ,FR,"-0.41861099004745483, 43.380001068115234"
400,Tarbes-Lourdes-PyrÃ©nÃ©es Airport,LDE,FR-OCC,FR,"-0.006438999902456999, 43.1786994934082"
401,AngoulÃªme-Brie-Champniers Airport,ANG,FR-NAQ,FR,"0.22145600616931915, 45.72919845581055"
402,PÃ©rigueux-Bassillac Airport,PGX,FR-NAQ,FR,"0.815555989742279, 45.19810104370117"
403,Biarritz-Anglet-Bayonne Airport,BIQ,FR-NAQ,FR,"-1.5311111, 43.4683333"
404,Cahors-Lalbenque Airport,ZAO,FR-OCC,FR,"1.4752800464630127, 44.35139846801758"
405,Albi-Le SÃ©questre Airport,LBI,FR-OCC,FR,"2.1130599975585938, 43.91389846801758"
406,Castres-Mazamet Airport,DCM,FR-OCC,FR,"2.289180040359497, 43.55630111694336"
407,Rodez-Marcillac Airport,RDZ,FR-OCC,FR,"2.4826700687408447, 44.407901763916016"
408,Royan-MÃ©dis Airport,RYN,FR-NAQ,FR,"-0.9725000262260437, 45.62810134887695"
409,Rochefort-Saint-Agnant (BA 721) Airport,RCO,FR-NAQ,FR,"-0.9830560088157654, 45.88779830932617"
410,Ãle d'Yeu Airport,IDY,FR-PDL,FR,"-2.3911099433898926, 46.71860122680664"
411,Colmar-Houssen Airport,CMR,FR-GES,FR,"7.359010219573975, 48.109901428222656"
412,Dole-Tavaux Airport,DLE,FR-BFC,FR,"5.435063, 47.042686"
413,Aubenas-ArdÃ¨che MÃ©ridional Airport,OBS,FR-ARA,FR,"4.372192, 44.544203"
414,Le Puy-Loudes Airport,LPY,FR-ARA,FR,"3.762890100479126, 45.0806999206543"
415,Metz-Nancy-Lorraine Airport,ETZ,FR-GES,FR,"6.25131988525, 48.9821014404"
416,Angers-Loire Airport,ANE,FR-PDL,FR,"-0.312222, 47.560299"
417,Bastia-Poretta Airport,BIA,FR-COR,FR,"9.48373031616211, 42.55270004272461"
418,Calvi-Sainte-Catherine Airport,CLY,FR-COR,FR,"8.7930556, 42.5244444"
419,Figari Sud-Corse Airport,FSC,FR-COR,FR,"9.097780227661133, 41.5005989074707"
420,Ajaccio-NapolÃ©on Bonaparte Airport,AJA,FR-COR,FR,"8.8029203414917, 41.92359924316406"
421,Solenzara (BA 126) Air Base,SOZ,FR-COR,FR,"9.406000137329102, 41.924400329589844"
422,Auxerre-Branches Airport,AUF,FR-BFC,FR,"3.497109889984131, 47.85020065307617"
423,ChambÃ©ry-Savoie Airport,CMF,FR-ARA,FR,"5.880229949951172, 45.638099670410156"
424,Clermont-Ferrand Auvergne Airport,CFE,FR-ARA,FR,"3.1691699028, 45.7867012024"
425,Bourges Airport,BOU,FR-CVL,FR,"2.3702800273895264, 47.058101654052734"
426,Annemasse Airport,QNJ,FR-ARA,FR,"6.268390178680001, 46.1920013428"
427,Lyon Saint-ExupÃ©ry Airport,LYS,FR-ARA,FR,"5.081111, 45.725556"
428,Saint-Yan Airport,SYT,FR-BFC,FR,"4.0132598876953125, 46.412498474121094"
429,Roanne-Renaison Airport,RNE,FR-ARA,FR,"4.001389980316162, 46.05830001831055"
430,Annecy-Haute-Savoie-Mont Blanc Airport,NCY,FR-ARA,FR,"6.1063889, 45.9308333"
431,Grenoble-IsÃ¨re Airport,GNB,FR-U-A,FR,"5.32937, 45.3629"
432,Valence-Chabeuil Airport,VAF,FR-ARA,FR,"4.9699, 44.9216"
433,Vichy-Charmeil Airport,VHY,FR-ARA,FR,"3.4037399291992188, 46.169700622558594"
434,Aurillac Airport,AUR,FR-ARA,FR,"2.4219400882720947, 44.89139938354492"
435,"ChÃ¢teauroux-DÃ©ols ""Marcel Dassault"" Airport",CHR,FR-CVL,FR,"1.721111, 46.860278"
436,Lyon-Bron Airport,LYN,FR-ARA,FR,"4.944270133972168, 45.72719955444336"
437,Cannes-Mandelieu Airport,CEQ,FR-PAC,FR,"6.95348, 43.542"
438,Saint-Ãtienne-BouthÃ©on Airport,EBU,FR-ARA,FR,"4.296390056610107, 45.54059982299805"
439,Carcassonne Airport,CCF,FR-OCC,FR,"2.3063199520111084, 43.215999603271484"
440,Marseille Provence Airport,MRS,FR-PAC,FR,"5.22142410278, 43.439271922"
441,Nice-CÃ´te d'Azur Airport,NCE,FR-PAC,FR,"7.215869903560001, 43.6584014893"
442,Orange-Caritat (BA 115) Air Base,XOG,FR-PAC,FR,"4.866720199584961, 44.140499114990234"
443,Perpignan-Rivesaltes (LlabanÃ¨re) Airport,PGF,FR-OCC,FR,"2.8706700801849365, 42.74039840698242"
444,Le Castellet Airport,CTT,FR-PAC,FR,"5.785190105438232, 43.252498626708984"
445,Montpellier-MÃ©diterranÃ©e Airport,MPL,FR-OCC,FR,"3.96301007270813, 43.57619857788086"
446,BÃ©ziers-Vias Airport,BZR,FR-OCC,FR,"3.3538999557495117, 43.32350158691406"
447,Avignon-Caumont Airport,AVN,FR-PAC,FR,"4.901830196380615, 43.90729904174805"
448,Mende-Brenoux Airfield,MEN,FR-OCC,FR,"3.53282, 44.502102"
449,Paris Beauvais TillÃ© Airport,BVA,FR-HDF,FR,"2.1127800941467285, 49.45439910888672"
450,Ãvreux-Fauville (BA 105) Air Base,EVX,FR-NOR,FR,"1.2198599576950073, 49.02870178222656"
451,Le Havre Octeville Airport,LEH,FR-NOR,FR,"0.08805599808692932, 49.53390121459961"
452,OrlÃ©ans-Bricy (BA 123) Air Base,ORE,FR-CVL,FR,"1.7605600357100002, 47.9878005981"
453,ChÃ¢lons-Vatry Airport,XCR,FR-GES,FR,"4.206111111, 48.7733333333"
454,Rouen Airport,URO,FR-NOR,FR,"1.1748000383377075, 49.38420104980469"
455,Tours-Val-de-Loire Airport,TUF,FR-CVL,FR,"0.727605998516, 47.4322013855"
