route,time,departure airport,arrival airport,departure city,arrival city
"{'AMS', 'OTP'}",185.0,AMS,OTP,Amsterdam,Bucharest
"{'AMS', 'PRG'}",80.0,AMS,PRG,Amsterdam,Prague
"{'AMS', 'RVN'}",185.0,AMS,RVN,Amsterdam,Rovaniemi
"{'AMS', 'SOU'}",75.0,AMS,SOU,Amsterdam,Portsmouth
"{'AMS', 'VLC'}",160.0,AMS,VLC,Amsterdam,Valencia
"{'AMS', 'ZRH'}",102.5,AMS,ZRH,Amsterdam,Zürich
"{'ARH', 'LED'}",90.0,ARH,LED,Arkhangelsk,Saint Petersburg
"{'SVO', 'ARH'}",125.0,SVO,ARH,Moscow,Arkhangelsk
"{'ARN', 'AGP'}",265.0,ARN,AGP,Stockholm,Málaga
"{'ALC', 'ARN'}",245.0,ALC,ARN,Alicante,Stockholm
"{'BGY', 'ARN'}",165.0,BGY,ARN,Monza,Stockholm
"{'ARN', 'GDN'}",82.5,ARN,GDN,Stockholm,Gdańsk
"{'ARN', 'GOT'}",65.0,ARN,GOT,Stockholm,Gothenburg
"{'HEL', 'ARN'}",77.5,HEL,ARN,Helsinki,Stockholm
"{'MUC', 'ARN'}",135.0,MUC,ARN,Munich,Stockholm
"{'ARN', 'POZ'}",100.0,ARN,POZ,Stockholm,Poznań
"{'ARN', 'WMI'}",102.5,ARN,WMI,Stockholm,Warsaw
"{'ASF', 'SVO'}",162.5,ASF,SVO,Astrakhan,Moscow
"{'ATH', 'BCN'}",175.0,ATH,BCN,Athens,Barcelona
"{'ATH', 'BLQ'}",135.0,ATH,BLQ,Athens,Bologna
"{'ATH', 'BRU'}",180.0,ATH,BRU,Athens,Brussels
"{'ATH', 'CDG'}",210.0,ATH,CDG,Athens,Paris
"{'ATH', 'GVA'}",165.0,ATH,GVA,Athens,Geneva
"{'ATH', 'JKH'}",51.66666666666666,ATH,JKH,Athens,Chíos
"{'JMK', 'ATH'}",45.0,JMK,ATH,Ermoúpoli,Athens
"{'KVA', 'ATH'}",75.0,KVA,ATH,Kavála,Athens
"{'ATH', 'LGW'}",230.0,ATH,LGW,Athens,London
"{'ATH', 'MAD'}",245.0,ATH,MAD,Athens,Madrid
"{'ATH', 'OTP'}",95.0,ATH,OTP,Athens,Bucharest
"{'ATH', 'RHO'}",60.0,ATH,RHO,Athens,Ródos
