route,time,departure airport,arrival airport,city2,city1
"{'STN', 'MRS'}",120.0,STN,MRS,Marseille,London
"{'LHR', 'NCE'}",130.0,LHR,NCE,Nice,London
"{'STN', 'GDN'}",135.0,STN,GDN,Gdansk,London
"{'STN', 'WMI'}",135.0,STN,WMI,Warsaw,London
"{'LHR', 'ARN'}",160.0,LHR,ARN,Stockholm,London
"{'STN', 'ARN'}",147.5,STN,ARN,Stockholm,London
"{'STN', 'VLC'}",155.0,STN,VLC,Valencia,London
"{'LHR', 'ZRH'}",107.5,LHR,ZRH,Zurich,London
"{'STN', 'POZ'}",125.0,STN,POZ,Poznan,London
"{'LHR', 'BLQ'}",145.0,LHR,BLQ,Bologna,London
"{'STN', 'BLQ'}",125.0,STN,BLQ,Bologna,London
"{'STN', 'SKG'}",190.0,STN,SKG,Thessaloniki,London
"{'STN', 'BUD'}",150.0,STN,BUD,Budapest,London
"{'LHR', 'VIE'}",140.0,LHR,VIE,Vienna,London
"{'STN', 'VIE'}",135.0,STN,VIE,Vienna,London
"{'STN', 'VCE'}",120.0,STN,VCE,Venezia,London
"{'STN', 'CTA'}",202.5,STN,CTA,Catania,London
"{'LHR', 'SZG'}",130.0,LHR,SZG,Salzburg,London
"{'STN', 'SZG'}",120.0,STN,SZG,Salzburg,London
"{'STN', 'SZY'}",142.5,STN,SZY,Olsztyn,London
"{'STN', 'EIN'}",65.0,STN,EIN,Eindhoven,London
"{'STN', 'GOA'}",130.0,STN,GOA,Genova,London
"{'LHR', 'LYS'}",112.5,LHR,LYS,Lyon,London
"{'STN', 'WRO'}",125.0,STN,WRO,Wroclaw,London
"{'STN', 'PSA'}",132.5,STN,PSA,Pisa,London
"{'LHR', 'TLS'}",115.0,LHR,TLS,Toulouse,London
"{'STN', 'NAP'}",155.0,STN,NAP,Napoli,London
"{'STN', 'BTS'}",135.0,STN,BTS,Bratislava,London
"{'STN', 'BZG'}",130.0,STN,BZG,Bydgoszcz,London
"{'STN', 'SCQ'}",130.0,STN,SCQ,Santiago de Compostela,London
"{'STN', 'VGO'}",130.0,STN,VGO,Vigo,London
"{'STN', 'ZAZ'}",132.5,STN,ZAZ,Zaragoza,London
"{'MPL', 'AMS'}",125.0,MPL,AMS,Amsterdam,Montpellier
"{'MPL', 'CDG'}",87.5,MPL,CDG,Paris,Montpellier
"{'NTE', 'AMS'}",92.5,NTE,AMS,Amsterdam,Nantes
"{'NTE', 'MAD'}",100.0,NTE,MAD,Madrid,Nantes
"{'NTE', 'MRS'}",90.0,NTE,MRS,Marseille,Nantes
"{'OSL', 'AMS'}",115.0,OSL,AMS,Amsterdam,Oslo
"{'OSL', 'CDG'}",150.0,OSL,CDG,Paris,Oslo
"{'OSL', 'ALC'}",230.0,OSL,ALC,Alicante,Oslo
"{'OSL', 'ARN'}",72.5,OSL,ARN,Stockholm,Oslo
"{'OSL', 'HEL'}",125.0,OSL,HEL,Helsinki,Oslo
"{'OSL', 'ZRH'}",150.0,OSL,ZRH,Zurich,Oslo
"{'SZG', 'AMS'}",105.0,SZG,AMS,Amsterdam,Salzburg
"{'SZG', 'HAM'}",77.5,SZG,HAM,Hamburg,Salzburg
"{'SZG', 'ARN'}",127.5,SZG,ARN,Stockholm,Salzburg
"{'SZG', 'BRS'}",125.0,SZG,BRS,Bristol,Salzburg
"{'SZG', 'HEL'}",150.0,SZG,HEL,Helsinki,Salzburg
"{'TMP', 'AMS'}",150.0,TMP,AMS,Amsterdam,Tampere
"{'VCE', 'AMS'}",112.5,VCE,AMS,Amsterdam,Venezia
"{'VCE', 'BCN'}",117.5,VCE,BCN,Barcelona,Venezia
"{'VCE', 'CDG'}",110.0,VCE,CDG,Paris,Venezia
"{'VCE', 'ORY'}",110.0,VCE,ORY,Paris,Venezia
"{'VCE', 'EDI'}",165.0,VCE,EDI,Edinburgh,Venezia
"{'VCE', 'MAD'}",165.0,VCE,MAD,Madrid,Venezia
"{'VCE', 'LHR'}",140.0,VCE,LHR,London,Venezia
"{'VCE', 'STN'}",135.0,VCE,STN,London,Venezia
"{'VCE', 'CTA'}",108.33333333333331,VCE,CTA,Catania,Venezia
"{'VCE', 'FRA'}",90.0,VCE,FRA,Frankfurt am Main,Venezia
"{'VCE', 'PMO'}",95.0,VCE,PMO,Palermo,Venezia
"{'VCE', 'NAP'}",75.0,VCE,NAP,Napoli,Venezia
"{'VCE', 'BRI'}",80.0,VCE,BRI,Bari,Venezia
"{'WAW', 'AMS'}",130.0,WAW,AMS,Amsterdam,Warsaw
"{'WAW', 'BCN'}",190.0,WAW,BCN,Barcelona,Warsaw
"{'WMI', 'BCN'}",184.5,WMI,BCN,Barcelona,Warsaw
"{'WAW', 'CDG'}",150.0,WAW,CDG,Paris,Warsaw
"{'WMI', 'CRL'}",125.0,WMI,CRL,Charleroi,Warsaw
