,route,time,departure airport,arrival airport,departure city,arrival city,transit_distance [m],transit_time [s]
120,"{'ATH', 'BRU'}",180.0,ATH,BRU,Athens,Brussels,2800052,173760
121,"{'ATH', 'CDG'}",210.0,ATH,CDG,Athens,Paris,3314740,205080
122,"{'ATH', 'GVA'}",165.0,ATH,GVA,Athens,Geneva,2690289,176400
125,"{'KVA', 'ATH'}",75.0,KVA,ATH,Kavála,Athens,628360,29843
126,"{'ATH', 'LGW'}",230.0,ATH,LGW,Athens,London,3187047,193140
128,"{'ATH', 'OTP'}",95.0,ATH,OTP,Athens,Bucharest,1282269,82740
130,"{'ATH', 'SKG'}",53.333333333333336,ATH,SKG,Athens,Thessaloníki,499001,19380
132,"{'ATH', 'ZRH'}",165.0,ATH,ZRH,Athens,Zürich,2733936,194520
133,"{'AGP', 'BCN'}",92.5,AGP,BCN,Málaga,Barcelona,1110453,22380
135,"{'BOD', 'BCN'}",75.0,BOD,BCN,Bordeaux,Barcelona,661381,22800
136,"{'BRU', 'BCN'}",120.0,BRU,BCN,Brussels,Barcelona,1409921,37620
139,"{'CRL', 'BCN'}",115.0,CRL,BCN,Brussels,Barcelona,1409921,37620
141,"{'GOA', 'BCN'}",95.0,GOA,BCN,Genoa,Barcelona,889700,46020
142,"{'GOT', 'BCN'}",190.0,GOT,BCN,Gothenburg,Barcelona,3057011,111840
143,"{'LGW', 'BCN'}",125.0,LGW,BCN,London,Barcelona,1598793,38700
147,"{'MST', 'BCN'}",120.0,MST,BCN,Maastricht,Barcelona,1628329,79080
148,"{'OPO', 'BCN'}",105.0,OPO,BCN,Porto,Barcelona,1466635,40620
149,"{'OTP', 'BCN'}",205.0,OTP,BCN,Bucharest,Barcelona,3608090,168720
151,"{'BEG', 'BCN'}",165.0,BEG,BCN,Belgrade,Barcelona,2414931,122220
152,"{'BEG', 'BUD'}",65.0,BEG,BUD,Belgrade,Budapest,455545,27900
153,"{'BEG', 'BVA'}",152.5,BEG,BVA,Belgrade,Amiens,2000859,97800
154,"{'BEG', 'CDG'}",155.0,BEG,CDG,Belgrade,Paris,2083148,91980
155,"{'BEG', 'INI'}",55.0,BEG,INI,Belgrade,Niš,237455,12277
158,"{'BEG', 'LIS'}",240.0,BEG,LIS,Belgrade,Lisbon,4423279,219600
159,"{'BEG', 'OSL'}",170.0,BEG,OSL,Belgrade,Oslo,2798768,132420
160,"{'BEG', 'SVO'}",190.0,BEG,SVO,Belgrade,Moscow,3104719,188700
162,"{'BEG', 'VIE'}",90.0,BEG,VIE,Belgrade,Vienna,717770,40800
163,"{'BEG', 'WAW'}",100.0,BEG,WAW,Belgrade,Warsaw,1284317,77340
164,"{'BEG', 'ZRH'}",100.0,BEG,ZRH,Belgrade,Zürich,1512526,76800
166,"{'BFS', 'BHX'}",65.0,BFS,BHX,Belfast,Birmingham,556537,45222
168,"{'BFS', 'EDI'}",52.5,BFS,EDI,Belfast,Dunfermline,333520,27720
169,"{'BFS', 'GVA'}",135.0,BFS,GVA,Belfast,Geneva,1769582,94182
170,"{'BGC', 'VRL'}",20.0,BGC,VRL,Bragança,Vila Real,118924,4800
174,"{'ARN', 'BGY'}",165.0,ARN,BGY,Stockholm,Monza,2511889,104280
176,"{'BRS', 'BGY'}",120.0,BRS,BGY,Bristol,Monza,1575893,72060
177,"{'BVA', 'BGY'}",90.0,BVA,BGY,Amiens,Monza,966967,39180
178,"{'BGY', 'CAG'}",90.0,BGY,CAG,Monza,Cagliari,1045757,66780
179,"{'BGY', 'CRL'}",92.5,BGY,CRL,Monza,Brussels,1227518,39720
180,"{'BGY', 'IAS'}",145.0,BGY,IAS,Monza,Iaşi,2359402,134010
182,"{'BGY', 'OTP'}",137.5,BGY,OTP,Monza,Bucharest,2067712,104340
183,"{'PSR', 'BGY'}",75.0,PSR,BGY,Pescara,Monza,564782,16800
184,"{'BGY', 'SUF'}",102.5,BGY,SUF,Monza,Cosenza,1082532,32894
186,"{'BHD', 'AMS'}",92.5,BHD,AMS,Belfast,Amsterdam,1333123,86082
187,"{'BHD', 'BHX'}",75.0,BHD,BHX,Belfast,Birmingham,556537,45222
189,"{'BHD', 'LGW'}",85.0,BHD,LGW,Belfast,London,743273,58182
191,"{'BHD', 'LHR'}",80.0,BHD,LHR,Belfast,London,743273,58182
194,"{'BHD', 'MAN'}",65.0,BHD,MAN,Belfast,Manchester,521226,44682
195,"{'BHX', 'AGP'}",175.0,BHX,AGP,Birmingham,Málaga,2915029,98340
196,"{'BHX', 'BCN'}",130.0,BHX,BCN,Birmingham,Barcelona,1777863,43800
197,"{'BHX', 'CRA'}",210.0,BHX,CRA,Birmingham,Craiova,2782757,133807
198,"{'BHX', 'OPO'}",140.0,BHX,OPO,Birmingham,Porto,2962083,131460
199,"{'BHX', 'OTP'}",215.0,BHX,OTP,Birmingham,Bucharest,2988951,146280
200,"{'BHX', 'POZ'}",135.0,BHX,POZ,Birmingham,Poznań,1632881,67740
201,"{'BHX', 'VLC'}",150.0,BHX,VLC,Birmingham,Valencia,2124544,89580
203,"{'BIO', 'AMS'}",135.0,BIO,AMS,Bilbao,Amsterdam,1462384,42960
204,"{'BIO', 'BCN'}",72.5,BIO,BCN,Bilbao,Barcelona,703002,30420
206,"{'BIO', 'LGW'}",108.33333333333331,BIO,LGW,Bilbao,London,1433916,43380
207,"{'BIO', 'MAD'}",67.5,BIO,MAD,Bilbao,Madrid,498202,20400
209,"{'BIO', 'OPO'}",77.5,BIO,OPO,Bilbao,Porto,1083499,89400
210,"{'GDN', 'BLL'}",90.0,GDN,BLL,Gdańsk,Kolding,1166535,52320
211,"{'OTP', 'BLL'}",180.0,OTP,BLL,Bucharest,Kolding,2538144,123600
212,"{'CRA', 'BLQ'}",120.0,CRA,BLQ,Craiova,Bologna,1781557,109507
214,"{'BOH', 'AGP'}",157.5,BOH,AGP,Southampton,Málaga,2889847,100860
215,"{'BRE', 'MUC'}",75.0,BRE,MUC,Bremen,Munich,769132,23340
216,"{'BRI', 'BGY'}",90.0,BRI,BGY,Bari,Monza,856178,28860
217,"{'BRI', 'BUD'}",91.66666666666669,BRI,BUD,Bari,Budapest,1736821,70320
218,"{'BRI', 'CRL'}",145.0,BRI,CRL,Bari,Brussels,1914471,84360
219,"{'BRI', 'FCO'}",70.0,BRI,FCO,Bari,Rome,456826,14940
220,"{'BRI', 'LIN'}",85.0,BRI,LIN,Bari,Milan,844326,26640
221,"{'BRI', 'MXP'}",97.5,BRI,MXP,Bari,Novara,894112,30240
224,"{'BRI', 'TRN'}",97.5,BRI,TRN,Bari,Turin,985713,31563
225,"{'BRI', 'VCE'}",80.0,BRI,VCE,Bari,Venice,792717,29040
226,"{'BRI', 'VRN'}",82.5,BRI,VRN,Bari,Verona,748423,26100
227,"{'BRI', 'WMI'}",130.0,BRI,WMI,Bari,Warsaw,2164861,87900
228,"{'BRS', 'AGP'}",165.0,BRS,AGP,Bristol,Málaga,2953083,100860
