,dep,arr,time
264,MAN,POZ,130
265,MAN,RZE,160
266,MAN,AGP,175
267,MAN,GVA,110
268,MAN,VCE,145
269,MAN,LIS,170
270,MAN,AGP,180
271,MAN,LHR,60
272,MAN,SDR,125
273,MAN,ACE,255
274,MAN,MUC,120
275,MAN,BCN,135
276,MAN,HEL,165
277,MAN,FRA,100
278,MAN,WRO,130
279,MAN,CDG,90
280,MAN,MAD,155
281,MAN,BFS,60
282,MAN,CPH,115
283,MAN,SVQ,170
284,MAN,IOM,50
285,MAN,BFS,65
286,MAN,AMS,80
287,MAN,BUD,155
288,CWL,ALC,140
289,CWL,AMS,80
290,BRS,RIX,170
291,BRS,GNB,100
292,BRS,GVA,100
293,BRS,INN,125
294,BRS,FNC,215
295,BRS,SOF,190
296,BRS,SZG,120
297,BRS,BUD,155
298,BRS,ALC,145
299,BRS,GLA,75
300,BRS,FRA,95
301,BRS,BGY,120
302,BRS,EDI,75
303,BRS,AMS,85
304,BRS,POZ,130
305,BRS,BCN,125
306,BRS,OPO,120
307,LPL,ACE,250
308,LPL,GVA,110
309,LPL,FAO,175
310,LPL,ALC,160
311,LPL,OTP,205
312,LPL,GDN,135
313,LTN,GNB,105
314,LTN,KRK,140
315,LTN,GVA,105
316,LTN,ACE,265
317,LTN,BUD,150
318,LTN,AMS,70
319,LTN,TIA,185
320,LTN,TOS,215
321,LTN,BCN,125
322,LTN,LUZ,150
323,LTN,BFS,75
324,LTN,AGP,170
325,LTN,VNO,160
326,LTN,FAO,170
327,LTN,PRN,205
328,LTN,SCV,190
329,LTN,EDI,75
330,LTN,SOF,190
331,LTN,GLA,75
332,LTN,OTP,200
333,LTN,WAW,145
334,LTN,CLJ,175
335,LTN,SBZ,175
336,LTN,DEB,160
337,LTN,WRO,120
338,LTN,IAS,195
339,LTN,GDN,135
340,LTN,KTW,140
341,LTN,SOF,185
342,BOH,AGP,155
343,BOH,GVA,100
344,SOU,ORY,90
345,SOU,GVA,100
346,SOU,ACI,40
347,SOU,AMS,75
348,SOU,JER,50
349,SOU,GCI,45
350,ACI,SOU,40
351,ACI,GCI,20
352,GCI,LGW,60
353,GCI,JER,20
354,GCI,SOU,45
355,GCI,ACI,20
356,JER,LGW,55
357,JER,GCI,20
358,JER,SOU,50
359,LGW,INN,125
360,LGW,NQY,80
361,LGW,ACE,255
362,LGW,SOF,185
363,LGW,FLR,130
364,LGW,GVA,100
365,LGW,BIO,110
366,LGW,GVA,95
367,LGW,ATH,230
368,LGW,MLA,195
369,LGW,FCO,145
370,LGW,ALC,155
371,LGW,SZG,120
372,LGW,ORY,80
373,LGW,ALC,150
374,LGW,GCI,75
375,LGW,TRN,115
376,LGW,LIS,155
377,LGW,AMS,80
378,LGW,MUC,110
379,LGW,BCN,125
380,LGW,MXP,110
381,LGW,MAD,150
382,LGW,JER,60
383,LGW,TLL,170
384,LGW,GCI,80
385,LGW,FRA,90
386,LGW,EDI,85
387,LGW,INV,100
388,LGW,BHD,85
389,LGW,ABZ,95
390,LGW,MAD,140
391,LGW,AGP,165
392,LGW,BIO,105
393,LGW,KRK,150
394,LGW,MXP,120
395,LGW,VIE,135
396,LGW,FCO,155
397,LGW,OTP,190
398,LHR,BRU,75
399,LHR,VIE,140
400,LHR,AMS,85
401,LHR,EDI,85
402,LHR,OTP,200
403,LHR,MAD,150
404,LHR,GVA,100
405,LHR,FCO,160
406,LHR,NCL,80
407,LHR,GLA,90
408,LHR,GOT,125
409,LHR,LIS,165
410,SEN,GVA,95
411,LBA,ALC,165
412,LBA,FAO,180
413,LBA,KRK,150
414,LBA,AMS,80
415,LBA,POZ,125
416,IOM,LHR,95
417,IOM,MAN,50
418,NCL,ALC,175
419,NCL,AGP,190
420,NCL,LHR,75
421,EMA,BFS,65
422,EMA,GVA,110
423,EMA,FUE,255
424,EMA,RZE,155
425,ABZ,LHR,95
426,ABZ,AMS,95
427,INV,LGW,95
428,GLA,LHR,85
429,GLA,FAO,195
430,GLA,GVA,135
431,GLA,AMS,95
432,GLA,BRS,75
433,GLA,CDG,110
434,GLA,LTN,75
435,EDI,MLA,225
436,EDI,MAD,175
437,EDI,INN,160
438,EDI,CRL,105
439,EDI,TIA,215
440,EDI,GVA,135
441,EDI,GOT,110
442,EDI,AGP,200
443,EDI,KRK,160
444,EDI,LHR,85
445,EDI,BFS,50
446,EDI,VCE,155
447,EDI,STN,85
448,EDI,LGW,85
449,EDI,LTN,75
450,EDI,BCN,160
451,EDI,BRS,75
452,SYY,GLA,60
453,NWI,AMS,55
454,STN,BOD,100
455,STN,CIA,145
456,STN,AMS,70
457,STN,OTP,185
458,STN,GVA,105
459,STN,WMI,135
460,STN,LIS,165
461,STN,MAD,155
462,STN,GNB,110
463,STN,BUD,145
464,STN,BZG,125
465,STN,SOF,180
466,STN,EDI,75
467,STN,TIA,185
468,STN,SCQ,130
469,STN,CTA,185
470,STN,BCN,130
471,STN,ZAG,135
472,STN,FAO,170
473,STN,BLQ,125
474,STN,MXP,110
475,STN,KTW,130
476,STN,RIX,155
477,STN,GVA,110
478,STN,NAP,155
479,STN,EIN,65
480,STN,VRN,115
481,STN,SZY,135
482,STN,ARN,145
483,STN,ALC,155
484,STN,TRS,125
485,STN,ZAZ,135
486,STN,KRK,140
487,STN,SKG,190
488,STN,TRN,115
489,STN,BTS,130
490,STN,ATH,215
491,STN,GDN,125
492,STN,PSA,125
493,STN,POZ,120
494,STN,MRS,120
495,STN,VIE,130
496,STN,VCE,120
497,STN,GOT,110
498,STN,SVQ,165
499,STN,PRG,110
500,STN,NUE,95
501,STN,BLL,90
502,STN,AGP,175
503,STN,WRO,120
504,STN,BFS,85
505,STN,CGN,75
506,STN,OPO,145
507,STN,BGY,115
508,STN,EDI,80
509,AMS,VCE,105
510,AMS,GVA,90
511,AMS,BGO,105
512,AMS,CDG,80
513,AMS,NTE,90
514,AMS,TRF,95
515,AMS,GLA,90
516,AMS,MAN,75
517,AMS,BCN,135
518,AMS,GDN,105
519,AMS,ABZ,85
520,AMS,PRG,80
521,AMS,KRS,85
522,AMS,BSL,75
523,AMS,BHD,90
524,MST,ALC,155
525,MST,BCN,120
526,EIN,DEB,130
527,EIN,SKP,155
528,EIN,AGP,175
529,EIN,FCO,130
530,EIN,LIS,175
531,EIN,STN,65
532,EIN,CLJ,140
533,EIN,ATH,175
534,EIN,BDS,145
535,EIN,BUD,120
536,EIN,BGY,95
537,EIN,SOF,155
