departure city,arrival city
Minsk,Saint Petersburg
Minsk,Khimki
Minsk,Odintsovo
Munich,Málaga
Alicante,Munich
Uppsala,Munich
Munich,Barcelona
Munich,Solihull
Munich,Bologna
Munich,Brussels
Dresden,Munich
Munich,Münster
Munich,Las Palmas
Munich,Graz
Munich,Hamburg
Munich,Croydon
Munich,Pristina
Munich,Thessaloníki
Munich,Stuttgart
Munich,Valencia
Milan,Alicante
Milan,Hoofddorp
Milan,Athens
Milan,Bacău
Milan,Barcelona
Milan,Cagliari
Milan,Paris
Milan,Catania
Milan,Las Palmas
Milan,Vantaa
Milan,Croydon
Milan,Torrejón de Ardoz
Milan,Munich
Milan,Maia
Milan,Paris
Milan,Pristina
Milan,Rzeszów
Milan,Reggio di Calabria
Milan,Kamëz
Milan,Vienna
Milan,Vilnius
Milan,Zürich
Naples,Barcelona
Naples,Bergamo
Naples,Charleroi
Naples,Catania
Naples,Rome
Naples,Kraków
Naples,Milan
Naples,Milan
Naples,Bucharest
Naples,Palermo
Naples,Sofia
Naples,Romford
Naples,Trieste
Naples,Venice
Naples,Vienna
Naples,Valencia
Naberezhnyye Chelny,Saint Petersburg
Nice,Barcelona
Nice,Livorno
Nice,Paris
Nice,Torrejón de Ardoz
Nice,Zürich
Gateshead,Málaga
Gateshead,Alicante
Gateshead,Las Palmas
Syktyvkar,Kazan
Prokopyevsk,Khimki
Plymouth,Croydon
Nijmegen,Málaga
Nijmegen,Thessaloníki
Nantes,Las Palmas
Nantes,Hoofddorp
Nantes,Las Palmas
Nantes,Geneva
Nantes,Torrejón de Ardoz
Nantes,Marseille
Nuremberg,Thessaloníki
Norrköping,Bucharest
Vladikavkaz,Odintsovo
Tetovo,Zürich
Cagliari,Rome
Cagliari,Milan
Oradea,Bucharest
Torrejón de Ardoz,Maia
Paris,Las Palmas
Paris,Málaga
Paris,Barcelona
Paris,Livorno
Paris,Oulu
Paris,Toulouse
Paris,Croydon
Paris,Torrejón de Ardoz
Paris,Siracusa
Paris,Montpellier
Paris,Milan
Paris,Nice
Paris,Maia
Paris,Southampton
Paris,Toulouse
Paris,Valencia
Oslo,Málaga
Oslo,Alicante
Oslo,Hoofddorp
Oslo,Uppsala
Oslo,Bergen
Oslo,Paris
Oslo,Gothenburg
Oslo,Vantaa
Oslo,Stavanger
