departure city,arrival city
Oslo,Oulu
Oslo,Zürich
Orsk,Khimki
Aarhus,Bucharest
Bologna,Bucharest
Rome,Bucharest
Croydon,Bucharest
Oviedo,Las Palmas
Oviedo,Barcelona
Oviedo,Torrejón de Ardoz
Oviedo,Nijmegen
La Laguna,La Laguna
La Laguna,Maia
La Laguna,La Laguna
Perm,Saint Petersburg
Perm,Khimki
Perm,Odintsovo
Petrozavodsk,Odintsovo
Parma,Cagliari
Palermo,Barcelona
Palermo,Bergamo
Palermo,Bologna
Palermo,Rome
Palermo,Ulm
Palermo,Milan
Palermo,Torrejón de Ardoz
Palermo,Milan
Palermo,Naples
Palermo,Nuremberg
Palermo,Livorno
Palermo,Romford
Palermo,Turin
Palermo,Venice
Palermo,Valencia
Palermo,Verona
Pamplona,Torrejón de Ardoz
Prague,Málaga
Prague,Barcelona
Prague,Bergamo
Prague,Paris
Prague,Geneva
Prague,Vantaa
Prague,Torrejón de Ardoz
Pristina,Hamburg
Pristina,Stuttgart
Livorno,Charleroi
Livorno,Torrejón de Ardoz
Livorno,Maia
Livorno,Valencia
Bergamo,Giugliano in Campania
Trieste,Zürich
La Laguna,La Laguna
La Laguna,Oslo
Orenburg,Saint Petersburg
Orenburg,Khimki
Riga,Hoofddorp
Riga,Uppsala
Riga,Bristol
Riga,Copenhagen
Riga,Geneva
Riga,Vantaa
Riga,Oulu
Riga,Odivelas
Riga,Klaipėda
Riga,Romford
Riga,Salzburg
Riga,Tallinn
Riga,Vienna
Riga,Vilnius
Riga,Warsaw
Rotterdam,Málaga
Rotterdam,Alicante
Rotterdam,Salzburg
Surgut,Domodedovo
Sibiu,Luton
Sibiu,Munich
A Coruña,Las Palmas
A Coruña,Torrejón de Ardoz
A Coruña,Valencia
Bucharest,Chernivtsi
Syktyvkar,Saint Petersburg
Syktyvkar,Khimki
Syktyvkar,Odintsovo
Santander,Torrejón de Ardoz
Basildon,Geneva
Simferopol,Saint Petersburg
Novi Sad,Bonn
Bodrum,Thessaloníki
Stuttgart,Thessaloníki
Trondheim,Trondheim
Trondheim,Oulu
Skopje,Athens
Skopje,Zemun
Skopje,Bratislava
Skopje,Bonn
Skopje,Copenhagen
Skopje,Eindhoven
Skopje,Rome
Skopje,Strasbourg
Skopje,Frankfurt
Skopje,Siracusa
Skopje,Norrköping
Skopje,Graz
Skopje,Zürich
Sofia,Alicante
Sofia,Athens
Sofia,Barcelona
Sofia,Bergamo
Sofia,Bristol
Sofia,Copenhagen
Sofia,Charleroi
Sofia,Catania
Sofia,Eindhoven
Sofia,Strasbourg
Sofia,Ulm
Sofia,Croydon
Sofia,Luton
Sofia,Torrejón de Ardoz
Sofia,Siracusa
Sofia,Munich
Sofia,Naples
Sofia,Nice
Sofia,Romford
Sofia,Venice
Sofia,Varna
Sofia,Vienna
Sofia,Warsaw
Rennes,Southampton
La Laguna,Barcelona
La Laguna,Torrejón de Ardoz
Foggia,Hoofddorp
Romford,Las Palmas
Romford,Málaga
Romford,Alicante
Romford,Hoofddorp
Romford,Uppsala
Romford,Athens
Romford,Barcelona
Romford,Belfast
Romford,Bergamo
Romford,Aarhus
Romford,Bologna
Romford,Bordeaux
Romford,Bratislava
Romford,Budapest
Romford,Bydgoszcz
Romford,Bonn
Romford,Rome
Romford,Annecy
Romford,Catania
Romford,Aberdeen
Romford,Eindhoven
Romford,Huelva
Romford,Las Palmas
Romford,Gdynia
Romford,Grenoble
Romford,Genoa
Romford,Gothenburg
Romford,Geneva
Romford,Kraków
Romford,Sosnowiec
Romford,Łódź
Romford,Odivelas
Romford,Torrejón de Ardoz
Romford,Marseille
Romford,Milan
Romford,Naples
Romford,Nuremberg
Romford,Maia
Romford,Bucharest
Romford,Poznań
Romford,Prague
Romford,Livorno
Romford,Riga
Romford,A Coruña
Romford,Thessaloníki
Romford,Sofia
Romford,Dos Hermanas
Romford,Salzburg
Romford,Olsztyn
Romford,Szczecin
Romford,Kamëz
Romford,Oslo
Romford,Turin
Romford,Trieste
Romford,Venice
Romford,Vigo
Romford,Vienna
Romford,Valencia
