city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Theresienfeld,47.8500,16.2167,Austria,AT,Niederösterreich,,3485,3485
Ludesch,47.1944,9.7817,Austria,AT,Vorarlberg,,3437,3437
Lambach,48.0944,13.8775,Austria,AT,Oberösterreich,,3435,3435
Neufeld an der Leitha,47.8678,16.3767,Austria,AT,Burgenland,,3418,3418
Göfis,47.2331,9.6331,Austria,AT,Vorarlberg,,3312,3312
Hausmannstätten,46.9908,15.5086,Austria,AT,Steiermark,,3288,3288
Pirka,46.9977,15.3945,Austria,AT,Steiermark,,3288,3288
Kierling,48.3083,16.2742,Austria,AT,Niederösterreich,,3178,3178
Klaus,47.3086,9.6467,Austria,AT,Vorarlberg,,3118,3118
Brixlegg,47.4292,11.8775,Austria,AT,Tirol,,3043,3043
Ennsdorf,48.2125,14.4892,Austria,AT,Niederösterreich,,3031,3031
Kematen in Tirol,47.2542,11.2722,Austria,AT,Tirol,,3014,3014
Biedermannsdorf,48.0834,16.3458,Austria,AT,Niederösterreich,,2988,2988
Elixhausen,47.8667,13.0667,Austria,AT,Salzburg,,2963,2963
Niederndorf,47.6500,12.2156,Austria,AT,Tirol,,2820,2820
Gallspach,48.2067,13.8144,Austria,AT,Oberösterreich,,2772,2772
Aldrans,47.2522,11.4461,Austria,AT,Tirol,,2761,2761
Sankt Marein im Mürztal,47.4744,15.3711,Austria,AT,Steiermark,,2713,2713
Kaindorf an der Sulm,46.8000,15.5333,Austria,AT,Steiermark,,2552,2552
Rohrbach,48.5733,13.9917,Austria,AT,Oberösterreich,minor,2552,2552
Sulz,47.2883,9.6533,Austria,AT,Vorarlberg,,2527,2527
Raaba,47.0278,15.4967,Austria,AT,Steiermark,,2427,2427
Schlins,47.2061,9.6997,Austria,AT,Vorarlberg,,2404,2404
Windischgarsten,47.7211,14.3308,Austria,AT,Oberösterreich,,2392,2392
Bludesch,47.1996,9.7471,Austria,AT,Vorarlberg,,2370,2370
Werndorf,46.9211,15.4811,Austria,AT,Steiermark,,2365,2365
Gießhübl,48.0972,16.2367,Austria,AT,Niederösterreich,,2335,2335
Sistrans,47.2381,11.4467,Austria,AT,Tirol,,2255,2255
Meiningen,47.3000,9.5833,Austria,AT,Vorarlberg,,2245,2245
Thüringen,47.2000,9.7667,Austria,AT,Vorarlberg,,2222,2222
Aschach an der Donau,48.3667,14.0167,Austria,AT,Oberösterreich,,2201,2201
Viehausen,47.7832,12.9871,Austria,AT,Salzburg,,2165,2165
