route,time,departure airport,arrival airport,departure city,arrival city,city1,city2
"{'IAS', 'OTP'}",70.0,IAS,OTP,Iaşi,Otopeni,Iasi,Otopeni
"{'IBZ', 'BCN'}",55.0,IBZ,BCN,Ibiza (Eivissa),Barcelona,Ibiza,Barcelona
"{'IBZ', 'MAD'}",75.0,IBZ,MAD,Ibiza (Eivissa),Madrid,Ibiza,Madrid
"{'IBZ', 'VLC'}",50.0,IBZ,VLC,Ibiza (Eivissa),Valencia,Ibiza,Valencia
"{'HHN', 'INI'}",130.0,HHN,INI,Frankfurt am Main (Lautzenhausen),Niš,Frankfurt am Main,Nis
"{'INI', 'LJU'}",112.5,INI,LJU,Niš,Zgornji Brnik,Nis,Zgornji Brnik
"{'INN', 'BRS'}",127.5,INN,BRS,Innsbruck,Bristol,Innsbruck,Bristol
"{'INN', 'EDI'}",155.0,INN,EDI,Innsbruck,Edinburgh,Innsbruck,Edinburgh
"{'INN', 'FRA'}",65.0,INN,FRA,Innsbruck,Frankfurt am Main,Innsbruck,Frankfurt am Main
"{'INN', 'LGW'}",123.33333333333331,INN,LGW,Innsbruck,"Gatwick, Surrey",Innsbruck,Gatwick
"{'INN', 'MAN'}",140.0,INN,MAN,Innsbruck,Manchester,Innsbruck,Manchester
"{'INN', 'VIE'}",57.5,INN,VIE,Innsbruck,Vienna,Innsbruck,Vienna
"{'INV', 'LGW'}",97.5,INV,LGW,Inverness,"Gatwick, Surrey",Inverness,Gatwick
"{'IOA', 'ATH'}",72.5,IOA,ATH,Ioannina,Spata-Artemida,Ioannina,Spata
"{'IOM', 'LHR'}",95.0,IOM,LHR,Castletown,London,Castletown,London
"{'IWA', 'LED'}",105.0,IWA,LED,Ivanovo,St. Petersburg,Ivanovo,St. Petersburg
"{'LGW', 'JER'}",60.0,LGW,JER,"Gatwick, Surrey",Saint Helier,Gatwick,Saint Helier
"{'SOU', 'JER'}",50.0,SOU,JER,Southampton,Saint Helier,Southampton,Saint Helier
"{'ATH', 'JMK'}",45.0,ATH,JMK,Spata-Artemida,Mykonos,Spata,Mykonos
"{'JTR', 'ATH'}",55.0,JTR,ATH,Santorini Island,Spata-Artemida,Santorini Island,Spata
"{'KAO', 'HEL'}",102.5,KAO,HEL,Kuusamo,Helsinki,Kuusamo,Helsinki
"{'KGD', 'LED'}",105.0,KGD,LED,Kaliningrad,St. Petersburg,Kaliningrad,St. Petersburg
"{'VKO', 'KGD'}",115.0,VKO,KGD,Moscow,Kaliningrad,Moscow,Kaliningrad
"{'KGS', 'ATH'}",61.66666666666666,KGS,ATH,Kos Island,Spata-Artemida,Kos Island,Spata
"{'KGS', 'RHO'}",30.0,KGS,RHO,Kos Island,Rhodes,Kos Island,Rhodes
"{'KGS', 'SKG'}",97.5,KGS,SKG,Kos Island,Thessaloniki,Kos Island,Thessaloniki
"{'KIV', 'CDG'}",195.0,KIV,CDG,Chişinău,Paris,Chisinau,Paris
"{'KIV', 'LIS'}",270.0,KIV,LIS,Chişinău,Lisbon,Chisinau,Lisbon
"{'KIV', 'OTP'}",72.5,KIV,OTP,Chişinău,Otopeni,Chisinau,Otopeni
"{'KJA', 'LED'}",297.5,KJA,LED,Krasnoyarsk,St. Petersburg,Krasnoyarsk,St. Petersburg
