route,time,departure airport,arrival airport,departure city,arrival city,city1,city2
"{'CPH', 'AGP'}",220.0,CPH,AGP,Copenhagen,Málaga,Copenhagen,Malaga
"{'CPH', 'ALC'}",200.0,CPH,ALC,Copenhagen,Alicante,Copenhagen,Alicante
"{'CPH', 'AMS'}",87.5,CPH,AMS,Copenhagen,Amsterdam,Copenhagen,Amsterdam
"{'CPH', 'ARN'}",72.5,CPH,ARN,Copenhagen,Stockholm,Copenhagen,Stockholm
"{'CPH', 'BUD'}",115.0,CPH,BUD,Copenhagen,Budapest,Copenhagen,Budapest
"{'CPH', 'BZO'}",130.0,CPH,BZO,Copenhagen,Bolzano (BZ),Copenhagen,Bolzano
"{'CPH', 'CDG'}",120.0,CPH,CDG,Copenhagen,Paris,Copenhagen,Paris
"{'CPH', 'CGN'}",85.0,CPH,CGN,Copenhagen,Köln (Cologne),Copenhagen,Cologne
"{'CPH', 'FAE'}",135.0,CPH,FAE,Copenhagen,Vágar,Copenhagen,Vagar
"{'CPH', 'FAO'}",235.0,CPH,FAO,Copenhagen,Faro,Copenhagen,Faro
"{'CPH', 'FRA'}",90.0,CPH,FRA,Copenhagen,Frankfurt am Main,Copenhagen,Frankfurt am Main
"{'CPH', 'GDN'}",65.0,CPH,GDN,Copenhagen,Gdańsk,Copenhagen,Gdansk
"{'CPH', 'GOT'}",52.5,CPH,GOT,Copenhagen,Gothenburg,Copenhagen,Gothenburg
"{'CPH', 'GVA'}",123.75,CPH,GVA,Copenhagen,Geneva,Copenhagen,Geneva
"{'CPH', 'HAM'}",60.0,CPH,HAM,Copenhagen,Hamburg,Copenhagen,Hamburg
"{'CPH', 'HEL'}",100.0,CPH,HEL,Copenhagen,Helsinki,Copenhagen,Helsinki
"{'CPH', 'KRK'}",105.0,CPH,KRK,Copenhagen,Balice,Copenhagen,Balice
"{'CPH', 'KUN'}",90.0,CPH,KUN,Copenhagen,Kaunas,Copenhagen,Kaunas
"{'CPH', 'LHR'}",125.0,CPH,LHR,Copenhagen,London,Copenhagen,London
"{'CPH', 'MAD'}",195.0,CPH,MAD,Copenhagen,Madrid,Copenhagen,Madrid
"{'CPH', 'MAN'}",120.0,CPH,MAN,Copenhagen,Manchester,Copenhagen,Manchester
"{'CPH', 'MUC'}",100.0,CPH,MUC,Copenhagen,Munich,Copenhagen,Munich
"{'CPH', 'OPO'}",205.0,CPH,OPO,Copenhagen,Porto,Copenhagen,Postage
"{'CPH', 'OSL'}",75.0,CPH,OSL,Copenhagen,Oslo,Copenhagen,Oslo
"{'CPH', 'RIX'}",85.0,CPH,RIX,Copenhagen,Riga,Copenhagen,Riga
"{'CPH', 'STN'}",115.0,CPH,STN,Copenhagen,London,Copenhagen,London
"{'CPH', 'SZG'}",96.66666666666669,CPH,SZG,Copenhagen,Salzburg,Copenhagen,Salzburg
"{'CPH', 'VIE'}",102.5,CPH,VIE,Copenhagen,Vienna,Copenhagen,Vienna
"{'CPH', 'ZRH'}",105.0,CPH,ZRH,Copenhagen,Zurich,Copenhagen,Zurich
"{'BLQ', 'CRA'}",110.0,BLQ,CRA,Bologna,Craiova,Bologna,Craiova
"{'CRL', 'CRA'}",150.0,CRL,CRA,Charleroi,Craiova,Charleroi,Craiova
"{'BCN', 'CRL'}",135.0,BCN,CRL,Barcelona,Charleroi,Barcelona,Charleroi
"{'CIA', 'CRL'}",130.0,CIA,CRL,Rome,Charleroi,Rome,Charleroi
"{'OTP', 'CRL'}",175.0,OTP,CRL,Otopeni,Charleroi,Otopeni,Charleroi
"{'CRV', 'BGY'}",105.0,CRV,BGY,Crotone,Orio al Serio (BG),Crotone,Orio al Serio
"{'CRV', 'BLQ'}",100.0,CRV,BLQ,Crotone,Bologna,Crotone,Bologna
"{'CSY', 'SVO'}",95.0,CSY,SVO,Cheboksary,Moscow,Cheboksary,Moscow
"{'CSY', 'VKO'}",85.0,CSY,VKO,Cheboksary,Moscow,Cheboksary,Moscow
"{'CTA', 'BGY'}",112.5,CTA,BGY,Catania,Orio al Serio (BG),Catania,Orio al Serio
