route,time,departure airport,arrival airport,departure city,arrival city,city1,city2
"{'AAL', 'AMS'}",85.0,AAL,AMS,Aalborg,Amsterdam,Aalborg,Amsterdam
"{'AAQ', 'LED'}",170.0,AAQ,LED,Krasnyi Kurgan,St. Petersburg,Krasnyi Kurgan,St. Petersburg
"{'AMS', 'ABZ'}",85.0,AMS,ABZ,Amsterdam,Aberdeen,Amsterdam,Aberdeen
"{'ABZ', 'LGW'}",95.0,ABZ,LGW,Aberdeen,"Gatwick, Surrey",Aberdeen,Gatwick
"{'ACE', 'AGP'}",130.0,ACE,AGP,San Bartolomé,Málaga,San Bartolome,Malaga
"{'ACE', 'BCN'}",185.0,ACE,BCN,San Bartolomé,Barcelona,San Bartolome,Barcelona
"{'ACE', 'BFS'}",265.0,ACE,BFS,San Bartolomé,Belfast,San Bartolome,Belfast
"{'ACE', 'BGY'}",242.5,ACE,BGY,San Bartolomé,Orio al Serio (BG),San Bartolome,Orio al Serio
"{'ACE', 'BHX'}",255.0,ACE,BHX,San Bartolomé,Birmingham,San Bartolome,Birmingham
"{'ACE', 'BOD'}",195.0,ACE,BOD,San Bartolomé,Bordeaux/Mérignac,San Bartolome,Bordeaux
"{'ACE', 'BRU'}",250.0,ACE,BRU,San Bartolomé,Zaventem,San Bartolome,Zaventem
"{'ACE', 'CDG'}",240.0,ACE,CDG,San Bartolomé,Paris,San Bartolome,Paris
"{'ACE', 'CRL'}",250.0,ACE,CRL,San Bartolomé,Charleroi,San Bartolome,Charleroi
"{'ACE', 'EDI'}",280.0,ACE,EDI,San Bartolomé,Edinburgh,San Bartolome,Edinburgh
"{'ACE', 'HAM'}",285.0,ACE,HAM,San Bartolomé,Hamburg,San Bartolome,Hamburg
"{'ACE', 'LGW'}",247.5,ACE,LGW,San Bartolomé,"Gatwick, Surrey",San Bartolome,Gatwick
"{'ACE', 'LPL'}",250.0,ACE,LPL,San Bartolomé,Liverpool,San Bartolome,Liverpool
"{'ACE', 'LTN'}",257.5,ACE,LTN,San Bartolomé,"Luton, Bedfordshire",San Bartolome,Luton
"{'ACE', 'MAD'}",155.0,ACE,MAD,San Bartolomé,Madrid,San Bartolome,Madrid
"{'ACE', 'OSL'}",325.0,ACE,OSL,San Bartolomé,Oslo,San Bartolome,Oslo
"{'ACI', 'GCI'}",20.0,ACI,GCI,Saint Anne,Saint Peter Port,Saint Anne,Saint Peter Port
"{'ACI', 'SOU'}",40.0,ACI,SOU,Saint Anne,Southampton,Saint Anne,Southampton
"{'AER', 'CEE'}",210.0,AER,CEE,Sochi,Cherepovets,Sochi,Cherepovets
"{'AER', 'DME'}",215.0,AER,DME,Sochi,Moscow,Sochi,Moscow
"{'AER', 'KJA'}",325.0,AER,KJA,Sochi,Krasnoyarsk,Sochi,Krasnoyarsk
"{'AER', 'KZN'}",205.0,AER,KZN,Sochi,Kazan,Sochi,Kazan
"{'AER', 'LED'}",240.0,AER,LED,Sochi,St. Petersburg,Sochi,St. Petersburg
"{'AER', 'PEE'}",203.75,AER,PEE,Sochi,Perm,Sochi,Perm
"{'AER', 'PKV'}",245.0,AER,PKV,Sochi,Pskov,Sochi,Pskov
"{'AER', 'SVO'}",225.8333333333333,AER,SVO,Sochi,Moscow,Sochi,Moscow
"{'AER', 'VKO'}",165.0,AER,VKO,Sochi,Moscow,Sochi,Moscow
"{'AER', 'ZIA'}",225.0,AER,ZIA,Sochi,Moscow,Sochi,Moscow
"{'AES', 'ALC'}",230.0,AES,ALC,Ålesund,Alicante,Alesund,Alicante
"{'AES', 'BGO'}",50.0,AES,BGO,Ålesund,Bergen,Alesund,Bergen
"{'BCN', 'AGP'}",97.5,BCN,AGP,Barcelona,Málaga,Barcelona,Malaga
"{'BOD', 'AGP'}",110.0,BOD,AGP,Bordeaux/Mérignac,Málaga,Bordeaux,Malaga
"{'GOT', 'AGP'}",230.0,GOT,AGP,Gothenburg,Málaga,Gothenburg,Malaga
"{'HAM', 'AGP'}",205.0,HAM,AGP,Hamburg,Málaga,Hamburg,Malaga
"{'LGW', 'AGP'}",165.0,LGW,AGP,"Gatwick, Surrey",Málaga,Gatwick,Malaga
"{'MAD', 'AGP'}",80.0,MAD,AGP,Madrid,Málaga,Madrid,Malaga
"{'AHO', 'BGY'}",77.5,AHO,BGY,Alghero,Orio al Serio (BG),Alghero,Orio al Serio
"{'AHO', 'FCO'}",65.0,AHO,FCO,Alghero,Rome,Alghero,Rome
"{'AHO', 'LIN'}",70.0,AHO,LIN,Alghero,Segrate (MI),Alghero,Segrate
"{'AJA', 'MRS'}",50.0,AJA,MRS,Ajaccio/Napoléon Bonaparte,Marseille,Ajaccio,Marseille
"{'AJA', 'NCE'}",50.0,AJA,NCE,Ajaccio/Napoléon Bonaparte,Nice,Ajaccio,Nice
"{'AJA', 'ORY'}",100.0,AJA,ORY,Ajaccio/Napoléon Bonaparte,Paris,Ajaccio,Paris
"{'ALC', 'BCN'}",70.0,ALC,BCN,Alicante,Barcelona,Alicante,Barcelona
"{'BGY', 'ALC'}",130.0,BGY,ALC,Orio al Serio (BG),Alicante,Orio al Serio,Alicante
"{'ALC', 'BHX'}",160.0,ALC,BHX,Alicante,Birmingham,Alicante,Birmingham
"{'BRS', 'ALC'}",145.0,BRS,ALC,Bristol,Alicante,Bristol,Alicante
"{'ALC', 'BRU'}",150.0,ALC,BRU,Alicante,Zaventem,Alicante,Zaventem
"{'CWL', 'ALC'}",140.0,CWL,ALC,Cardiff,Alicante,Cardiff,Alicante
"{'ALC', 'GDN'}",217.5,ALC,GDN,Alicante,Gdańsk,Alicante,Gdansk
"{'ALC', 'GOT'}",215.0,ALC,GOT,Alicante,Gothenburg,Alicante,Gothenburg
"{'ALC', 'HAM'}",175.0,ALC,HAM,Alicante,Hamburg,Alicante,Hamburg
"{'ALC', 'LGW'}",155.0,ALC,LGW,Alicante,"Gatwick, Surrey",Alicante,Gatwick
"{'LPL', 'ALC'}",160.0,LPL,ALC,Liverpool,Alicante,Liverpool,Alicante
"{'ALC', 'MAD'}",70.0,ALC,MAD,Alicante,Madrid,Alicante,Madrid
"{'ALC', 'MST'}",155.0,ALC,MST,Alicante,Maastricht,Alicante,Maastricht
"{'ALC', 'OPO'}",95.0,ALC,OPO,Alicante,Porto,Alicante,Postage
"{'ALC', 'OTP'}",220.0,ALC,OTP,Alicante,Otopeni,Alicante,Otopeni
"{'ALC', 'WMI'}",205.0,ALC,WMI,Alicante,Warsaw,Alicante,Warsaw
"{'ABZ', 'AMS'}",95.0,ABZ,AMS,Aberdeen,Amsterdam,Aberdeen,Amsterdam
"{'AMS', 'AGP'}",187.5,AMS,AGP,Amsterdam,Málaga,Amsterdam,Malaga
"{'AMS', 'ALC'}",172.5,AMS,ALC,Amsterdam,Alicante,Amsterdam,Alicante
"{'AMS', 'ARN'}",130.0,AMS,ARN,Amsterdam,Stockholm,Amsterdam,Stockholm
"{'ATH', 'AMS'}",220.0,ATH,AMS,Spata-Artemida,Amsterdam,Spata,Amsterdam
"{'AMS', 'BCN'}",142.5,AMS,BCN,Amsterdam,Barcelona,Amsterdam,Barcelona
"{'AMS', 'BGO'}",107.5,AMS,BGO,Amsterdam,Bergen,Amsterdam,Bergen
"{'AMS', 'BHX'}",80.0,AMS,BHX,Amsterdam,Birmingham,Amsterdam,Birmingham
"{'AMS', 'BLL'}",75.0,AMS,BLL,Amsterdam,Billund,Amsterdam,Billund
"{'AMS', 'BOJ'}",200.0,AMS,BOJ,Amsterdam,Burgas,Amsterdam,Burgas
"{'AMS', 'BRS'}",85.0,AMS,BRS,Amsterdam,Bristol,Amsterdam,Bristol
"{'AMS', 'CDG'}",80.0,AMS,CDG,Amsterdam,Paris,Amsterdam,Paris
"{'AMS', 'CWL'}",80.0,AMS,CWL,Amsterdam,Cardiff,Amsterdam,Cardiff
