departure city,arrival city,transit_distance [m],transit_time [s]
Craiova,Bologna,1781557,109507
Budapest,Bologna,1134332,45960
Paris,Bologna,1039709,30660
Amsterdam,Geneva,1062551,30060
Athens,Geneva,2690289,176400
Belfast,Geneva,1769582,94182
Copenhagen,Geneva,1690965,76860
Arrecife,Hamburg,-1,-1
Alicante,Hamburg,-1,-1
Amsterdam,Hamburg,492694,19740
Copenhagen,Hamburg,485835,16800
Amsterdam,Kolding,825872,32760
Gdańsk,Kolding,1166535,52320
Bucharest,Kolding,2538144,123600
Trento,Kolding,-1,-1
Alicante,Gdańsk,-1,-1
Amsterdam,Gdańsk,1254745,74430
Stockholm,Gdańsk,-1,-1
Copenhagen,Gdańsk,-1,-1
Alicante,Gothenburg,-1,-1
Stockholm,Gothenburg,453484,11160
Paris,Gothenburg,1857312,71880
Copenhagen,Gothenburg,339473,13800
Arrecife,Oslo,-1,-1
Belgrade,Oslo,2798768,132420
Copenhagen,Oslo,733791,29640
Arrecife,Bordeaux,-1,-1
Barcelona,Bordeaux,-1,-1
Paris,Bordeaux,566866,9000
Belgrade,Budapest,455545,27900
Bari,Budapest,1736821,70320
Copenhagen,Budapest,1605376,75780
Amsterdam,Zürich,1148687,33480
Athens,Zürich,2733936,194520
Belgrade,Zürich,1512526,76800
Amsterdam,Valencia,1980363,90120
Monza,Valencia,-1,-1
Birmingham,Valencia,2124544,89580
Amsterdam,Helsinki,2139705,114720
Budapest,Helsinki,3019434,171300
Copenhagen,Helsinki,1157563,65280
Stockholm,Poznań,1685493,82980
Birmingham,Poznań,1632881,67740
Bristol,Poznań,1648419,70560
Ålesund,Bergen,395882,35312
Amsterdam,Bergen,2259861,117120
Málaga,Bergen,-1,-1
Arrecife,Dunfermline,-1,-1
Belfast,Dunfermline,333520,27720
Varna,Cologne,2669996,167989
Copenhagen,Cologne,938108,33780
Monza,Cosenza,1082532,32894
Freiburg im Breisgau,Cosenza,1486594,65229
Belfast,Manchester,521226,44682
Copenhagen,Manchester,1860866,85980
Bilbao,Arrecife,-1,-1
Freiburg im Breisgau,Arrecife,-1,-1
Belgrade,Amiens,2000859,97800
Monza,Amiens,1043044,38520
Bari,Novara,894112,30240
Budapest,Novara,1138239,49620
Sochi,Kazan,3111929,130440
Belgrade,Kazan,-1,-1
Sochi,Cherepovets,3604679,123720
Saint Petersburg,Cherepovets,883686,34380
Freiburg im Breisgau,Catania,1680223,71642
Budapest,Catania,2223075,104373
Amsterdam,Prague,1036360,41940
Budapest,Prague,537011,24180
Bratislava,Kaunas,1029187,61101
Copenhagen,Kaunas,972726,100200
Arrecife,Liverpool,-1,-1
Belfast,Liverpool,-1,-1
Ajaccio,Marseille,-1,-1
Budapest,Marseille,1810930,85150
Sassari,Milan,557761,54900
Bari,Milan,844326,26640
London,Cluj-Napoca,2382029,123960
Bari,Turin,985713,31563
Copenhagen,Frankfurt,1013952,34200
Copenhagen,Faro,3814452,133380
Birmingham,Craiova,2782757,133807
Copenhagen,Trento,1646371,80100
Bari,Tirana,-1,-1
Bari,Venice,792717,29040
Moscow,Chelyabinsk,2431114,114360
Bari,Verona,748423,26100
Copenhagen,Aarhus,326947,11280
Copenhagen,Aalborg,466703,17220
Freiburg im Breisgau,Pristina,1774350,126989
Monza,Cagliari,1045757,66780
Castellón de la Plana,Mönchengladbach,1929591,78420
Monza,Iaşi,2359402,134010
Belgrade,Lisbon,4423279,219600
Bragança,Vila Real,118924,4800
Sochi,Pskov,3263103,131640
Ajaccio,Nice,424907,52899
Arrecife,Belfast,-1,-1
Amsterdam,Burgas,3004076,176900
Amsterdam,Weston-super-Mare,873929,30660
Amsterdam,Florence,1893438,77400
Sochi,Balashikha,-1,-1
Amsterdam,Norwich,783592,25920
Amsterdam,Rovaniemi,2886091,157560
Amsterdam,Portsmouth,731916,26400
Sochi,Perm,-1,-1
Belgrade,Vienna,717770,40800
Moscow,Arkhangelsk,-1,-1
Athens,Chíos,-1,-1
Amsterdam,Aberdeen,1435877,46020
Athens,Ródos,-1,-1
Athens,Thessaloníki,499001,19380
Sochi,Krasnoyarsk,8877409,301620
Belgrade,Niš,237455,12277
Alicante,Maastricht,-1,-1
Belgrade,Shkodër,-1,-1
Copenhagen,Kraków,1414748,52080
Copenhagen,London,1536602,76860
