route,time,departure airport,arrival airport,departure city,arrival city,city1,city2
"{'STN', 'VNO'}",175.0,STN,VNO,London,Vilnius,London,Vilnius
"{'STN', 'VRN'}",122.5,STN,VRN,London,Caselle (VR),London,Caselle
"{'STN', 'WMI'}",135.0,STN,WMI,London,Warsaw,London,Warsaw
"{'STN', 'WRO'}",125.0,STN,WRO,London,Wrocław,London,Wroclaw
"{'STN', 'ZAG'}",135.0,STN,ZAG,London,Zagreb,London,Zagreb
"{'STN', 'ZAZ'}",132.5,STN,ZAZ,London,Zaragoza,London,Zaragoza
"{'OTP', 'STR'}",145.0,OTP,STR,Otopeni,Stuttgart,Otopeni,Stuttgart
"{'SKG', 'STR'}",150.0,SKG,STR,Thessaloniki,Stuttgart,Thessaloniki,Stuttgart
"{'SVG', 'ALC'}",212.5,SVG,ALC,Stavanger,Alicante,Stavanger,Alicante
"{'SVG', 'AMS'}",95.0,SVG,AMS,Stavanger,Amsterdam,Stavanger,Amsterdam
"{'SVG', 'BGO'}",40.0,SVG,BGO,Stavanger,Bergen,Stavanger,Bergen
"{'SVG', 'GDN'}",107.5,SVG,GDN,Stavanger,Gdańsk,Stavanger,Gdansk
"{'SVG', 'OSL'}",50.0,SVG,OSL,Stavanger,Oslo,Stavanger,Oslo
"{'SVJ', 'BOO'}",25.0,SVJ,BOO,Svolvær,Bodø,Svolvaer,Bodo
"{'ARH', 'SVO'}",112.5,ARH,SVO,Archangelsk,Moscow,Arkhangelsk,Moscow
"{'SVO', 'CEE'}",55.0,SVO,CEE,Moscow,Cherepovets,Moscow,Cherepovets
"{'CEK', 'SVO'}",167.5,CEK,SVO,Chelyabinsk,Moscow,Chelyabinsk,Moscow
"{'SVO', 'GRV'}",175.0,SVO,GRV,Moscow,Grozny,Moscow,Grozny
"{'IJK', 'SVO'}",135.0,IJK,SVO,Izhevsk,Moscow,Izhevsk,Moscow
"{'SVO', 'KGD'}",168.33333333333334,SVO,KGD,Moscow,Kaliningrad,Moscow,Kaliningrad
"{'KJA', 'SVO'}",317.5,KJA,SVO,Krasnoyarsk,Moscow,Krasnoyarsk,Moscow
"{'SVO', 'KUF'}",113.75,SVO,KUF,Moscow,Samara,Moscow,Samara
"{'SVO', 'LED'}",92.5,SVO,LED,Moscow,St. Petersburg,Moscow,St. Petersburg
"{'SVO', 'MMK'}",158.0,SVO,MMK,Moscow,Murmansk,Moscow,Murmansk
"{'SVO', 'MQF'}",152.5,SVO,MQF,Moscow,Magnitogorsk,Moscow,Magnitogorsk
"{'SVO', 'NBC'}",118.33333333333331,SVO,NBC,Moscow,Nizhnekamsk,Moscow,Nizhnekamsk
"{'SVO', 'STW'}",200.0,SVO,STW,Moscow,Stavropol,Moscow,Stavropol
"{'SVQ', 'ACE'}",120.0,SVQ,ACE,Sevilla,San Bartolomé,Seville,San Bartolome
"{'SVQ', 'BCN'}",100.0,SVQ,BCN,Sevilla,Barcelona,Seville,Barcelona
"{'SVQ', 'BGY'}",160.0,SVQ,BGY,Sevilla,Orio al Serio (BG),Seville,Orio al Serio
"{'SVQ', 'CDG'}",160.0,SVQ,CDG,Sevilla,Paris,Seville,Paris
"{'SVQ', 'CIA'}",160.0,SVQ,CIA,Sevilla,Rome,Seville,Rome
"{'SVQ', 'CTA'}",180.0,SVQ,CTA,Sevilla,Catania,Seville,Catania
"{'SVQ', 'FUE'}",127.5,SVQ,FUE,Sevilla,El Matorral,Seville,El Matorral
"{'SVQ', 'MAD'}",67.5,SVQ,MAD,Sevilla,Madrid,Seville,Madrid
"{'SVQ', 'MAN'}",180.0,SVQ,MAN,Sevilla,Manchester,Seville,Manchester
"{'SVQ', 'MXP'}",155.0,SVQ,MXP,Sevilla,Ferno (VA),Seville,Ferno
"{'SVQ', 'NUE'}",185.0,SVQ,NUE,Sevilla,Nuremberg,Seville,Nuremberg
"{'SVQ', 'ORY'}",150.0,SVQ,ORY,Sevilla,Paris,Seville,Paris
"{'SVQ', 'PSA'}",150.0,SVQ,PSA,Sevilla,Pisa,Seville,Pisa
"{'SVQ', 'STN'}",170.0,SVQ,STN,Sevilla,London,Seville,London
"{'SVQ', 'WAW'}",235.0,SVQ,WAW,Sevilla,Warsaw,Seville,Warsaw
"{'SZG', 'AMS'}",105.0,SZG,AMS,Salzburg,Amsterdam,Salzburg,Amsterdam
"{'SZG', 'ARN'}",127.5,SZG,ARN,Salzburg,Stockholm,Salzburg,Stockholm
"{'SZG', 'BRS'}",125.0,SZG,BRS,Salzburg,Bristol,Salzburg,Bristol
"{'SZG', 'HAM'}",77.5,SZG,HAM,Salzburg,Hamburg,Salzburg,Hamburg
"{'SZG', 'HEL'}",150.0,SZG,HEL,Salzburg,Helsinki,Salzburg,Helsinki
"{'SZG', 'LGW'}",125.0,SZG,LGW,Salzburg,"Gatwick, Surrey",Salzburg,Gatwick
"{'SZZ', 'OSL'}",90.0,SZZ,OSL,Goleniow,Oslo,Goleniow,Oslo
"{'TER', 'PDL'}",42.5,TER,PDL,Praia da Vitória,Ponta Delgada,Praia da Vitoria,Ponta Delgada
"{'TER', 'PIX'}",35.0,TER,PIX,Praia da Vitória,Pico Island,Praia da Vitoria,Pico Island
"{'TIA', 'ARN'}",195.0,TIA,ARN,Rinas,Stockholm,Rinas,Stockholm
"{'TIA', 'ATH'}",80.0,TIA,ATH,Rinas,Spata-Artemida,Rinas,Spata
"{'TIA', 'BCN'}",170.0,TIA,BCN,Rinas,Barcelona,Rinas,Barcelona
"{'TIA', 'BGY'}",115.0,TIA,BGY,Rinas,Orio al Serio (BG),Rinas,Orio al Serio
"{'TIA', 'BLQ'}",100.0,TIA,BLQ,Rinas,Bologna,Rinas,Bologna
"{'TIA', 'BRI'}",60.0,TIA,BRI,Rinas,Bari,Rinas,Bari
"{'TIA', 'BVA'}",162.5,TIA,BVA,Rinas,Tillé,Rinas,Tille
"{'TIA', 'CIA'}",87.5,TIA,CIA,Rinas,Rome,Rinas,Rome
"{'TIA', 'CRL'}",162.5,TIA,CRL,Rinas,Charleroi,Rinas,Charleroi
"{'TIA', 'EDI'}",220.0,TIA,EDI,Rinas,Edinburgh,Rinas,Edinburgh
"{'TIA', 'FCO'}",90.0,TIA,FCO,Rinas,Rome,Rinas,Rome
"{'TIA', 'GOA'}",107.5,TIA,GOA,Rinas,Genova (GE),Rinas,Genova
"{'TIA', 'HAM'}",157.5,TIA,HAM,Rinas,Hamburg,Rinas,Hamburg
"{'TIA', 'HHN'}",147.5,TIA,HHN,Rinas,Frankfurt am Main (Lautzenhausen),Rinas,Frankfurt am Main
"{'TIA', 'LTN'}",197.5,TIA,LTN,Rinas,"Luton, Bedfordshire",Rinas,Luton
"{'TIA', 'LYS'}",130.0,TIA,LYS,Rinas,Lyon,Rinas,Lyon
"{'TIA', 'MXP'}",122.5,TIA,MXP,Rinas,Ferno (VA),Rinas,Ferno
"{'TIA', 'NUE'}",120.0,TIA,NUE,Rinas,Nuremberg,Rinas,Nuremberg
"{'TIA', 'PEG'}",85.0,TIA,PEG,Rinas,Perugia,Rinas,Perugia
"{'TIA', 'PSA'}",102.5,TIA,PSA,Rinas,Pisa,Rinas,Pisa
"{'TIA', 'STN'}",185.0,TIA,STN,Rinas,London,Rinas,London
"{'TIA', 'TRS'}",102.5,TIA,TRS,Rinas,Ronchi dei Legionari (GO),Rinas,Ronchi dei Legionari
"{'TIA', 'TSF'}",105.0,TIA,TSF,Rinas,Treviso (TV),Rinas,Treviso
"{'TIA', 'VRN'}",110.0,TIA,VRN,Rinas,Caselle (VR),Rinas,Caselle
"{'TLL', 'ARN'}",60.0,TLL,ARN,Tallinn,Stockholm,Tallinn,Stockholm
"{'TLL', 'GVA'}",175.0,TLL,GVA,Tallinn,Geneva,Tallinn,Geneva
"{'TLL', 'HEL'}",35.0,TLL,HEL,Tallinn,Helsinki,Tallinn,Helsinki
"{'TLL', 'LGW'}",170.0,TLL,LGW,Tallinn,"Gatwick, Surrey",Tallinn,Gatwick
