departure city,arrival city,transit_distance [m],transit_time [s]
Palma,Torrejón de Ardoz,-1,-1
A Coruña,Torrejón de Ardoz,730790,15240
Almería,Torrejón de Ardoz,451486,27403
Harrow,Torrejón de Ardoz,2149367,75480
Milan,Torrejón de Ardoz,1699809,61980
Odivelas,Torrejón de Ardoz,924675,40958
Villeurbanne,Torrejón de Ardoz,1267801,42060
Málaga,Torrejón de Ardoz,470699,29340
Barcelona,Torrejón de Ardoz,555063,30240
Bologna,Torrejón de Ardoz,1934291,76320
Bordeaux,Torrejón de Ardoz,702263,34746
Brussels,Torrejón de Ardoz,1744597,61560
Las Palmas,Torrejón de Ardoz,-1,-1
Hamburg,Torrejón de Ardoz,2434398,79620
Croydon,Torrejón de Ardoz,2145573,75540
Maia,Torrejón de Ardoz,-1,-1
Sale,Torrejón de Ardoz,-1,-1
Siracusa,Torrejón de Ardoz,3035335,128255
Marseille,Torrejón de Ardoz,1055895,39540
Ivanovo,Saint Petersburg,1174896,35040
Kaliningrad,Saint Petersburg,2104572,98520
Krasnoyarsk,Saint Petersburg,6190048,226260
Samara,Saint Petersburg,1836132,72600
Kirov,Saint Petersburg,1946517,82140
Kazan,Saint Petersburg,2703474,89700
Cherepovets,Saint Petersburg,615009,36934
Murmansk,Saint Petersburg,2036611,86220
Kaspiysk,Saint Petersburg,-1,-1
Pyatigorsk,Saint Petersburg,3397166,109500
Palma,Barcelona,-1,-1
Kraków,Barcelona,2403062,102199
Harrow,Barcelona,1520859,61860
Odivelas,Barcelona,1508224,50318
Liverpool,Barcelona,-1,-1
Luton,Barcelona,1549673,61320
Palma,Barcelona,-1,-1
Sale,Barcelona,-1,-1
Siracusa,Barcelona,2383723,111875
Innsbruck,Croydon,-1,-1
Aberdeen,Croydon,970196,35880
Kraków,Croydon,1734219,69240
Málaga,Croydon,2289672,82860
Barcelona,Croydon,1598663,54668
Rennes,Croydon,839170,33480
Bucharest,Croydon,-1,-1
Odivelas,Croydon,3024251,116558
Siracusa,Croydon,2799997,108180
Chisinau,Paris,2597046,123754
Milan,Paris,908935,32820
Odivelas,Paris,2597132,75698
Odivelas,Paris,2597132,75698
Villeurbanne,Paris,396686,22320
Sale,Paris,-1,-1
Montpellier,Paris,685655,24840
Marseille,Paris,770369,32056
Marseille,Paris,770369,32056
Kraków,Málaga,3554283,131160
Liège,Málaga,2310327,79620
Harrow,Málaga,2635892,87300
Luton,Málaga,2664706,86760
Saarbrücken,Málaga,2299023,73829
Sale,Málaga,-1,-1
Almería,Málaga,214838,18763
Marseille,Málaga,1550556,48360
Kraków,Hoofddorp,1215450,59400
Stavanger,Hoofddorp,1447870,87611
Bradford,Hoofddorp,916864,42360
Harrow,Hoofddorp,593433,17580
Milan,Hoofddorp,1427321,47100
Odivelas,Hoofddorp,3077481,109178
Sale,Hoofddorp,-1,-1
Montpellier,Hoofddorp,1209986,37200
Iaşi,Bucharest,463877,26145
Chisinau,Bucharest,463407,28800
Harrow,Bucharest,2986902,133620
Liverpool,Bucharest,-1,-1
Luton,Bucharest,2968157,139020
Siracusa,Bucharest,-1,-1
Marseille,Bucharest,2498147,140160
Vlorë,Athens,-1,-1
Athens,Athens,-1,-1
Irákleio,Athens,10843,1672
Bodrum,Athens,-1,-1
Sosnowiec,Athens,1969879,124560
Harrow,Athens,3699151,202546
Menemen,Athens,-1,-1
Innsbruck,Aberdeen,-1,-1
Kraków,Aberdeen,2564903,97200
Harrow,Aberdeen,836895,40260
Harrow,Aberdeen,836895,40260
Luton,Aberdeen,848661,43380
Villeurbanne,Aberdeen,1817182,63300
Siracusa,Aberdeen,3619766,132840
Kuopio,Vantaa,416777,13980
Oulu,Vantaa,663769,26580
Kuopio,Vantaa,416777,13980
Milan,Vantaa,2802898,144840
Odivelas,Vantaa,5485545,230858
Sale,Vantaa,-1,-1
Krasnoyarsk,Odintsovo,-1,-1
Krasnodar,Odintsovo,-1,-1
Kirov,Odintsovo,-1,-1
Kazan,Odintsovo,-1,-1
Kaspiysk,Odintsovo,-1,-1
Pyatigorsk,Odintsovo,-1,-1
Sosnowiec,Siracusa,2499073,112980
Harrow,Siracusa,2646451,114600
Milan,Siracusa,1357587,46835
Odivelas,Siracusa,3919909,164918
Sale,Siracusa,-1,-1
Niš,Siracusa,-1,-1
Krasnodar,Khimki,2415332,86760
Kirov,Khimki,2078392,104160
Kazan,Khimki,829589,75660
Kaspiysk,Khimki,-1,-1
Pyatigorsk,Khimki,2754203,115920
Kraków,Bergamo,1289330,62640
Kaunas,Bergamo,2152058,99871
Odivelas,Bergamo,-1,-1
Saarbrücken,Bergamo,614946,36209
Siracusa,Bergamo,1410526,51155
Kraków,Uppsala,-1,-1
Harrow,Uppsala,2247502,110760
Oulu,Uppsala,1332935,54840
Villeurbanne,Uppsala,2624303,110340
Malmö,Uppsala,666293,20520
Harrow,Belfast,860006,51060
Luton,Belfast,879925,54660
Sale,Belfast,-1,-1
Sale,Belfast,-1,-1
Sale,Belfast,-1,-1
Harrow,Geneva,956064,43740
Lille,Geneva,748663,23359
Odivelas,Geneva,2332442,79958
Luton,Geneva,984878,43200
Sale,Geneva,-1,-1
Milan,Munich,499178,25200
Odivelas,Munich,3548186,116618
Villeurbanne,Munich,956389,51720
Sale,Munich,-1,-1
Siracusa,Munich,1567010,71975
Sosnowiec,Alicante,-1,-1
Bradford,Alicante,-1,-1
Odivelas,Alicante,1187211,51218
Sale,Alicante,-1,-1
Marseille,Alicante,938395,48480
Bradford,Las Palmas,-1,-1
Saarbrücken,Las Palmas,-1,-1
Villeurbanne,Las Palmas,-1,-1
Sale,Las Palmas,-1,-1
Sale,Las Palmas,-1,-1
Chisinau,Odivelas,4383663,193472
Harrow,Odivelas,2369986,89340
Sale,Odivelas,-1,-1
Marseille,Odivelas,1604236,74479
Belfast,Harrow,732311,51060
Basel,Harrow,899074,40260
Odivelas,Harrow,3029450,117038
Sale,Harrow,-1,-1
Innsbruck,Vienna,501046,18840
Kraków,Vienna,476731,24000
Harrow,Vienna,1561216,51420
Odivelas,Vienna,-1,-1
Kraków,Livorno,1383144,65880
Siracusa,Livorno,1090373,48275
Marseille,Livorno,488176,29400
Marseille,Livorno,488176,29400
Harrow,Brussels,396243,10680
Milan,Brussels,1229948,40800
Odivelas,Brussels,2928381,84998
Siracusa,Brussels,2506473,94355
Kraków,Luton,1761112,69060
Sosnowiec,Luton,1692269,70440
Cluj-Napoca,Luton,2443990,126300
