departure city,arrival city,transit_distance [m],transit_time [s]
Copenhagen,Kraków,1492312,68280
Eindhoven,Kraków,1249703,64080
Frankfurt,Kraków,949640,53880
Catania,Prague,1960162,91372
Rome,Prague,1421761,70860
Frankfurt,Prague,524512,26160
Catania,Bucharest,-1,-1
Rome,Bucharest,2080382,127800
Ulm,Bucharest,1714867,103800
Catania,Florence,957943,37560
Rome,Florence,275156,11700
Frankfurt,Florence,952502,46740
Taranto,Bergamo,1006808,52380
Catania,Bergamo,1342826,46080
Eindhoven,Bergamo,1071119,105900
Copenhagen,Uppsala,707181,25500
Frankfurt,Uppsala,1696861,74400
Geneva,Uppsala,2274703,88620
Dortmund,Cluj-Napoca,1862955,92100
Eindhoven,Cluj-Napoca,1928291,121740
Ulm,Cluj-Napoca,1444112,81240
Rome,Milan,603755,28200
Frankfurt,Milan,654752,38100
Frankfurt,Milan,654752,38100
Düsseldorf,Chisinau,2008838,116554
Rome,Chisinau,-1,-1
Bournemouth,Southampton,46151,2700
Geneva,Southampton,1180417,46620
Bergen,Bergen,-1,-1
Stavanger,Bergen,206341,19074
Düsseldorf,Pristina,1910926,117449
Geneva,Pristina,1911936,130589
Düsseldorf,La Laguna,-1,-1
La Laguna,La Laguna,-1,-1
Düsseldorf,Kamëz,-1,-1
Rome,Kamëz,-1,-1
Eindhoven,Taranto,-1,-1
Rome,Taranto,506667,25500
Frankfurt,Saarbrücken,208531,14400
Niš,Saarbrücken,1767698,97152
La Laguna,Basel,-1,-1
Frankfurt,Basel,334769,20086
Eindhoven,Athens,2734499,155100
Rome,Athens,2406263,127140
Rome,Genoa,485737,29760
Barcelona,Genoa,1028886,55980
Huelva,Liverpool,-1,-1
Geneva,Liverpool,-1,-1
Rome,Warsaw,1965292,92760
Frankfurt,Warsaw,1090425,44280
Rome,Turin,694657,31648
Frankfurt,Turin,722324,43528
Rome,Poznań,1822311,66830
Frankfurt,Poznań,796613,32690
Dortmund,Vilnius,1564667,69660
Eindhoven,Vilnius,1767367,83383
Dortmund,Novi Sad,1616033,68700
Ulm,Novi Sad,1085215,51000
Dortmund,Rome,1456235,54600
Iaşi,Rome,2446133,130485
Copenhagen,Oslo,733959,43260
Frankfurt,Oslo,1853836,83700
Dortmund,Sosnowiec,988011,50820
La Laguna,Sosnowiec,-1,-1
Domodedovo,Volgograd,1877774,121080
Nizhniy Novgorod,Volgograd,3376981,125100
Copenhagen,Bonn,977611,43920
Rome,Bonn,1371032,60480
Catania,Verona,1194452,43380
Rome,Verona,495049,26828
Cheboksary,Khimki,1115236,64320
Nizhniy Novgorod,Khimki,804303,30720
Copenhagen,Sale,-1,-1
Frankfurt,Sale,-1,-1
Bologna,Craiova,1634934,104047
Charleroi,Craiova,2112787,102247
Dortmund,Olsztyn,1160239,61860
Rome,Trieste,665052,31440
Copenhagen,Kaunas,1776335,97221
Rome,Valencia,1718298,93660
Rome,Foggia,410965,21000
Rome,Reggio di Calabria,662461,28380
Rome,Chernivtsi,2222258,123660
Rome,Radom,1880429,90660
Copenhagen,Huelva,3354770,121860
Frankfurt,Dresden,469781,25680
Frankfurt,Bremen,476099,23400
Rome,Nice,659728,42960
Frankfurt,Düsseldorf,220029,8340
Copenhagen,Aberdeen,2429962,94140
Frankfurt,Kuopio,2618669,131220
Frankfurt,Leipzig,373144,14160
Frankfurt,Nuremberg,231800,12360
Frankfurt,Stuttgart,186600,8160
Frankfurt,Tallinn,2220175,120780
Frankfurt,Wrocław,740088,38520
Bournemouth,Rennes,-1,-1
Copenhagen,Innsbruck,1581945,58680
Bristol,Grenoble,1284833,41220
Rome,Palermo,880193,45900
Rome,Villeurbanne,1037950,53100
Rome,Marseille,-1,-1
Rome,Siracusa,830927,43500
Dortmund,Zemun,1726476,82580
Düsseldorf,Copenhagen,764787,37620
Domodedovo,Penza,-1,-1
Domodedovo,Perm,4974953,297960
Domodedovo,Prokopyevsk,7736340,467880
Domodedovo,Minsk,-1,-1
Domodedovo,Murmansk,-1,-1
Domodedovo,Kazan,-1,-1
Domodedovo,Izhevsk,-1,-1
Domodedovo,Chita,12691170,564540
Domodedovo,Groznyy,-1,-1
Domodedovo,Arkhangelsk,-1,-1
Domodedovo,Sochi,2275334,180900
Eindhoven,Debrecen,1602035,86400
Derby,Rzeszów,2067648,87540
Cheboksary,Odintsovo,-1,-1
Huelva,Nijmegen,-1,-1
Rome,Rimini,492350,25440
Rome,Catania,769576,39300
Rome,Eindhoven,1546913,71160
Rome,Ulm,1077629,56280
Copenhagen,Romford,1612637,67860
Copenhagen,Riga,2064589,104340
Geneva,Bournemouth,1226548,48900
