departure city,arrival city,transit_distance [m],transit_time [s]
Dos Hermanas,Barcelona,1086323,43380
Kamëz,Barcelona,-1,-1
Turin,Barcelona,945449,52717
Venice,Barcelona,-1,-1
Vigo,Barcelona,1316211,29820
Vienna,Barcelona,1857080,78840
Warsaw,Barcelona,2729701,95460
Warsaw,Barcelona,2729701,95460
Jerez de la Frontera,Barcelona,1180045,24600
Zürich,Barcelona,1181656,37380
Dos Hermanas,Torrejón de Ardoz,507638,36300
Toulouse,Torrejón de Ardoz,1057934,37440
Turin,Torrejón de Ardoz,1597061,69097
Venice,Torrejón de Ardoz,-1,-1
Vigo,Torrejón de Ardoz,703703,18600
Vienna,Torrejón de Ardoz,2534046,108331
Valencia,Torrejón de Ardoz,495323,19980
Jerez de la Frontera,Torrejón de Ardoz,597657,18000
Zürich,Torrejón de Ardoz,1810449,51000
Salzburg,Vantaa,2157331,123180
Tallinn,Vantaa,100210,12420
Trondheim,Vantaa,1368324,96240
Tampere,Vantaa,164608,7500
Vienna,Vantaa,1948003,120480
Vilnius,Vantaa,686370,57000
Warsaw,Vantaa,1204966,76980
Zürich,Vantaa,2565800,137040
Toulouse,Munich,1473669,58440
Turin,Munich,764219,43957
Venice,Munich,577384,37080
Vienna,Munich,456078,21960
Vilnius,Munich,1619490,73800
Warsaw,Munich,1209825,53700
Graz,Munich,393706,19800
Zürich,Munich,392295,25080
Stavanger,Hoofddorp,1447870,87611
Salzburg,Hoofddorp,1056647,39780
Tampere,Hoofddorp,2170393,129000
Trondheim,Hoofddorp,2174181,109751
Oslo,Hoofddorp,1749766,77831
Venice,Hoofddorp,1645889,63540
Warsaw,Hoofddorp,1215536,49800
Graz,Hoofddorp,1172771,50640
Dos Hermanas,Paris,2180095,48960
Dos Hermanas,Paris,2180095,48960
Venice,Paris,1176659,52200
Venice,Paris,1176659,52200
Vienna,Paris,1362143,46680
Warsaw,Paris,1650700,53100
Zürich,Paris,819647,33600
Arkhangelsk,Khimki,1792474,92220
Chelyabinsk,Khimki,2280788,123420
Izhevsk,Khimki,1553930,80820
Krasnoyarsk,Khimki,5364333,211380
Ufa,Khimki,3488688,87960
Ulyanovsk,Khimki,1353368,65220
Volgograd,Khimki,2635730,112620
Khimki,Saint Petersburg,691736,22380
Ufa,Saint Petersburg,4340610,101520
Ulyanovsk,Saint Petersburg,1957526,72240
Odintsovo,Saint Petersburg,-1,-1
Volgograd,Saint Petersburg,3461445,127500
Voronezh,Saint Petersburg,2023725,42360
Turin,Bucharest,2209523,123817
Venice,Bucharest,1649121,91140
Timişoara,Bucharest,532509,37007
Vienna,Bucharest,1128806,62340
Warsaw,Bucharest,1652076,86280
Zürich,Bucharest,1851626,96900
Salzburg,Uppsala,2151925,79080
Kamëz,Uppsala,-1,-1
Tallinn,Uppsala,659624,70756
Turin,Uppsala,2562483,117322
Turku,Uppsala,391954,43207
Zürich,Uppsala,2156944,84840
Ufa,Odintsovo,-1,-1
Ulyanovsk,Odintsovo,-1,-1
Almetyevsk,Odintsovo,-1,-1
Kaliningrad,Odintsovo,-1,-1
Naberezhnyye Chelny,Odintsovo,-1,-1
Volgograd,Odintsovo,-1,-1
Salzburg,Hamburg,959022,35100
Kamëz,Hamburg,-1,-1
Varna,Hamburg,2287150,132710
Vienna,Hamburg,935616,39420
Zürich,Hamburg,964041,40440
Kamëz,Amiens,-1,-1
Venice,Amiens,1276176,55140
Timişoara,Amiens,2063890,100727
Vilnius,Amiens,2394819,106440
Zaragoza,Amiens,1243676,45780
Dos Hermanas,Rome,2814823,90540
Kamëz,Rome,-1,-1
Kamëz,Rome,-1,-1
Venice,Rome,533307,24000
Warsaw,Rome,1937100,81120
