departure city,arrival city
Paris,Montpellier
Paris,Novara
Paris,Nice
Paris,Porto
Paris,Portsmouth
Paris,Toulouse
Paris,Valencia
Oslo,Málaga
Oslo,Alicante
Oslo,Amsterdam
Oslo,Stockholm
Oslo,Bergen
Oslo,Paris
Oslo,Gothenburg
Oslo,Helsinki
Oslo,Sandnes
Oslo,Tromsø
Oslo,Zürich
Orsk,Moscow
Kolding,Bucharest
Bologna,Bucharest
Rome,Bucharest
London,Bucharest
Gijón,Arrecife
Gijón,Barcelona
Gijón,Madrid
Gijón,Mönchengladbach
Ponta Delgada,Porto
Perm,Saint Petersburg
Perm,Moscow
Perm,Moscow
Petrozavodsk,Moscow
Parma,Cagliari
Palermo,Barcelona
Palermo,Monza
Palermo,Bologna
Palermo,Rome
Palermo,Ulm
Palermo,Milan
Palermo,Madrid
Palermo,Novara
Palermo,Naples
Palermo,Nuremberg
Palermo,Livorno
Palermo,London
Palermo,Turin
Palermo,Venice
Palermo,Valencia
Palermo,Verona
Pamplona,Madrid
Prague,Málaga
Prague,Barcelona
Prague,Monza
Prague,Paris
Prague,Geneva
Prague,Helsinki
Prague,Madrid
Pristina,Hamburg
Pristina,Stuttgart
Livorno,Brussels
Livorno,Madrid
Livorno,Porto
Livorno,Valencia
Monza,Pescara
Orenburg,Saint Petersburg
Orenburg,Moscow
Riga,Amsterdam
Riga,Stockholm
Riga,Bristol
Riga,Copenhagen
Riga,Geneva
Riga,Helsinki
Riga,Lisbon
Riga,Klaipėda
Riga,London
Riga,Salzburg
Riga,Tallinn
Riga,Vienna
Riga,Vilnius
Riga,Warsaw
Rotterdam,Málaga
Rotterdam,Alicante
Rotterdam,Salzburg
Sibiu,London
Sibiu,Munich
Santiago de Compostela,Arrecife
Santiago de Compostela,Madrid
Santiago de Compostela,Valencia
Bucharest,Botoşani
Syktyvkar,Saint Petersburg
Syktyvkar,Moscow
Syktyvkar,Moscow
Santander,Madrid
Basildon,Geneva
Simferopol,Saint Petersburg
Ródos,Thessaloníki
Stuttgart,Thessaloníki
Skopje,Athens
Skopje,Belgrade
Skopje,Bratislava
Skopje,Cologne
Skopje,Copenhagen
Skopje,Eindhoven
Skopje,Rome
Skopje,Karlsruhe
Skopje,Frankfurt
Skopje,Nyköping
Skopje,Bistrica ob Sotli
Skopje,Zürich
Sofia,Alicante
Sofia,Athens
Sofia,Barcelona
Sofia,Monza
Sofia,Bristol
Sofia,Copenhagen
Sofia,Brussels
Sofia,Catania
Sofia,Eindhoven
Sofia,Karlsruhe
Sofia,Ulm
Sofia,London
Sofia,London
Sofia,Madrid
Sofia,Munich
Sofia,Naples
Sofia,Nice
Sofia,London
Sofia,Venice
Sofia,Varna
Sofia,Vienna
Sofia,Warsaw
London,Arrecife
London,Málaga
London,Alicante
London,Amsterdam
London,Stockholm
London,Athens
London,Barcelona
London,Belfast
London,Monza
London,Kolding
London,Bologna
