departure city,arrival city
Kraków,Warsaw
Krasnodar,Moscow
Krasnodar,Moscow
Kristiansand,Amsterdam
Kristiansand,Bergen
Košice,Prague
Katowice,Alicante
Katowice,Athens
Katowice,Catania
Katowice,London
Samara,Saint Petersburg
Kaunas,Monza
Kuopio,Helsinki
Athens,Kavála
Kirov,Saint Petersburg
Kirov,Moscow
Kirov,Moscow
Kazan,Samara
Kazan,Saint Petersburg
Kazan,Moscow
Kazan,Moscow
Bradford,Arrecife
Bradford,Alicante
Bradford,Amsterdam
Bradford,Annecy
Bradford,Faro
Bradford,Kraków
Bradford,Poznań
A Coruña,Madrid
Cherepovets,Saint Petersburg
Murmansk,Saint Petersburg
Almería,Madrid
Maastricht,Málaga
Málaga,London
Barcelona,London
Bucharest,London
London,Aberdeen
London,Málaga
London,Amsterdam
London,Stockholm
London,Athens
London,Barcelona
London,Kolding
London,Bologna
London,Brussels
Freiburg im Breisgau,London
London,Dunfermline
London,Algeciras
London,Paisley
London,Grenoble
London,Gothenburg
London,Geneva
London,Milan
Lisbon,London
London,Lyon
London,Madrid
London,Novara
London,Nice
London,Gateshead
London,Oslo
London,Bucharest
London,Salzburg
London,Toulouse
London,Vienna
London,Zürich
Lille,Geneva
Milan,Amsterdam
Milan,Brussels
Milan,Cagliari
Milan,Paris
Milan,Catania
Milan,Helsinki
Milan,Madrid
Milan,Munich
Milan,Messina
Milan,Cosenza
Lisbon,Alicante
Lisbon,Amsterdam
Lisbon,Barcelona
Lisbon,Monza
Lisbon,Bordeaux
Lisbon,Brussels
Lisbon,Paris
Lisbon,Cologne
Lisbon,Rome
Lisbon,Geneva
Lisbon,Helsinki
Lisbon,London
London,Lisbon
Lisbon,Trier
Lisbon,Lyon
Lisbon,Madrid
Lisbon,Munich
Lisbon,Novara
Lisbon,Porto
Lisbon,Paris
Lisbon,Oslo
Lisbon,Ponta Delgada
Lisbon,Vienna
Lisbon,Valencia
Lisbon,Warsaw
Lisbon,Zürich
Luleå,Stockholm
Alicante,Liverpool
Liverpool,Barcelona
Liverpool,Gdańsk
Liverpool,Bucharest
Rovaniemi,Liverpool
London,Málaga
London,Barcelona
London,Belfast
Cluj-Napoca,London
London,Dunfermline
London,Gdańsk
London,Grenoble
London,Geneva
London,Iaşi
London,Bucharest
London,Pristina
London,Botoşani
London,Tromsø
London,Vilnius
London,Wrocław
Trier,Málaga
Trier,Monza
Trier,Porto
Lublin,London
Lyon,Arrecife
Lyon,Stockholm
Lyon,Paris
Lyon,Dunfermline
Lyon,Madrid
Lyon,Munich
Málaga,Madrid
Barcelona,Madrid
Bologna,Madrid
Bordeaux,Madrid
Brussels,Madrid
Hamburg,Madrid
London,Madrid
Porto,Madrid
Manchester,Arrecife
Manchester,Málaga
Manchester,Alicante
Manchester,Amsterdam
Manchester,Barcelona
Manchester,Belfast
Manchester,Belfast
Manchester,Budapest
Manchester,Paris
Manchester,Cologne
Manchester,Rome
Manchester,Annecy
Manchester,Copenhagen
Manchester,Funchal
Manchester,Frankfurt
Manchester,Grenoble
Manchester,Geneva
Manchester,Helsinki
Manchester,Kraków
Manchester,London
Manchester,Lisbon
Manchester,Madrid
Manchester,Munich
Manchester,Poznań
Manchester,Prague
Manchester,Murcia
Manchester,Rzeszów
Manchester,Santander
Manchester,Sevilla
Manchester,Salzburg
Manchester,Venice
Manchester,Verona
Manchester,Wrocław
Makhachkala,Moscow
Makhachkala,Saint Petersburg
Makhachkala,Moscow
Makhachkala,Moscow
Mytilíni,Athens
Ciudad de Melilla,Málaga
Ciudad de Melilla,Granada
Ciudad de Melilla,Almería
Malmö,Stockholm
Malmö,Stockholm
Montpellier,Amsterdam
Montpellier,Paris
Marseille,Málaga
Marseille,Ajaccio
Marseille,Alicante
Marseille,Bastia
Marseille,Budapest
Marseille,Paris
Marseille,Brussels
Marseille,Lisbon
Marseille,Lyon
Marseille,Madrid
Marseille,Nantes
Marseille,Paris
Marseille,Bucharest
Pyatigorsk,Sochi
Pyatigorsk,Cherepovets
Pyatigorsk,Chelyabinsk
Pyatigorsk,Moscow
Pyatigorsk,Kaluga
Pyatigorsk,Samara
Pyatigorsk,Saint Petersburg
Pyatigorsk,Magnitogorsk
Pyatigorsk,Naberezhnyye Chelny
Pyatigorsk,Perm
Pyatigorsk,Moscow
Pyatigorsk,Ufa
Pyatigorsk,Moscow
Pyatigorsk,Volgograd
Horad Zhodzina,Saint Petersburg
Horad Zhodzina,Moscow
Horad Zhodzina,Moscow
Munich,Málaga
Alicante,Munich
Stockholm,Munich
Munich,Barcelona
Munich,Birmingham
Munich,Bologna
Munich,Brussels
Dresden,Munich
Munich,Münster
Munich,Graz
Munich,Hamburg
Munich,London
Munich,Pristina
Munich,Thessaloníki
Munich,Stuttgart
Munich,Valencia
Novara,Alicante
Novara,Amsterdam
Novara,Athens
Novara,Bacău
Novara,Barcelona
Novara,Cagliari
Novara,Paris
Novara,Catania
Novara,Helsinki
Novara,London
Novara,Madrid
Novara,Munich
Novara,Porto
Novara,Paris
Novara,Pristina
Novara,Rzeszów
Novara,Cosenza
Novara,Shkodër
Novara,Vienna
Novara,Vilnius
Novara,Zürich
Naples,Barcelona
Naples,Monza
Naples,Brussels
Naples,Catania
Naples,Rome
Naples,Kraków
Naples,Milan
Naples,Novara
Naples,Bucharest
Naples,Palermo
Naples,Sofia
Naples,London
Naples,Trieste
Naples,Venice
Naples,Vienna
Naples,Valencia
Naberezhnyye Chelny,Saint Petersburg
Nice,Barcelona
Nice,Bastia
Nice,Paris
Nice,Madrid
Nice,Zürich
Gateshead,Málaga
Gateshead,Alicante
Nar’yan-Mar,Kazan
Novokuznetsk,Moscow
Camborne,London
Mönchengladbach,Málaga
Mönchengladbach,Thessaloníki
Nantes,Arrecife
Nantes,Amsterdam
Nantes,Geneva
Nantes,Madrid
Nantes,Marseille
Nuremberg,Thessaloníki
Nyköping,Bucharest
Vladikavkaz,Moscow
Ohrid,Zürich
Oradea,Bucharest
Madrid,Porto
Paris,Arrecife
Paris,Málaga
Paris,Barcelona
Paris,Bastia
Paris,Pau
Paris,London
Paris,Madrid
