departure city,arrival city
Copenhagen,Riga
Copenhagen,London
Copenhagen,Salzburg
Copenhagen,Vienna
Copenhagen,Zürich
Bologna,Craiova
Brussels,Craiova
Barcelona,Brussels
Rome,Brussels
Bucharest,Brussels
Cheboksary,Moscow
Cheboksary,Moscow
Catania,Monza
Catania,Bologna
Catania,Brussels
Catania,Florence
Catania,Bucharest
Catania,Prague
Catania,Verona
Debrecen,London
Moscow,Sochi
Moscow,Arkhangelsk
Moscow,Groznyy
Moscow,Chita
Moscow,Izhevsk
Moscow,Kazan
Moscow,Saint Petersburg
Moscow,Murmansk
Moscow,Horad Zhodzina
Moscow,Novokuznetsk
Moscow,Perm
Moscow,Penza
Moscow,Volgograd
Dortmund,Belgrade
Dortmund,Budapest
Dortmund,Cluj-Napoca
Dortmund,Rome
Dortmund,Gdańsk
Dortmund,Katowice
Dortmund,Szczytno
Dortmund,Banja Koviljača
Dortmund,Vilnius
Cologne,Arrecife
Cologne,Amsterdam
Cologne,Paris
Cologne,Copenhagen
Cologne,Frankfurt
Cologne,Helsinki
Cologne,Chisinau
Cologne,London
Cologne,Lisbon
Cologne,Madrid
Cologne,Munich
Cologne,Pristina
Cologne,Tirana
Cologne,Tromsø
Cologne,Vienna
Cologne,Zürich
Donostia,Barcelona
Donostia,Madrid
Dunfermline,Málaga
Dunfermline,Barcelona
Dunfermline,Birmingham
Dunfermline,Bristol
Dunfermline,Brussels
Dunfermline,Gothenburg
Dunfermline,Geneva
Dunfermline,London
Dunfermline,Madrid
Eindhoven,Málaga
Eindhoven,Alicante
Eindhoven,Athens
Eindhoven,Monza
Eindhoven,Budapest
Eindhoven,Cluj-Napoca
Eindhoven,Debrecen
Eindhoven,Kraków
Eindhoven,Lisbon
Eindhoven,Salzburg
Eindhoven,Vilnius
Nottingham,Arrecife
Nottingham,Málaga
Nottingham,Alicante
Nottingham,Belfast
Nottingham,Geneva
Nottingham,Paris
Nottingham,Rzeszów
Faro,Amsterdam
Faro,Belfast
Faro,Paisley
Faro,Lisbon
Faro,Liverpool
Faro,London
Faro,Mönchengladbach
Rome,Málaga
Rome,Sassari
Rome,Amsterdam
Rome,Ancona
Rome,Athens
Rome,Barcelona
Rome,Bologna
Rome,Brussels
Rome,Budapest
Rome,Cagliari
Rome,Paris
Rome,Cologne
Rome,Catania
Rome,Eindhoven
Rome,Florence
Rome,Ulm
